t,value
1743304080,296
1743304110,296
1743304140,296
1743304170,296
1743304200,296
1743304231,296
1743304261,296
1743304291,296
1743304321,296
1743304354,296
1743304384,296
1743304414,296
1743304444,296
1743304474,296
1743304504,296
1743304534,296
1743304564,296
1743304594,296
1743304624,296
1743304654,296
1743304684,296
1743304714,296
1743304744,296
1743304774,296
1743304804,296
1743304834,296
1743304864,296
1743304894,296
1743304925,296
1743304955,296
1743304985,255
1743305015,255
1743305045,255
1743305075,255
1743305105,255
1743339378,255
1743339410,255
1743339441,255
1743339471,255
1743339501,255
1743339531,255
1743339561,255
1743339591,255
1743339621,255
1743339651,255
1743339681,255
1743339711,255
1743339741,255
1743339771,255
1743339801,255
1743339831,255
1743339861,255
1743339891,255
1743339921,255
1743339951,255
1743339982,255
1743340012,255
1743340042,255
1743340072,255
1743340102,255
1743340132,255
1743340162,255
1743340192,255
1743340222,255
1743340252,255
1743340282,255
1743340312,255
1743340342,255
1743340372,255
1743340402,255
1743340432,255
1743340462,255
1743340492,255
1743340522,255
1743340552,255
1743340582,255
1743340612,255
1743340642,255
1743340672,255
1743340702,255
1743340732,255
1743340762,255
1743340792,255
1743340822,255
1743340852,255
1743340882,255
1743340912,255
1743340942,255
1743340972,255
1743341002,255
1743341032,255
1743341062,255
1743341092,255
1743341122,255
1743341152,255
1743341182,255
1743341212,255
1743341242,255
1743341272,255
1743341302,255
1743341332,255
1743341362,255
1743341392,255
1743341423,255
1743341453,255
1743341483,255
1743341513,255
1743341543,255
1743341573,255
1743341603,255
1743341633,255
1743341663,255
1743341693,255
1743341723,255
1743341753,255
1743341783,255
1743341813,255
1743341843,255
1743341873,255
1743341903,255
1743341933,255
1743341963,255
1743341993,255
1743342023,255
1743342053,255
1743342083,255
1743342113,255
1743342143,255
1743342173,255
1743342203,255
1743342233,255
1743342263,255
1743342293,255
1743342323,255
1743342353,255
1743342383,255
1743342413,255
1743342443,255
1743342473,255
1743342503,255
1743342533,255
1743342563,255
1743342593,255
1743342623,255
1743342653,255
1743342683,255
1743342713,255
1743342743,255
1743342773,255
1743342803,255
1743342833,255
1743342863,255
1743342893,255
1743342924,255
1743342954,255
1743342984,255
1743343014,255
1743343044,255
1743343074,255
1743343104,255
1743343134,255
1743343164,255
1743343194,255
1743343224,255
1743343254,255
1743343284,255
1743343314,255
1743343344,255
1743343374,255
1743343404,255
1743343434,255
1743343464,255
1743343494,255
1743343524,255
1743343554,255
1743343584,255
1743343614,255
1743343644,255
1743343674,255
1743343704,255
1743343734,255
1743343764,255
1743343794,255
1743343824,255
1743343854,255
1743343884,255
1743343914,255
1743343944,255
1743343974,255
1743344004,255
1743344034,255
1743344064,255
1743344094,255
1743344124,255
1743344154,255
1743344184,255
1743344214,255
1743344244,255
1743344274,255
1743344304,255
1743344334,255
1743344364,255
1743344394,255
1743344424,255
1743344454,255
1743344484,255
1743344514,255
1743344544,255
1743344574,255
1743344604,255
1743344634,255
1743344664,255
1743344694,255
1743344724,255
1743344754,255
1743344784,255
1743344814,255
1743344844,255
1743344875,255
1743344905,255
1743344935,255
1743344965,255
1743344995,255
1743345025,255
1743345055,255
1743345085,255
1743345115,255
1743345145,255
1743345175,255
1743345205,255
1743345235,255
1743345265,255
1743345295,255
1743345325,255
1743345355,255
1743345385,255
1743345415,255
1743345445,255
1743345475,255
1743345505,255
1743345535,255
1743345565,255
1743345595,255
1743345625,255
1743345655,255
1743345685,255
1743345715,255
1743345745,255
1743345775,255
1743345805,255
1743345835,255
1743345865,255
1743345895,255
1743345925,255
1743345955,255
1743345985,255
1743346015,255
1743346045,255
1743346075,255
1743346105,255
1743346135,255
1743346165,255
1743346195,255
1743346225,255
1743346255,255
1743346285,255
1743346315,255
1743346345,255
1743346375,255
1743346405,255
1743346435,255
1743346465,255
1743346495,255
1743346525,255
1743346555,255
1743346585,255
1743346615,255
1743346645,255
1743346675,255
1743346705,255
1743346735,255
1743346765,255
1743346795,255
1743346825,255
1743346855,255
1743346885,255
1743346916,255
1743346946,255
1743346976,255
1743347006,255
1743347036,255
1743347066,255
1743347096,255
1743347126,255
1743347156,255
1743347186,255
1743347216,255
1743347246,255
1743347276,255
1743347306,255
1743347336,255
1743347366,255
1743347396,255
1743347426,255
1743347456,255
1743347486,255
1743347516,255
1743347546,255
1743347576,255
1743347606,255
1743347636,255
1743347666,255
1743347696,255
1743347726,255
1743347756,255
1743347786,255
1743347816,255
1743347846,255
1743347876,255
1743347906,255
1743347936,255
1743347966,255
1743347996,255
1743348026,255
1743348056,255
1743348086,255
1743348116,255
1743348146,255
1743348176,255
1743348206,255
1743348236,255
1743348266,255
1743348296,255
1743348326,255
1743348356,255
1743348386,255
1743348416,255
1743348446,255
1743348476,255
1743348506,255
1743348537,255
1743348567,255
1743348597,255
1743348627,255
1743348657,255
1743348687,255
1743348717,255
