t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1,0.08312614004383839,0.0,0.0,0.0,events/second,
1743304110,1,0.02367950578863397,0.0,0.0,0.0,events/second,
1743304140,1,0.0138324024675158,0.0,0.0,0.0,events/second,
1743304170,1,0.009764851907901342,0.0,0.0,0.0,events/second,
1743304200,1,0.007534884469372059,0.0,0.0,0.0,events/second,
1743304231,1,0.006130109227886181,0.0,0.0,0.0,events/second,
1743304261,1,0.005176941211170712,0.0,0.0,0.0,events/second,
1743304291,1,0.004479850262044316,0.0,0.0,0.0,events/second,
1743304321,1,0.003923631078742145,0.0,0.0,0.0,events/second,
1743304354,1,0.003493261999758878,0.0,0.0,0.0,events/second,
1743304384,1,0.0031617197207946778,0.0,0.0,0.0,events/second,
1743304414,1,0.002887522825517824,0.0,0.0,0.0,events/second,
1743304444,1,0.002657212935105943,0.0,0.0,0.0,events/second,
1743304474,1,0.002460901454243949,0.0,0.0,0.0,events/second,
1743304504,1,0.002291658007445914,0.0,0.0,0.0,events/second,
1743304534,1,0.0021441967250132306,0.0,0.0,0.0,events/second,
1743304564,1,0.002014529243816164,0.0,0.0,0.0,events/second,
1743304594,1,0.0018996263914543671,0.0,0.0,0.0,events/second,
1743304624,1,0.0017971476575984438,0.0,0.0,0.0,events/second,
1743304654,1,0.0017051788936257772,0.0,0.0,0.0,events/second,
1743304684,1,0.0016221565154568144,0.0,0.0,0.0,events/second,
1743304714,1,0.0015468271705522255,0.0,0.0,0.0,events/second,
1743304744,1,0.0014782072124301087,0.0,0.0,0.0,events/second,
1743304774,1,0.0014154009332240538,0.0,0.0,0.0,events/second,
1743304804,1,0.0013577117319482045,0.0,0.0,0.0,events/second,
1743304834,1,0.0013045449929185704,0.0,0.0,0.0,events/second,
1743304864,1,0.0012553801866319891,0.0,0.0,0.0,events/second,
1743304894,1,0.0012097933264826198,0.0,0.0,0.0,events/second,
1743304925,1,0.0011673694194383234,0.0,0.0,0.0,events/second,
1743304955,1,0.0011278478650192424,0.0,0.0,0.0,events/second,
1743304985,2,0.002181814597929854,0.0,0.0,0.0,events/second,
1743305015,2,0.002112628995444281,0.0,0.0,0.0,events/second,
1743305045,2,0.002047688823010603,0.0,0.0,0.0,events/second,
1743305075,2,0.0019866206554118335,0.0,0.0,0.0,events/second,
1743305105,2,0.0019291051075763295,0.0,0.0,0.0,events/second,
1743339378,2,5.663834351990505E-5,0.0,0.0,0.0,events/second,
1743339410,2,5.6589003709407676E-5,0.0,0.0,0.0,events/second,
1743339441,2,5.654057816404957E-5,0.0,0.0,0.0,events/second,
1743339471,2,5.6492577709041806E-5,0.0,0.0,0.0,events/second,
1743339501,2,5.6444578862403686E-5,0.0,0.0,0.0,events/second,
1743339531,2,5.6396799586667006E-5,0.0,0.0,0.0,events/second,
1743339561,2,5.634877870123456E-5,0.0,0.0,0.0,events/second,
1743339591,2,5.630107752934046E-5,0.0,0.0,0.0,events/second,
1743339621,2,5.625343565073692E-5,0.0,0.0,0.0,events/second,
1743339651,2,5.62059229886359E-5,0.0,0.0,0.0,events/second,
1743339681,2,5.6158544099554894E-5,0.0,0.0,0.0,events/second,
1743339711,2,5.611126093198557E-5,0.0,0.0,0.0,events/second,
1743339741,2,5.6064043217919095E-5,0.0,0.0,0.0,events/second,
1743339771,2,5.601692396338559E-5,0.0,0.0,0.0,events/second,
1743339801,2,5.596987567480642E-5,0.0,0.0,0.0,events/second,
1743339831,2,5.592290117183353E-5,0.0,0.0,0.0,events/second,
1743339861,2,5.5875990373500714E-5,0.0,0.0,0.0,events/second,
1743339891,2,5.5829170114817005E-5,0.0,0.0,0.0,events/second,
1743339921,2,5.578240675231664E-5,0.0,0.0,0.0,events/second,
1743339951,2,5.573575002264624E-5,0.0,0.0,0.0,events/second,
1743339982,2,5.568917172783833E-5,0.0,0.0,0.0,events/second,
1743340012,2,5.5642659359696976E-5,0.0,0.0,0.0,events/second,
1743340042,2,5.5596237878848544E-5,0.0,0.0,0.0,events/second,
1743340072,2,5.5549860338991305E-5,0.0,0.0,0.0,events/second,
1743340102,2,5.5503549736841566E-5,0.0,0.0,0.0,events/second,
1743340132,2,5.5457293462019396E-5,0.0,0.0,0.0,events/second,
1743340162,2,5.541116689447337E-5,0.0,0.0,0.0,events/second,
1743340192,2,5.536513379231865E-5,0.0,0.0,0.0,events/second,
1743340222,2,5.531914797579449E-5,0.0,0.0,0.0,events/second,
1743340252,2,5.527325473729317E-5,0.0,0.0,0.0,events/second,
1743340282,2,5.52274484506824E-5,0.0,0.0,0.0,events/second,
1743340312,2,5.5181685892626806E-5,0.0,0.0,0.0,events/second,
1743340342,2,5.5136020192044057E-5,0.0,0.0,0.0,events/second,
1743340372,2,5.5090442002296515E-5,0.0,0.0,0.0,events/second,
1743340402,2,5.504491829295003E-5,0.0,0.0,0.0,events/second,
1743340432,2,5.499948234832335E-5,0.0,0.0,0.0,events/second,
1743340462,2,5.495412052492015E-5,0.0,0.0,0.0,events/second,
1743340492,2,5.49088417237122E-5,0.0,0.0,0.0,events/second,
1743340522,2,5.486363777474683E-5,0.0,0.0,0.0,events/second,
1743340552,2,5.481848759698016E-5,0.0,0.0,0.0,events/second,
1743340582,2,5.4773423457777414E-5,0.0,0.0,0.0,events/second,
1743340612,2,5.472842882141102E-5,0.0,0.0,0.0,events/second,
1743340642,2,5.4683524618537094E-5,0.0,0.0,0.0,events/second,
1743340672,2,5.4638693086353074E-5,0.0,0.0,0.0,events/second,
1743340702,2,5.459392166346523E-5,0.0,0.0,0.0,events/second,
1743340732,2,5.454922518080494E-5,0.0,0.0,0.0,events/second,
1743340762,2,5.4504605029267496E-5,0.0,0.0,0.0,events/second,
1743340792,2,5.4460053603387E-5,0.0,0.0,0.0,events/second,
1743340822,2,5.441557521540566E-5,0.0,0.0,0.0,events/second,
1743340852,2,5.437116583050539E-5,0.0,0.0,0.0,events/second,
1743340882,2,5.43268158081721E-5,0.0,0.0,0.0,events/second,
1743340912,2,5.4282544304478706E-5,0.0,0.0,0.0,events/second,
1743340942,2,5.423836620692445E-5,0.0,0.0,0.0,events/second,
1743340972,2,5.4194249293182685E-5,0.0,0.0,0.0,events/second,
1743341002,2,5.4150209473323475E-5,0.0,0.0,0.0,events/second,
1743341032,2,5.410622750299271E-5,0.0,0.0,0.0,events/second,
1743341062,2,5.406232841177014E-5,0.0,0.0,0.0,events/second,
1743341092,2,5.401846967360046E-5,0.0,0.0,0.0,events/second,
1743341122,2,5.3974686964229054E-5,0.0,0.0,0.0,events/second,
1743341152,2,5.3930993231871E-5,0.0,0.0,0.0,events/second,
1743341182,2,5.388738289747756E-5,0.0,0.0,0.0,events/second,
1743341212,2,5.384383048855449E-5,0.0,0.0,0.0,events/second,
