t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1245184,103497.98854161473,0.0,0.0,0.0,events/second,
1743304110,1245184,29485.86448626458,0.0,0.0,0.0,events/second,
1743304140,1245184,17223.833533875353,0.0,0.0,0.0,events/second,
1743304170,1245184,12158.970940218227,0.0,0.0,0.0,events/second,
1743304200,1245184,9382.378479902362,0.0,0.0,0.0,events/second,
1743304231,1245184,7633.153093772304,0.0,0.0,0.0,events/second,
1743304261,1245184,6446.259268983284,0.0,0.0,0.0,events/second,
1743304291,1245184,5576.994200223248,0.0,0.0,0.0,events/second,
1743304321,1245184,4885.655795270852,0.0,0.0,0.0,events/second,
1743304354,1245184,4349.753866336194,0.0,0.0,0.0,events/second,
1743304384,1245184,3936.932637346281,0.0,0.0,0.0,events/second,
1743304414,1245184,3595.505987581351,0.0,0.0,0.0,events/second,
1743304444,1245184,3308.726787681965,0.0,0.0,0.0,events/second,
1743304474,1245184,3064.2816799965162,0.0,0.0,0.0,events/second,
1743304504,1245184,2853.5415735705483,0.0,0.0,0.0,events/second,
1743304534,1245184,2669.924377631462,0.0,0.0,0.0,events/second,
1743304564,1245184,2508.4639379403397,0.0,0.0,0.0,events/second,
1743304594,1245184,2365.3865400330287,0.0,0.0,0.0,events/second,
1743304624,1245184,2237.783038258517,0.0,0.0,0.0,events/second,
1743304654,1245184,2123.264481257626,0.0,0.0,0.0,events/second,
1743304684,1245184,2019.8861095390218,0.0,0.0,0.0,events/second,
1743304714,1245184,1926.0869107147478,0.0,0.0,0.0,events/second,
1743304744,1245184,1840.6422249156453,0.0,0.0,0.0,events/second,
1743304774,1245184,1762.4365049675014,0.0,0.0,0.0,events/second,
1743304804,1245184,1690.6023185120084,0.0,0.0,0.0,events/second,
1743304834,1245184,1624.4001489945783,0.0,0.0,0.0,events/second,
1743304864,1245184,1563.1805336919647,0.0,0.0,0.0,events/second,
1743304894,1245184,1506.4168035274868,0.0,0.0,0.0,events/second,
1743304925,1245184,1453.591050811034,0.0,0.0,0.0,events/second,
1743304955,1245184,1404.3792446618825,0.0,0.0,0.0,events/second,
1743304985,2506752,2734.636716032303,0.0,0.0,0.0,events/second,
1743305015,2506752,2647.9207907060395,0.0,0.0,0.0,events/second,
1743305045,2506752,2566.5262873858924,0.0,0.0,0.0,events/second,
1743305075,2506752,2489.984758614555,0.0,0.0,0.0,events/second,
1743305105,2506752,2417.8960825786376,0.0,0.0,0.0,events/second,
1743339378,2506752,70.98914053043109,0.0,0.0,0.0,events/second,
1743339410,2506752,70.92730075247978,0.0,0.0,0.0,events/second,
1743339441,2506752,70.86660521192955,0.0,0.0,0.0,events/second,
1743339471,2506752,70.80644280086453,0.0,0.0,0.0,events/second,
1743339501,2506752,70.74628220771473,0.0,0.0,0.0,events/second,
1743339531,2506752,70.68639680189716,0.0,0.0,0.0,events/second,
1743339561,2506752,70.6262085185453,0.0,0.0,0.0,events/second,
1743339591,2506752,70.56642089211715,0.0,0.0,0.0,events/second,
1743339621,2506752,70.50670780301341,0.0,0.0,0.0,events/second,
1743339651,2506752,70.447156196088,0.0,0.0,0.0,events/second,
1743339681,2506752,70.38777313171296,0.0,0.0,0.0,events/second,
1743339711,2506752,70.32850954940089,0.0,0.0,0.0,events/second,
1743339741,2506752,70.26932791391341,0.0,0.0,0.0,events/second,
1743339771,2506752,70.21026982180608,0.0,0.0,0.0,events/second,
1743339801,2506752,70.15130051282054,0.0,0.0,0.0,events/second,
1743339831,2506752,70.09242381820056,0.0,0.0,0.0,events/second,
1743339861,2506752,70.03362694355012,0.0,0.0,0.0,events/second,
1743339891,2506752,69.97494359113745,0.0,0.0,0.0,events/second,
1743339921,2506752,69.91633147232385,0.0,0.0,0.0,events/second,
1743339951,2506752,69.8578530453698,0.0,0.0,0.0,events/second,
1743339982,2506752,69.79947300861647,0.0,0.0,0.0,events/second,
1743340012,2506752,69.74117543989789,0.0,0.0,0.0,events/second,
1743340042,2506752,69.68299194314487,0.0,0.0,0.0,events/second,
1743340072,2506752,69.62486318192092,0.0,0.0,0.0,events/second,
1743340102,2506752,69.56681868728288,0.0,0.0,0.0,events/second,
1743340132,2506752,69.50884201117937,0.0,0.0,0.0,events/second,
1743340162,2506752,69.45102833403213,0.0,0.0,0.0,events/second,
1743340192,2506752,69.3933316031465,0.0,0.0,0.0,events/second,
1743340222,2506752,69.3356939991347,0.0,0.0,0.0,events/second,
1743340252,2506752,69.27817211724526,0.0,0.0,0.0,events/second,
1743340282,2506752,69.22076003455231,0.0,0.0,0.0,events/second,
1743340312,2506752,69.16340235366728,0.0,0.0,0.0,events/second,
1743340342,2506752,69.10616611310807,0.0,0.0,0.0,events/second,
1743340372,2506752,69.04903948141654,0.0,0.0,0.0,events/second,
1743340402,2506752,68.9919811251087,0.0,0.0,0.0,events/second,
1743340432,2506752,68.9350328493893,0.0,0.0,0.0,events/second,
1743340462,2506752,68.87817680322429,0.0,0.0,0.0,events/second,
1743340492,2506752,68.82142606834022,0.0,0.0,0.0,events/second,
1743340522,2506752,68.76476848596573,0.0,0.0,0.0,events/second,
1743340552,2506752,68.70817826892137,0.0,0.0,0.0,events/second,
1743340582,2506752,68.65169604324929,0.0,0.0,0.0,events/second,
1743340612,2506752,68.59530084470161,0.0,0.0,0.0,events/second,
1743340642,2506752,68.53901899201391,0.0,0.0,0.0,events/second,
1743340672,2506752,68.48282822452754,0.0,0.0,0.0,events/second,
1743340702,2506752,68.42671258701886,0.0,0.0,0.0,events/second,
1743340732,2506752,68.37069117535366,0.0,0.0,0.0,events/second,
1743340762,2506752,68.31476546273952,0.0,0.0,0.0,events/second,
1743340792,2506752,68.25892577248396,0.0,0.0,0.0,events/second,
1743340822,2506752,68.20317767313176,0.0,0.0,0.0,events/second,
1743340852,2506752,68.14751566286279,0.0,0.0,0.0,events/second,
1743340882,2506752,68.09192865533755,0.0,0.0,0.0,events/second,
1743340912,2506752,68.03643986391013,0.0,0.0,0.0,events/second,
1743340942,2506752,67.98106809814026,0.0,0.0,0.0,events/second,
1743340972,2506752,67.92577296365135,0.0,0.0,0.0,events/second,
1743341002,2506752,67.87057453156366,0.0,0.0,0.0,events/second,
1743341032,2506752,67.81544860129456,0.0,0.0,0.0,events/second,
1743341062,2506752,67.76042654196507,0.0,0.0,0.0,events/second,
1743341092,2506752,67.70545498718958,0.0,0.0,0.0,events/second,
1743341122,2506752,67.65057884396501,0.0,0.0,0.0,events/second,
1743341152,2506752,67.59581400239378,0.0,0.0,0.0,events/second,
1743341182,2506752,67.5411540182949,0.0,0.0,0.0,events/second,
1743341212,2506752,67.4865665152414,0.0,0.0,0.0,events/second,
1743341242,2506752,67.43205449144254,0.0,0.0,0.0,events/second,
1743341272,2506752,67.37766239637263,0.0,0.0,0.0,events/second,
1743341302,2506752,67.32333019343216,0.0,0.0,0.0,events/second,
1743341332,2506752,67.26906980839836,0.0,0.0,0.0,events/second,
1743341362,2506752,67.2149158883512,0.0,0.0,0.0,events/second,
