t,value
1743304080,61
1743304110,61
1743304140,61
1743304170,61
1743304200,61
1743304231,61
1743304261,61
1743304291,61
1743304321,61
1743304354,61
1743304384,61
1743304414,61
1743304444,61
1743304474,61
1743304504,61
1743304534,61
1743304564,61
1743304594,61
1743304624,61
1743304654,61
1743304684,61
1743304714,61
1743304744,61
1743304774,61
1743304804,61
1743304834,61
1743304864,61
1743304894,61
1743304925,61
1743304955,61
1743304985,56
1743305015,56
1743305045,56
1743305075,56
1743305105,56
1743339378,56
1743339410,56
1743339441,56
1743339471,56
1743339501,56
1743339531,56
1743339561,56
1743339591,56
1743339621,56
1743339651,56
1743339681,56
1743339711,56
1743339741,56
1743339771,56
1743339801,56
1743339831,56
1743339861,56
1743339891,56
1743339921,56
1743339951,56
1743339982,56
1743340012,56
1743340042,56
1743340072,56
1743340102,56
1743340132,56
1743340162,56
1743340192,56
1743340222,56
1743340252,56
1743340282,56
1743340312,56
1743340342,56
1743340372,56
1743340402,56
1743340432,56
1743340462,56
1743340492,56
1743340522,56
1743340552,56
1743340582,56
1743340612,56
1743340642,56
1743340672,56
1743340702,56
1743340732,56
1743340762,56
1743340792,56
1743340822,56
1743340852,56
1743340882,56
1743340912,56
1743340942,56
1743340972,56
1743341002,56
1743341032,56
1743341062,56
1743341092,56
1743341122,56
1743341152,56
1743341182,56
1743341212,56
1743341242,56
1743341272,56
1743341302,56
1743341332,56
1743341362,56
1743341392,56
1743341423,56
1743341453,56
1743341483,56
1743341513,56
1743341543,56
1743341573,56
1743341603,56
1743341633,56
1743341663,56
1743341693,56
1743341723,56
1743341753,56
1743341783,56
1743341813,56
1743341843,56
1743341873,56
1743341903,56
1743341933,56
1743341963,56
1743341993,56
1743342023,56
1743342053,56
1743342083,56
1743342113,56
1743342143,56
1743342173,56
1743342203,56
1743342233,56
1743342263,56
1743342293,56
1743342323,56
1743342353,56
1743342383,56
1743342413,56
1743342443,56
1743342473,56
1743342503,56
1743342533,56
1743342563,56
1743342593,56
1743342623,56
1743342653,56
1743342683,56
1743342713,56
1743342743,56
1743342773,56
1743342803,56
1743342833,56
1743342863,56
1743342893,56
1743342924,56
1743342954,56
1743342984,56
1743343014,56
1743343044,56
1743343074,56
1743343104,56
1743343134,56
1743343164,56
1743343194,56
1743343224,56
1743343254,56
1743343284,56
1743343314,56
1743343344,56
1743343374,56
1743343404,56
1743343434,56
1743343464,56
1743343494,56
1743343524,56
1743343554,56
1743343584,56
1743343614,56
1743343644,56
1743343674,56
1743343704,56
1743343734,56
1743343764,56
1743343794,56
1743343824,56
1743343854,56
1743343884,56
1743343914,56
1743343944,56
1743343974,56
1743344004,56
1743344034,56
1743344064,56
1743344094,56
1743344124,56
1743344154,56
1743344184,56
1743344214,56
1743344244,56
1743344274,56
1743344304,56
1743344334,56
1743344364,56
1743344394,56
1743344424,56
1743344454,56
1743344484,56
1743344514,56
1743344544,56
1743344574,56
1743344604,56
1743344634,56
1743344664,56
1743344694,56
1743344724,56
1743344754,56
1743344784,56
1743344814,56
1743344844,56
1743344875,56
1743344905,56
1743344935,56
1743344965,56
1743344995,56
1743345025,56
1743345055,56
1743345085,56
1743345115,56
1743345145,56
1743345175,56
1743345205,56
1743345235,56
1743345265,56
1743345295,56
1743345325,56
1743345355,56
1743345385,56
1743345415,56
1743345445,56
1743345475,56
1743345505,56
1743345535,56
1743345565,56
1743345595,56
1743345625,56
1743345655,56
1743345685,56
1743345715,56
1743345745,56
1743345775,56
1743345805,56
1743345835,56
1743345865,56
1743345895,56
1743345925,56
1743345955,56
1743345985,56
1743346015,56
1743346045,56
1743346075,56
1743346105,56
1743346135,56
1743346165,56
1743346195,56
1743346225,56
1743346255,56
1743346285,56
1743346315,56
1743346345,56
1743346375,56
1743346405,56
1743346435,56
1743346465,56
1743346495,56
1743346525,56
1743346555,56
1743346585,56
1743346615,56
1743346645,56
1743346675,56
1743346705,56
1743346735,56
1743346765,56
1743346795,56
1743346825,56
1743346855,56
1743346885,56
1743346916,56
1743346946,56
1743346976,56
1743347006,56
1743347036,56
1743347066,56
1743347096,56
1743347126,56
1743347156,56
1743347186,56
1743347216,56
1743347246,56
1743347276,56
1743347306,56
1743347336,56
1743347366,56
1743347396,56
1743347426,56
1743347456,56
1743347486,56
1743347516,56
1743347546,56
1743347576,56
1743347606,56
1743347636,56
1743347666,56
1743347696,56
1743347726,56
1743347756,56
1743347786,56
