t,value
1743304080,78
1743304110,78
1743304140,78
1743304170,78
1743304200,78
1743304231,78
1743304261,78
1743304291,78
1743304321,78
1743304354,78
1743304384,78
1743304414,78
1743304444,78
1743304474,78
1743304504,78
1743304534,78
1743304564,78
1743304594,78
1743304624,78
1743304654,78
1743304684,78
1743304714,78
1743304744,78
1743304774,78
1743304804,78
1743304834,78
1743304864,78
1743304894,78
1743304925,78
1743304955,78
1743304985,58
1743305015,58
1743305045,58
1743305075,58
1743305105,58
1743339378,58
1743339410,58
1743339441,58
1743339471,58
1743339501,58
1743339531,58
1743339561,58
1743339591,58
1743339621,58
1743339651,58
1743339681,58
1743339711,58
1743339741,58
1743339771,58
1743339801,58
1743339831,58
1743339861,58
1743339891,58
1743339921,58
1743339951,58
1743339982,58
1743340012,58
1743340042,58
1743340072,58
1743340102,58
1743340132,58
1743340162,58
1743340192,58
1743340222,58
1743340252,58
1743340282,58
1743340312,58
1743340342,58
1743340372,58
1743340402,58
1743340432,58
1743340462,58
1743340492,58
1743340522,58
1743340552,58
1743340582,58
1743340612,58
1743340642,58
1743340672,58
1743340702,58
1743340732,58
1743340762,58
1743340792,58
1743340822,58
1743340852,58
1743340882,58
1743340912,58
1743340942,58
1743340972,58
1743341002,58
1743341032,58
1743341062,58
1743341092,58
1743341122,58
1743341152,58
1743341182,58
1743341212,58
1743341242,58
1743341272,58
1743341302,58
1743341332,58
1743341362,58
1743341392,58
1743341423,58
1743341453,58
1743341483,58
1743341513,58
1743341543,58
1743341573,58
1743341603,58
1743341633,58
1743341663,58
1743341693,58
1743341723,58
1743341753,58
1743341783,58
1743341813,58
1743341843,58
1743341873,58
1743341903,58
1743341933,58
1743341963,58
1743341993,58
1743342023,58
1743342053,58
1743342083,58
1743342113,58
1743342143,58
1743342173,58
1743342203,58
1743342233,58
1743342263,58
1743342293,58
1743342323,58
1743342353,58
1743342383,58
1743342413,58
1743342443,58
1743342473,58
1743342503,58
1743342533,58
1743342563,58
1743342593,58
1743342623,58
1743342653,58
1743342683,58
1743342713,58
1743342743,58
1743342773,58
1743342803,58
1743342833,58
1743342863,58
1743342893,58
1743342924,58
1743342954,58
1743342984,58
1743343014,58
1743343044,58
1743343074,58
1743343104,58
1743343134,58
1743343164,58
1743343194,58
1743343224,58
1743343254,58
1743343284,58
1743343314,58
1743343344,58
1743343374,58
1743343404,58
1743343434,58
1743343464,58
1743343494,58
1743343524,58
1743343554,58
1743343584,58
1743343614,58
1743343644,58
1743343674,58
1743343704,58
1743343734,58
1743343764,58
1743343794,58
1743343824,58
1743343854,58
1743343884,58
1743343914,58
1743343944,58
1743343974,58
1743344004,58
1743344034,58
1743344064,58
1743344094,58
1743344124,58
1743344154,58
1743344184,58
1743344214,58
1743344244,58
1743344274,58
1743344304,58
1743344334,58
1743344364,58
1743344394,58
1743344424,58
1743344454,58
1743344484,58
1743344514,58
1743344544,58
1743344574,58
1743344604,58
1743344634,58
1743344664,58
1743344694,58
1743344724,58
1743344754,58
1743344784,58
1743344814,58
1743344844,58
1743344875,58
1743344905,58
1743344935,58
1743344965,58
1743344995,58
1743345025,58
1743345055,58
1743345085,58
1743345115,58
1743345145,58
1743345175,58
1743345205,58
1743345235,58
1743345265,58
1743345295,58
1743345325,58
1743345355,58
1743345385,58
1743345415,58
1743345445,58
1743345475,58
1743345505,58
1743345535,58
1743345565,58
1743345595,58
1743345625,58
1743345655,58
1743345685,58
1743345715,58
1743345745,58
1743345775,58
1743345805,58
1743345835,58
1743345865,58
1743345895,58
1743345925,58
1743345955,58
1743345985,58
1743346015,58
1743346045,58
1743346075,58
1743346105,58
1743346135,58
1743346165,58
1743346195,58
1743346225,58
1743346255,58
1743346285,58
1743346315,58
1743346345,58
1743346375,58
1743346405,58
1743346435,58
1743346465,58
1743346495,58
1743346525,58
1743346555,58
1743346585,58
1743346615,58
1743346645,58
1743346675,58
1743346705,58
1743346735,58
1743346765,58
1743346795,58
1743346825,58
1743346855,58
1743346885,58
1743346916,58
1743346946,58
1743346976,58
1743347006,58
1743347036,58
1743347066,58
1743347096,58
1743347126,58
1743347156,58
1743347186,58
1743347216,58
1743347246,58
1743347276,58
1743347306,58
1743347336,58
1743347366,58
1743347396,58
1743347426,58
1743347456,58
1743347486,58
1743347516,58
1743347546,58
1743347576,58
1743347606,58
1743347636,58
1743347666,58
1743347696,58
1743347726,58
1743347756,58
1743347786,58
1743347816,58
1743347846,58
1743347876,58
1743347906,58
1743347936,58
1743347966,58
1743347996,58
1743348026,58
1743348056,58
1743348086,58
1743348116,58
1743348146,58
1743348176,58
1743348206,58
1743348236,58
1743348266,58
1743348296,58
1743348326,58
1743348356,58
1743348386,58
1743348416,58
1743348446,58
1743348476,58
1743348506,58
1743348537,58
1743348567,58
1743348597,58
1743348627,58
1743348657,58
1743348687,58
1743348717,58
1743348747,58
1743348777,58
1743348807,58
1743348837,58
1743348867,58
1743348897,58
1743348927,58
1743348957,58
1743348987,58
1743349017,58
1743349047,58
1743364211,58
1743364241,58
1743372290,58
1743372320,58
1743372350,58
1743372380,58
1743372410,58
1743372440,58
1743372470,58
1743372500,58
1743372530,58
1743372560,58
1743372590,58
1743372620,58
1743372650,58
1743372680,58
1743372710,58
1743372740,58
1743372770,58
1743372800,58
1743372830,58
1743372860,58
1743372890,58
1743372920,58
1743372950,58
1743372980,58
1743373010,58
1743373040,58
1743373070,58
1743373100,58
1743373130,58
1743373160,58
1743373190,58
1743373220,58
1743373250,58
1743373280,58
1743373310,58
1743373340,58
1743373370,58
1743373400,58
1743373430,58
1743373460,58
1743373490,58
1743373520,58
1743373550,58
1743373580,58
1743373610,58
1743373640,58
1743373670,58
1743373700,58
1743373730,58
1743373760,58
1743373790,58
1743373820,58
1743373850,58
1743373880,58
1743373910,58
1743373940,58
1743373970,58
1743374000,58
1743374030,58
1743374060,58
1743374090,58
1743374120,58
1743374150,58
1743374180,58
1743374210,58
1743374240,58
1743374270,58
1743374300,58
1743374330,58
1743374360,58
1743374390,58
1743374420,58
1743374450,58
1743374480,58
1743374510,58
1743374540,58
1743374570,58
1743374600,58
1743374630,58
1743374660,58
1743374691,58
1743374721,58
1743374751,58
1743374781,58
1743376594,58
1743376624,58
1743376654,58
1743376684,58
1743376714,58
1743376744,58
