t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,296,24.593118077857724,0.0,0.0,0.0,events/second,
1743304110,296,7.009087589891845,0.0,0.0,0.0,events/second,
1743304140,296,4.094287473481691,0.0,0.0,0.0,events/second,
1743304170,296,2.8903066400622666,0.0,0.0,0.0,events/second,
1743304200,296,2.230325014768312,0.0,0.0,0.0,events/second,
1743304231,296,1.8145115973261265,0.0,0.0,0.0,events/second,
1743304261,296,1.5323697038530144,0.0,0.0,0.0,events/second,
1743304291,296,1.3257330378037313,0.0,0.0,0.0,events/second,
1743304321,296,1.161393897956575,0.0,0.0,0.0,events/second,
1743304354,296,1.0340023816400425,0.0,0.0,0.0,events/second,
1743304384,296,0.9358686589049574,0.0,0.0,0.0,events/second,
1743304414,296,0.8547066260436735,0.0,0.0,0.0,events/second,
1743304444,296,0.7865350720541764,0.0,0.0,0.0,events/second,
1743304474,296,0.7284268184458785,0.0,0.0,0.0,events/second,
1743304504,296,0.6783307531044674,0.0,0.0,0.0,events/second,
1743304534,296,0.634682132620315,0.0,0.0,0.0,events/second,
1743304564,296,0.5963006381506084,0.0,0.0,0.0,events/second,
1743304594,296,0.5622889774583691,0.0,0.0,0.0,events/second,
1743304624,296,0.5319557276812052,0.0,0.0,0.0,events/second,
1743304654,296,0.5047329108572907,0.0,0.0,0.0,events/second,
1743304684,296,0.4801583212536327,0.0,0.0,0.0,events/second,
1743304714,296,0.45786080338907825,0.0,0.0,0.0,events/second,
1743304744,296,0.4375493015050239,0.0,0.0,0.0,events/second,
1743304774,296,0.41895858698866645,0.0,0.0,0.0,events/second,
1743304804,296,0.40188252686149445,0.0,0.0,0.0,events/second,
1743304834,296,0.3861452291946092,0.0,0.0,0.0,events/second,
1743304864,296,0.37159241157663586,0.0,0.0,0.0,events/second,
1743304894,296,0.3580988043639,0.0,0.0,0.0,events/second,
1743304925,296,0.3455412889383915,0.0,0.0,0.0,events/second,
1743304955,296,0.33384288664120976,0.0,0.0,0.0,events/second,
1743304985,551,0.6010899275657019,0.0,0.0,0.0,events/second,
1743305015,551,0.5820292415811296,0.0,0.0,0.0,events/second,
1743305045,551,0.5641382640971384,0.0,0.0,0.0,events/second,
1743305075,551,0.5473139546848882,0.0,0.0,0.0,events/second,
1743305105,551,0.5314684671335494,0.0,0.0,0.0,events/second,
1743339378,551,0.015603862948841208,0.0,0.0,0.0,events/second,
1743339410,551,0.015590270503017813,0.0,0.0,0.0,events/second,
1743339441,551,0.015576929237605114,0.0,0.0,0.0,events/second,
1743339471,551,0.015563705160335712,0.0,0.0,0.0,events/second,
1743339501,551,0.015550481481902545,0.0,0.0,0.0,events/second,
1743339531,551,0.015537317922261871,0.0,0.0,0.0,events/second,
1743339561,551,0.01552408852287389,0.0,0.0,0.0,events/second,
1743339591,551,0.01551094682392167,0.0,0.0,0.0,events/second,
1743339621,551,0.015497821508221443,0.0,0.0,0.0,events/second,
1743339651,551,0.015484731649511876,0.0,0.0,0.0,events/second,
1743339681,551,0.015471678915153863,0.0,0.0,0.0,events/second,
1743339711,551,0.015458652405975035,0.0,0.0,0.0,events/second,
1743339741,551,0.01544564390640682,0.0,0.0,0.0,events/second,
1743339771,551,0.015432662562373065,0.0,0.0,0.0,events/second,
1743339801,551,0.015419700672332302,0.0,0.0,0.0,events/second,
1743339831,551,0.015406759245527712,0.0,0.0,0.0,events/second,
1743339861,551,0.01539383532256815,0.0,0.0,0.0,events/second,
1743339891,551,0.015380936358173843,0.0,0.0,0.0,events/second,
1743339921,551,0.015368053035059587,0.0,0.0,0.0,events/second,
1743339951,551,0.015355199103296073,0.0,0.0,0.0,events/second,
1743339982,551,0.015342366818965414,0.0,0.0,0.0,events/second,
1743340012,551,0.01532955255077013,0.0,0.0,0.0,events/second,
1743340042,551,0.015316763539156725,0.0,0.0,0.0,events/second,
1743340072,551,0.015303986442331797,0.0,0.0,0.0,events/second,
1743340102,551,0.015291227910233721,0.0,0.0,0.0,events/second,
1743340132,551,0.01527848414878038,0.0,0.0,0.0,events/second,
1743340162,551,0.015265776359352692,0.0,0.0,0.0,events/second,
1743340192,551,0.015253094354379056,0.0,0.0,0.0,events/second,
1743340222,551,0.015240425237654709,0.0,0.0,0.0,events/second,
1743340252,551,0.01522778156767461,0.0,0.0,0.0,events/second,
1743340282,551,0.015215162031441137,0.0,0.0,0.0,events/second,
1743340312,551,0.015202554408135005,0.0,0.0,0.0,events/second,
1743340342,551,0.015189973565378804,0.0,0.0,0.0,events/second,
1743340372,551,0.015177416768664425,0.0,0.0,0.0,events/second,
1743340402,551,0.015164874839536335,0.0,0.0,0.0,events/second,
1743340432,551,0.015152357389379862,0.0,0.0,0.0,events/second,
1743340462,551,0.01513986006467349,0.0,0.0,0.0,events/second,
1743340492,551,0.015127385901029352,0.0,0.0,0.0,events/second,
1743340522,551,0.015114932202423284,0.0,0.0,0.0,events/second,
1743340552,551,0.015102493243017153,0.0,0.0,0.0,events/second,
1743340582,551,0.015090078163940134,0.0,0.0,0.0,events/second,
1743340612,551,0.015077682136214106,0.0,0.0,0.0,events/second,
1743340642,551,0.015065311034054616,0.0,0.0,0.0,events/second,
1743340672,551,0.015052959947140837,0.0,0.0,0.0,events/second,
1743340702,551,0.015040625360559463,0.0,0.0,0.0,events/second,
1743340732,551,0.015028311486690175,0.0,0.0,0.0,events/second,
1743340762,551,0.01501601868777299,0.0,0.0,0.0,events/second,
1743340792,551,0.015003744769285617,0.0,0.0,0.0,events/second,
1743340822,551,0.014991490978655944,0.0,0.0,0.0,events/second,
1743340852,551,0.014979256097326707,0.0,0.0,0.0,events/second,
1743340882,551,0.014967037684126126,0.0,0.0,0.0,events/second,
1743340912,551,0.014954840958522191,0.0,0.0,0.0,events/second,
1743340942,551,0.01494266989276327,0.0,0.0,0.0,events/second,
1743340972,551,0.014930515663805667,0.0,0.0,0.0,events/second,
1743341002,551,0.014918382706952026,0.0,0.0,0.0,events/second,
1743341032,551,0.014906265677679383,0.0,0.0,0.0,events/second,
1743341062,551,0.01489417148138822,0.0,0.0,0.0,events/second,
1743341092,551,0.014882087591772258,0.0,0.0,0.0,events/second,
1743341122,551,0.01487002626105292,0.0,0.0,0.0,events/second,
