t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,0,0.0,0.0,0.0,0.0,events/second,
1743304110,6,0.14207325771692564,0.0,0.0,0.0,events/second,
1743304140,6,0.08299067268382977,0.0,0.0,0.0,events/second,
1743304170,6,0.05858663807417401,0.0,0.0,0.0,events/second,
1743304200,6,0.04520904315706647,0.0,0.0,0.0,events/second,
1743304231,6,0.03678047774335409,0.0,0.0,0.0,events/second,
1743304261,6,0.031061430150546566,0.0,0.0,0.0,events/second,
1743304291,6,0.026872855999570677,0.0,0.0,0.0,events/second,
1743304321,6,0.023541703220310666,0.0,0.0,0.0,events/second,
1743304354,6,0.020959453021154508,0.0,0.0,0.0,events/second,
1743304384,6,0.01897026197482508,0.0,0.0,0.0,events/second,
1743304414,6,0.017325098127450034,0.0,0.0,0.0,events/second,
1743304444,6,0.015943248862013277,0.0,0.0,0.0,events/second,
1743304474,6,0.014765380455941921,0.0,0.0,0.0,events/second,
1743304504,6,0.013749925051736655,0.0,0.0,0.0,events/second,
1743304534,6,0.01286515813829119,0.0,0.0,0.0,events/second,
1743304564,6,0.012087157431772248,0.0,0.0,0.0,events/second,
1743304594,6,0.011397733512364675,0.0,0.0,0.0,events/second,
1743304624,6,0.01078287289616616,0.0,0.0,0.0,events/second,
1743304654,6,0.01023105999130308,0.0,0.0,0.0,events/second,
1743304684,6,0.009732927963545301,0.0,0.0,0.0,events/second,
1743304714,6,0.009280952150057023,0.0,0.0,0.0,events/second,
1743304744,6,0.00886923342592436,0.0,0.0,0.0,events/second,
1743304774,6,0.008492394680246098,0.0,0.0,0.0,events/second,
1743304804,6,0.008146259427641597,0.0,0.0,0.0,events/second,
1743304834,6,0.00782726033363141,0.0,0.0,0.0,events/second,
1743304864,6,0.00753227176983288,0.0,0.0,0.0,events/second,
1743304894,6,0.007258753262054227,0.0,0.0,0.0,events/second,
1743304925,6,0.007004209027774115,0.0,0.0,0.0,events/second,
1743304955,6,0.006767079755553924,0.0,0.0,0.0,events/second,
1743304985,6,0.006545438890430831,0.0,0.0,0.0,events/second,
1743305015,6,0.006337879822233419,0.0,0.0,0.0,events/second,
1743305045,6,0.006143061871378386,0.0,0.0,0.0,events/second,
1743305075,6,0.005959856811702538,0.0,0.0,0.0,events/second,
1743305105,6,0.005787311502294517,0.0,0.0,0.0,events/second,
1743339378,6,1.6991501610491016E-4,0.0,0.0,0.0,events/second,
1743339410,6,1.6976700752705938E-4,0.0,0.0,0.0,events/second,
1743339441,6,1.696217304919467E-4,0.0,0.0,0.0,events/second,
1743339471,6,1.6947772980582367E-4,0.0,0.0,0.0,events/second,
1743339501,6,1.6933373333272186E-4,0.0,0.0,0.0,events/second,
1743339531,6,1.6919038967859622E-4,0.0,0.0,0.0,events/second,
1743339561,6,1.690463327059384E-4,0.0,0.0,0.0,events/second,
1743339591,6,1.6890322890549314E-4,0.0,0.0,0.0,events/second,
1743339621,6,1.6876030299585844E-4,0.0,0.0,0.0,events/second,
1743339651,6,1.6861776321791492E-4,0.0,0.0,0.0,events/second,
1743339681,6,1.684756291948701E-4,0.0,0.0,0.0,events/second,
1743339711,6,1.6833377975972625E-4,0.0,0.0,0.0,events/second,
1743339741,6,1.6819212637605245E-4,0.0,0.0,0.0,events/second,
1743339771,6,1.6805076877281428E-4,0.0,0.0,0.0,events/second,
1743339801,6,1.6790962287478503E-4,0.0,0.0,0.0,events/second,
1743339831,6,1.6776869973216376E-4,0.0,0.0,0.0,events/second,
1743339861,6,1.676279673495981E-4,0.0,0.0,0.0,events/second,
1743339891,6,1.674875066691629E-4,0.0,0.0,0.0,events/second,
1743339921,6,1.6734721666109616E-4,0.0,0.0,0.0,events/second,
1743339951,6,1.6720724626747874E-4,0.0,0.0,0.0,events/second,
1743339982,6,1.6706751203555688E-4,0.0,0.0,0.0,events/second,
1743340012,6,1.669279735343177E-4,0.0,0.0,0.0,events/second,
1743340042,6,1.6678871041794815E-4,0.0,0.0,0.0,events/second,
1743340072,6,1.666495768294068E-4,0.0,0.0,0.0,events/second,
1743340102,6,1.6651064538436488E-4,0.0,0.0,0.0,events/second,
1743340132,6,1.6637187310493905E-4,0.0,0.0,0.0,events/second,
1743340162,6,1.6623349596821092E-4,0.0,0.0,0.0,events/second,
1743340192,6,1.660953980365475E-4,0.0,0.0,0.0,events/second,
1743340222,6,1.6595744017388527E-4,0.0,0.0,0.0,events/second,
1743340252,6,1.6581975925156623E-4,0.0,0.0,0.0,events/second,
1743340282,6,1.6568234191705725E-4,0.0,0.0,0.0,events/second,
1743340312,6,1.655450535661921E-4,0.0,0.0,0.0,events/second,
1743340342,6,1.6540805738506445E-4,0.0,0.0,0.0,events/second,
1743340372,6,1.652713227600928E-4,0.0,0.0,0.0,events/second,
1743340402,6,1.6513474865413534E-4,0.0,0.0,0.0,events/second,
1743340432,6,1.649984438696874E-4,0.0,0.0,0.0,events/second,
1743340462,6,1.6486235677574954E-4,0.0,0.0,0.0,events/second,
1743340492,6,1.6472652205651065E-4,0.0,0.0,0.0,events/second,
1743340522,6,1.6459091008064436E-4,0.0,0.0,0.0,events/second,
1743340552,6,1.6445545760720079E-4,0.0,0.0,0.0,events/second,
1743340582,6,1.6432026721014743E-4,0.0,0.0,0.0,events/second,
1743340612,6,1.641852832410974E-4,0.0,0.0,0.0,events/second,
1743340642,6,1.6405057070414695E-4,0.0,0.0,0.0,events/second,
1743340672,6,1.6391607611813386E-4,0.0,0.0,0.0,events/second,
1743340702,6,1.6378176108162393E-4,0.0,0.0,0.0,events/second,
1743340732,6,1.6364767144543533E-4,0.0,0.0,0.0,events/second,
1743340762,6,1.6351381196717614E-4,0.0,0.0,0.0,events/second,
1743340792,6,1.6338015752557792E-4,0.0,0.0,0.0,events/second,
1743340822,6,1.632467226525906E-4,0.0,0.0,0.0,events/second,
1743340852,6,1.631134924093244E-4,0.0,0.0,0.0,events/second,
1743340882,6,1.6298044215891854E-4,0.0,0.0,0.0,events/second,
1743340912,6,1.6284762982790964E-4,0.0,0.0,0.0,events/second,
1743340942,6,1.6271509554467988E-4,0.0,0.0,0.0,events/second,
1743340972,6,1.6258274450976206E-4,0.0,0.0,0.0,events/second,
1743341002,6,1.6245062528613344E-4,0.0,0.0,0.0,events/second,
1743341032,6,1.6231867917472048E-4,0.0,0.0,0.0,events/second,
1743341062,6,1.6218698197704512E-4,0.0,0.0,0.0,events/second,
1743341092,6,1.6205539597780218E-4,0.0,0.0,0.0,events/second,
1743341122,6,1.6192405783812695E-4,0.0,0.0,0.0,events/second,
1743341152,6,1.6179297599986145E-4,0.0,0.0,0.0,events/second,
1743341182,6,1.6166214565427965E-4,0.0,0.0,0.0,events/second,
1743341212,6,1.6153148864333315E-4,0.0,0.0,0.0,events/second,
1743341242,6,1.6140101207547434E-4,0.0,0.0,0.0,events/second,
1743341272,6,1.6127082262664113E-4,0.0,0.0,0.0,events/second,
1743341302,6,1.6114077421351737E-4,0.0,0.0,0.0,events/second,
1743341332,6,1.610109024374962E-4,0.0,0.0,0.0,events/second,
1743341362,6,1.6088128278239413E-4,0.0,0.0,0.0,events/second,
1743341392,6,1.6075184284018975E-4,0.0,0.0,0.0,events/second,
1743341423,6,1.606226682883407E-4,0.0,0.0,0.0,events/second,
1743341453,6,1.6049364843915905E-4,0.0,0.0,0.0,events/second,
1743341483,6,1.6036482901698245E-4,0.0,0.0,0.0,events/second,
1743341513,6,1.6023624058125643E-4,0.0,0.0,0.0,events/second,
1743341543,6,1.6010787412500517E-4,0.0,0.0,0.0,events/second,
1743341573,6,1.5997974630559044E-4,0.0,0.0,0.0,events/second,
1743341603,6,1.5985181569671736E-4,0.0,0.0,0.0,events/second,
1743341633,6,1.5972405775079563E-4,0.0,0.0,0.0,events/second,
1743341663,6,1.595965502959045E-4,0.0,0.0,0.0,events/second,
1743341693,6,1.594691526946873E-4,0.0,0.0,0.0,events/second,
1743341723,6,1.5934197936746746E-4,0.0,0.0,0.0,events/second,
1743341753,6,1.5921505958474007E-4,0.0,0.0,0.0,events/second,
1743341783,6,1.5908837308050892E-4,0.0,0.0,0.0,events/second,
1743341813,6,1.589618204843684E-4,0.0,0.0,0.0,events/second,
1743341843,6,1.5883548012550396E-4,0.0,0.0,0.0,events/second,
1743341873,6,1.5870937213794564E-4,0.0,0.0,0.0,events/second,
1743341903,6,1.585834091284105E-4,0.0,0.0,0.0,events/second,
1743341933,6,1.5845773450863954E-4,0.0,0.0,0.0,events/second,
1743341963,6,1.5833222686898458E-4,0.0,0.0,0.0,events/second,
1743341993,6,1.58206871999907E-4,0.0,0.0,0.0,events/second,
1743342023,6,1.5808174490636437E-4,0.0,0.0,0.0,events/second,
1743342053,6,1.5795685098694473E-4,0.0,0.0,0.0,events/second,
1743342083,6,1.5783202125964216E-4,0.0,0.0,0.0,events/second,
1743342113,6,1.5770723331467987E-4,0.0,0.0,0.0,events/second,
1743342143,6,1.5758284749067244E-4,0.0,0.0,0.0,events/second,
1743342173,6,1.5745866578972142E-4,0.0,0.0,0.0,events/second,
1743342203,6,1.5733477035622732E-4,0.0,0.0,0.0,events/second,
1743342233,6,1.5721103893336354E-4,0.0,0.0,0.0,events/second,
1743342263,6,1.570874835865413E-4,0.0,0.0,0.0,events/second,
1743342293,6,1.569641502780083E-4,0.0,0.0,0.0,events/second,
1743342323,6,1.568410245228376E-4,0.0,0.0,0.0,events/second,
1743342353,6,1.5671802243283432E-4,0.0,0.0,0.0,events/second,
1743342383,6,1.5659525293328552E-4,0.0,0.0,0.0,events/second,
1743342413,6,1.5647266453994323E-4,0.0,0.0,0.0,events/second,
1743342443,6,1.563502967011022E-4,0.0,0.0,0.0,events/second,
1743342473,6,1.5622812636454864E-4,0.0,0.0,0.0,events/second,
1743342503,6,1.5610614171931823E-4,0.0,0.0,0.0,events/second,
1743342533,6,1.559843309597855E-4,0.0,0.0,0.0,events/second,
1743342563,6,1.5586271374545008E-4,0.0,0.0,0.0,events/second,
1743342593,6,1.5574123141688358E-4,0.0,0.0,0.0,events/second,
1743342623,6,1.5561999225790896E-4,0.0,0.0,0.0,events/second,
1743342653,6,1.5549896253038657E-4,0.0,0.0,0.0,events/second,
1743342683,6,1.55378111647084E-4,0.0,0.0,0.0,events/second,
1743342713,6,1.5525739591940065E-4,0.0,0.0,0.0,events/second,
1743342743,6,1.551368640981786E-4,0.0,0.0,0.0,events/second,
1743342773,6,1.5501652404601037E-4,0.0,0.0,0.0,events/second,
1743342803,6,1.54896442408415E-4,0.0,0.0,0.0,events/second,
1743342833,6,1.5477653201059055E-4,0.0,0.0,0.0,events/second,
1743342863,6,1.5465674106076668E-4,0.0,0.0,0.0,events/second,
1743342893,6,1.5453717483359918E-4,0.0,0.0,0.0,events/second,
1743342924,6,1.5441778455337732E-4,0.0,0.0,0.0,events/second,
1743342954,6,1.542986212290242E-4,0.0,0.0,0.0,events/second,
1743342984,6,1.5417963077226686E-4,0.0,0.0,0.0,events/second,
1743343014,6,1.540608181719725E-4,0.0,0.0,0.0,events/second,
1743343044,6,1.5394215211655772E-4,0.0,0.0,0.0,events/second,
1743343074,6,1.5382372284136595E-4,0.0,0.0,0.0,events/second,
1743343104,6,1.53705461214221E-4,0.0,0.0,0.0,events/second,
1743343134,6,1.5358734386420404E-4,0.0,0.0,0.0,events/second,
1743343164,6,1.5346945885197743E-4,0.0,0.0,0.0,events/second,
1743343194,6,1.5335170549830239E-4,0.0,0.0,0.0,events/second,
1743343224,6,1.532341345732839E-4,0.0,0.0,0.0,events/second,
1743343254,6,1.531167001662788E-4,0.0,0.0,0.0,events/second,
1743343284,6,1.5299952948058523E-4,0.0,0.0,0.0,events/second,
1743343314,6,1.5288252388756613E-4,0.0,0.0,0.0,events/second,
1743343344,6,1.527657012341171E-4,0.0,0.0,0.0,events/second,
1743343374,6,1.5264904571299286E-4,0.0,0.0,0.0,events/second,
