t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1743304080,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1743304110,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304140,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304170,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304200,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304231,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304261,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304291,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304321,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304354,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304384,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304414,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304444,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304474,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304504,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304534,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304564,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304594,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304624,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304654,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304684,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304714,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304744,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304774,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304804,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304834,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304864,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304894,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304925,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304955,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743304985,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743305015,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743305045,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743305075,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743305105,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339378,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339410,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339441,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339471,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339501,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339531,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339561,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339591,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
1743339621,19,7706,566.8947368421053,6,1746.546589216587,92.0,259.0,7706.0,7706.0,7706.0,7706.0,
