t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,0,0.0,0.0,0.0,0.0,events/second,
1743304110,19,0.44384571785488797,0.24363697131363968,0.060067594731673175,0.020741235842837734,events/second,
1743304140,19,0.2607196360340708,0.14777329294124988,0.05435140732463757,0.020061257251087115,events/second,
1743304170,19,0.18448108202916164,0.08962903285556456,0.049179187070245794,0.01940357100916284,events/second,
1743304200,19,0.14254380980650141,0.054362756427290895,0.044499168649748656,0.018767446286908178,events/second,
1743304231,19,0.11606203844349289,0.03297267851964196,0.0402645128657853,0.01815217621362883,events/second,
1743304261,19,0.09806899956530296,0.019998940455011025,0.03643283785995284,0.017557077092608297,events/second,
1743304291,19,0.08487855835866469,0.012129970547731513,0.03296579494092249,0.016981487641374547,events/second,
1743304321,19,0.07415119203651321,0.006768949882789735,0.029335659984056146,0.016333772544246238,events/second,
1743304354,19,0.06623843051857009,0.0041055756379702124,0.02654400283635418,0.015798287786405893,events/second,
1743304384,19,0.0599626744974974,0.0024901575001981895,0.024018006990785903,0.015280358307060007,events/second,
1743304414,19,0.05477179526806253,0.0015103568713835704,0.02173239143191235,0.014779408575722405,events/second,
1743304444,19,0.050409879292697676,9.160777496017864E-4,0.01966428095099838,0.01429488193004054,events/second,
1743304474,19,0.046690910843484826,5.556292418140363E-4,0.01779297720323508,0.0138262399572245,events/second,
1743304504,19,0.043484077417177504,3.370061705930979E-4,0.016099751551747917,0.013372961895755174,events/second,
1743304534,19,0.04068945909603968,2.0440457497706E-4,0.01456765762510402,0.01293454405670677,events/second,
1743304564,19,0.03823167308107617,1.239776417091167E-4,0.01318136171233098,0.012510499264040626,events/second,
1743304594,19,0.036053408773641465,7.519624081544707E-5,0.01192698929798362,0.012100356313248377,events/second,
1743304624,19,0.03411049126090911,4.560882554970317E-5,0.01079198620133002,0.011703659447742914,events/second,
1743304654,19,0.03236658706134674,2.7663151049379882E-5,0.009764992929891159,0.011319967852415284,events/second,
1743304684,19,0.030792194959921502,1.677854925571061E-5,0.008835730989822115,0.010948855163794777,events/second,
1743304714,19,0.029363545464243378,1.0176704549087075E-5,0.007994900015290957,0.010589908996267855,events/second,
1743304744,19,0.02806203710580544,6.172483323858341E-6,0.007234084687291522,0.010242730483829506,events/second,
1743304774,19,0.026870689612838887,3.7438003824850292E-6,0.0065456705103023325,0.009906933836857743,events/second,
1743304804,19,0.025776348797175424,2.270729715821055E-6,0.005922767603856084,0.009582145913418784,events/second,
1743304834,19,0.024767726552719034,1.3772671925660257E-6,0.005359141746300166,0.0092680058046265,events/second,
1743304864,19,0.023834974146773703,8.353547789076383E-7,0.004849151980610966,0.008964164433595437,events/second,
1743304894,19,0.022970060191265577,5.06668285144951E-7,0.004387694157799986,0.008670284167541667,events/second,
1743304925,19,0.022165100308899312,3.0730984924443597E-7,0.003970149852875204,0.008386038442600524,events/second,
1743304955,19,0.021415186259280176,1.8639284559841773E-7,0.003592340142091444,0.008111111400944272,events/second,
1743304985,19,0.020714220896295734,1.1305297560652337E-7,0.003250483778876954,0.007845197539796456,events/second,
1743305015,19,0.020057756737015483,6.857009587710091E-8,0.0029411593498467926,0.007588001371952953,events/second,
1743305045,19,0.019441574657692147,4.158986548889655E-8,0.002661271032147693,0.007339237097432444,events/second,
1743305075,19,0.018862095500192858,2.5225528552340115E-8,0.002408017609422412,0.007098628285891484,events/second,
1743305105,19,0.018316320975509164,1.5300056474450725E-8,0.002178864436294899,0.006865907569451226,events/second,
1743339378,19,5.380553886207695E-4,1.2415672453043782E-256,5.249109745848462E-53,1.9829713218867752E-19,events/second,
1743339410,19,5.375867707201112E-4,7.530486003720618E-257,4.749590909420914E-53,1.917961789322975E-19,events/second,
1743339441,19,5.371267421295138E-4,4.56747064379342E-257,4.297607575207486E-53,1.8550835227424583E-19,events/second,
1743339471,19,5.366707550924573E-4,2.7703109827981097E-257,3.8886361420825225E-53,1.794266650935383E-19,events/second,
1743339501,19,5.362147812251835E-4,1.6802785480056915E-257,3.518583486483265E-53,1.7354435933426296E-19,events/second,
1743339531,19,5.357608467689973E-4,1.0191404562228782E-257,3.1837459970534825E-53,1.6785489849593381E-19,events/second,
1743339561,19,5.353047085242492E-4,6.181399332526966E-258,2.8807725076561945E-53,1.6235196037004E-19,events/second,
1743339591,19,5.348515589419582E-4,3.749208215104814E-258,2.6066307577766076E-53,1.5702943001471926E-19,events/second,
1743339621,19,5.343989748654572E-4,2.2740097321075484E-258,2.3585770446397024E-53,1.5188139295974877E-19,events/second,
