t,value
1743304080,0
1743304110,169
1743304140,169
1743304170,169
1743304200,169
1743304231,169
1743304261,169
1743304291,169
1743304321,169
1743304354,169
1743304384,169
1743304414,169
1743304444,169
1743304474,169
1743304504,169
1743304534,169
1743304564,169
1743304594,169
1743304624,169
1743304654,169
1743304684,169
1743304714,169
1743304744,169
1743304774,169
1743304804,169
1743304834,169
1743304864,169
1743304894,169
1743304925,169
1743304955,169
1743304985,169
1743305015,169
1743305045,169
1743305075,169
1743305105,169
1743339378,169
1743339410,169
1743339441,169
1743339471,169
1743339501,169
1743339531,169
1743339561,169
1743339591,169
1743339621,169
1743339651,169
1743339681,169
1743339711,169
1743339741,169
1743339771,169
1743339801,169
1743339831,169
1743339861,169
1743339891,169
1743339921,169
1743339951,169
1743339982,169
1743340012,169
1743340042,169
1743340072,169
1743340102,169
1743340132,169
1743340162,169
1743340192,169
1743340222,169
1743340252,169
1743340282,169
1743340312,169
1743340342,169
1743340372,169
1743340402,169
1743340432,169
1743340462,169
1743340492,169
1743340522,169
1743340552,169
1743340582,169
1743340612,169
1743340642,169
1743340672,169
1743340702,169
1743340732,169
1743340762,169
1743340792,169
1743340822,169
1743340852,169
1743340882,169
1743340912,169
1743340942,169
1743340972,169
1743341002,169
1743341032,169
1743341062,169
1743341092,169
1743341122,169
1743341152,169
1743341182,169
1743341212,169
1743341242,169
1743341272,169
1743341302,169
1743341332,169
1743341362,169
1743341392,169
1743341423,169
1743341453,169
1743341483,169
1743341513,169
1743341543,169
1743341573,169
1743341603,169
1743341633,169
1743341663,169
1743341693,169
1743341723,169
1743341753,169
1743341783,169
1743341813,169
1743341843,169
1743341873,169
1743341903,169
1743341933,169
1743341963,169
1743341993,169
1743342023,169
1743342053,169
1743342083,169
1743342113,169
1743342143,169
1743342173,169
1743342203,169
1743342233,169
1743342263,169
1743342293,169
1743342323,169
1743342353,169
1743342383,169
1743342413,169
1743342443,169
1743342473,169
1743342503,169
1743342533,169
1743342563,169
1743342593,169
1743342623,169
1743342653,169
1743342683,169
1743342713,169
1743342743,169
1743342773,169
1743342803,169
1743342833,169
1743342863,169
1743342893,169
1743342924,169
1743342954,169
1743342984,169
1743343014,169
1743343044,169
1743343074,169
1743343104,169
1743343134,169
1743343164,169
1743343194,169
1743343224,169
1743343254,169
1743343284,169
1743343314,169
1743343344,169
1743343374,169
1743343404,169
1743343434,169
1743343464,169
1743343494,169
1743343524,169
1743343554,169
1743343584,169
1743343614,169
1743343644,169
1743343674,169
1743343704,169
1743343734,169
1743343764,169
1743343794,169
1743343824,169
1743343854,169
1743343884,169
1743343914,169
1743343944,169
1743343974,169
1743344004,169
1743344034,169
1743344064,169
1743344094,169
1743344124,169
1743344154,169
1743344184,169
1743344214,169
1743344244,169
1743344274,169
1743344304,169
1743344334,169
1743344364,169
1743344394,169
1743344424,169
1743344454,169
1743344484,169
1743344514,169
1743344544,169
1743344574,169
1743344604,169
1743344634,169
1743344664,169
1743344694,169
1743344724,169
1743344754,169
1743344784,169
1743344814,169
1743344844,169
1743344875,169
1743344905,169
1743344935,169
1743344965,169
1743344995,169
1743345025,169
1743345055,169
1743345085,169
1743345115,169
1743345145,169
1743345175,169
1743345205,169
1743345235,169
1743345265,169
1743345295,169
1743345325,169
1743345355,169
1743345385,169
1743345415,169
