t,value
1743304080,0
1743304110,250
1743304140,250
1743304170,250
1743304200,250
1743304231,250
1743304261,250
1743304291,250
1743304321,250
1743304354,250
1743304384,250
1743304414,250
1743304444,250
1743304474,250
1743304504,250
1743304534,250
1743304564,250
1743304594,250
1743304624,250
1743304654,250
1743304684,250
1743304714,250
1743304744,250
1743304774,250
1743304804,250
1743304834,250
1743304864,250
1743304894,250
1743304925,250
1743304955,250
1743304985,250
1743305015,250
1743305045,250
1743305075,250
1743305105,250
1743339378,250
1743339410,250
1743339441,250
1743339471,250
1743339501,250
1743339531,250
1743339561,250
1743339591,250
1743339621,250
1743339651,250
1743339681,250
1743339711,250
1743339741,250
1743339771,250
1743339801,250
1743339831,250
1743339861,250
1743339891,250
1743339921,250
1743339951,250
1743339982,250
1743340012,250
1743340042,250
1743340072,250
1743340102,250
1743340132,250
1743340162,250
1743340192,250
1743340222,250
1743340252,250
1743340282,250
1743340312,250
1743340342,250
1743340372,250
1743340402,250
1743340432,250
1743340462,250
1743340492,250
1743340522,250
1743340552,250
1743340582,250
1743340612,250
1743340642,250
1743340672,250
1743340702,250
1743340732,250
1743340762,250
1743340792,250
1743340822,250
1743340852,250
1743340882,250
1743340912,250
1743340942,250
1743340972,250
1743341002,250
1743341032,250
1743341062,250
1743341092,250
1743341122,250
1743341152,250
1743341182,250
1743341212,250
1743341242,250
1743341272,250
1743341302,250
1743341332,250
1743341362,250
1743341392,250
1743341423,250
1743341453,250
1743341483,250
1743341513,250
1743341543,250
1743341573,250
1743341603,250
1743341633,250
1743341663,250
1743341693,250
1743341723,250
1743341753,250
1743341783,250
1743341813,250
1743341843,250
1743341873,250
1743341903,250
1743341933,250
1743341963,250
1743341993,250
1743342023,250
1743342053,250
1743342083,250
1743342113,250
1743342143,250
1743342173,250
1743342203,250
1743342233,250
1743342263,250
1743342293,250
1743342323,250
1743342353,250
1743342383,250
1743342413,250
1743342443,250
1743342473,250
1743342503,250
1743342533,250
1743342563,250
1743342593,250
1743342623,250
1743342653,250
1743342683,250
1743342713,250
1743342743,250
1743342773,250
1743342803,250
1743342833,250
1743342863,250
1743342893,250
1743342924,250
1743342954,250
1743342984,250
1743343014,250
1743343044,250
1743343074,250
1743343104,250
1743343134,250
1743343164,250
1743343194,250
1743343224,250
1743343254,250
1743343284,250
1743343314,250
1743343344,250
1743343374,250
1743343404,250
1743343434,250
1743343464,250
1743343494,250
1743343524,250
1743343554,250
1743343584,250
1743343614,250
1743343644,250
1743343674,250
1743343704,250
1743343734,250
1743343764,250
1743343794,250
1743343824,250
1743343854,250
1743343884,250
1743343914,250
1743343944,250
1743343974,250
1743344004,250
1743344034,250
1743344064,250
1743344094,250
1743344124,250
1743344154,250
1743344184,250
1743344214,250
1743344244,250
1743344274,250
1743344304,250
1743344334,250
1743344364,250
1743344394,250
1743344424,250
1743344454,250
1743344484,250
1743344514,250
1743344544,250
1743344574,250
1743344604,250
1743344634,250
1743344664,250
1743344694,250
1743344724,250
1743344754,250
1743344784,250
1743344814,250
1743344844,250
1743344875,250
1743344905,250
1743344935,250
1743344965,250
1743344995,250
1743345025,250
1743345055,250
1743345085,250
1743345115,250
1743345145,250
1743345175,250
1743345205,250
1743345235,250
1743345265,250
1743345295,250
1743345325,250
1743345355,250
1743345385,250
1743345415,250
1743345445,250
1743345475,250
1743345505,250
1743345535,250
1743345565,250
1743345595,250
1743345625,250
1743345655,250
1743345685,250
1743345715,250
1743345745,250
1743345775,250
1743345805,250
1743345835,250
1743345865,250
1743345895,250
1743345925,250
1743345955,250
1743345985,250
1743346015,250
1743346045,250
1743346075,250
1743346105,250
1743346135,250
1743346165,250
1743346195,250
1743346225,250
1743346255,250
1743346285,250
1743346315,250
1743346345,250
1743346375,250
1743346405,250
1743346435,250
1743346465,250
1743346495,250
1743346525,250
1743346555,250
1743346585,250
1743346615,250
1743346645,250
1743346675,250
1743346705,250
1743346735,250
1743346765,250
1743346795,250
1743346825,250
1743346855,250
1743346885,250
1743346916,250
1743346946,250
1743346976,250
1743347006,250
1743347036,250
1743347066,250
1743347096,250
1743347126,250
1743347156,250
1743347186,250
1743347216,250
1743347246,250
1743347276,250
1743347306,250
1743347336,250
1743347366,250
1743347396,250
1743347426,250
1743347456,250
1743347486,250
1743347516,250
1743347546,250
1743347576,250
1743347606,250
1743347636,250
1743347666,250
1743347696,250
1743347726,250
1743347756,250
1743347786,250
1743347816,250
1743347846,250
1743347876,250
1743347906,250
1743347936,250
1743347966,250
1743347996,250
1743348026,250
1743348056,250
1743348086,250
1743348116,250
1743348146,250
1743348176,250
1743348206,250
1743348236,250
1743348266,250
1743348296,250
1743348326,250
1743348356,250
1743348386,250
1743348416,250
1743348446,250
1743348476,250
1743348506,250
1743348537,250
1743348567,250
1743348597,250
1743348627,250
1743348657,250
1743348687,250
1743348717,250
1743348747,250
1743348777,250
1743348807,250
1743348837,250
1743348867,250
1743348897,250
1743348927,250
1743348957,250
1743348987,250
1743349017,250
1743349047,250
1743364211,250
1743364241,250
1743372290,250
1743372320,250
1743372350,250
1743372380,250
1743372410,250
1743372440,250
1743372470,250
1743372500,250
1743372530,250
1743372560,250
1743372590,250
1743372620,250
1743372650,250
1743372680,250
1743372710,250
1743372740,250
1743372770,250
1743372800,250
1743372830,250
1743372860,250
1743372890,250
1743372920,250
1743372950,250
1743372980,250
1743373010,250
1743373040,250
1743373070,250
1743373100,250
1743373130,250
1743373160,250
1743373190,250
1743373220,250
1743373250,250
1743373280,250
1743373310,250
1743373340,250
1743373370,250
1743373400,250
1743373430,250
1743373460,250
1743373490,250
1743373520,250
1743373550,250
1743373580,250
1743373610,250
1743373640,250
1743373670,250
1743373700,250
1743373730,250
1743373760,250
1743373790,250
1743373820,250
1743373850,250
1743373880,250
1743373910,250
1743373940,250
1743373970,250
1743374000,250
1743374030,250
1743374060,250
1743374090,250
1743374120,250
1743374150,250
1743374180,250
1743374210,250
1743374240,250
1743374270,250
1743374300,250
1743374330,250
1743374360,250
1743374390,250
1743374420,250
1743374450,250
1743374480,250
1743374510,250
1743374540,250
1743374570,250
1743374600,250
1743374630,250
1743374660,250
1743374691,250
1743374721,250
1743374751,250
1743374781,250
1743376594,250
1743376624,250
1743376654,250
1743376684,250
1743376714,250
1743376744,250
