t,value
1743304080,0
1743304110,6
1743304140,6
1743304170,6
1743304200,6
1743304231,6
1743304261,6
1743304291,6
1743304321,6
1743304354,6
1743304384,6
1743304414,6
1743304444,6
1743304474,6
1743304504,6
1743304534,6
1743304564,6
1743304594,6
1743304624,6
1743304654,6
1743304684,6
1743304714,6
1743304744,6
1743304774,6
1743304804,6
1743304834,6
1743304864,6
1743304894,6
1743304925,6
1743304955,6
1743304985,6
1743305015,6
1743305045,6
1743305075,6
1743305105,6
1743339378,6
1743339410,6
1743339441,6
1743339471,6
1743339501,6
1743339531,6
1743339561,6
1743339591,6
1743339621,6
1743339651,6
1743339681,6
1743339711,6
1743339741,6
1743339771,6
1743339801,6
1743339831,6
1743339861,6
1743339891,6
1743339921,6
1743339951,6
1743339982,6
1743340012,6
1743340042,6
1743340072,6
1743340102,6
1743340132,6
1743340162,6
1743340192,6
1743340222,6
1743340252,6
1743340282,6
1743340312,6
1743340342,6
1743340372,6
1743340402,6
1743340432,6
1743340462,6
1743340492,6
1743340522,6
1743340552,6
1743340582,6
1743340612,6
1743340642,6
1743340672,6
1743340702,6
1743340732,6
1743340762,6
1743340792,6
1743340822,6
1743340852,6
1743340882,6
1743340912,6
1743340942,6
1743340972,6
1743341002,6
1743341032,6
1743341062,6
1743341092,6
1743341122,6
1743341152,6
1743341182,6
1743341212,6
1743341242,6
1743341272,6
1743341302,6
1743341332,6
1743341362,6
1743341392,6
1743341423,6
1743341453,6
1743341483,6
1743341513,6
1743341543,6
1743341573,6
1743341603,6
1743341633,6
1743341663,6
1743341693,6
1743341723,6
1743341753,6
1743341783,6
1743341813,6
1743341843,6
1743341873,6
1743341903,6
1743341933,6
1743341963,6
1743341993,6
1743342023,6
1743342053,6
1743342083,6
1743342113,6
1743342143,6
1743342173,6
1743342203,6
1743342233,6
1743342263,6
1743342293,6
1743342323,6
1743342353,6
1743342383,6
1743342413,6
1743342443,6
1743342473,6
1743342503,6
1743342533,6
1743342563,6
1743342593,6
1743342623,6
1743342653,6
1743342683,6
1743342713,6
1743342743,6
1743342773,6
1743342803,6
1743342833,6
1743342863,6
1743342893,6
1743342924,6
1743342954,6
1743342984,6
1743343014,6
1743343044,6
1743343074,6
1743343104,6
1743343134,6
1743343164,6
1743343194,6
1743343224,6
1743343254,6
1743343284,6
1743343314,6
1743343344,6
1743343374,6
1743343404,6
1743343434,6
1743343464,6
1743343494,6
1743343524,6
1743343554,6
1743343584,6
1743343614,6
1743343644,6
1743343674,6
1743343704,6
1743343734,6
1743343764,6
1743343794,6
1743343824,6
1743343854,6
1743343884,6
1743343914,6
1743343944,6
1743343974,6
1743344004,6
1743344034,6
1743344064,6
1743344094,6
1743344124,6
1743344154,6
1743344184,6
1743344214,6
1743344244,6
1743344274,6
1743344304,6
1743344334,6
1743344364,6
1743344394,6
1743344424,6
1743344454,6
1743344484,6
1743344514,6
1743344544,6
1743344574,6
1743344604,6
1743344634,6
1743344664,6
1743344694,6
1743344724,6
1743344754,6
1743344784,6
1743344814,6
