t,value
1743304080,41960
1743304110,41960
1743304140,41960
1743304170,41960
1743304200,41960
1743304231,41960
1743304261,41960
1743304291,41960
1743304321,41960
1743304354,41960
1743304384,41960
1743304414,41960
1743304444,41960
1743304474,41960
1743304504,41960
1743304534,41960
1743304564,41960
1743304594,41960
1743304624,41960
1743304654,41960
1743304684,869898
1743304714,869898
1743304744,869898
1743304774,869898
1743304804,869898
1743304834,869898
1743304864,869898
1743304894,869898
1743304925,869898
1743304955,869898
1743304985,869898
1743305015,869898
1743305045,869898
1743305075,869898
1743305105,869898
1743339378,976394
1743339410,976394
1743339441,976394
1743339471,976394
1743339501,976394
1743339531,976394
1743339561,976394
1743339591,976394
1743339621,976394
1743339651,976394
1743339681,976394
1743339711,976394
1743339741,976394
1743339771,976394
1743339801,976394
1743339831,976394
1743339861,976394
1743339891,976394
1743339921,976394
1743339951,976394
1743339982,976394
1743340012,976394
1743340042,976394
1743340072,976394
1743340102,976394
1743340132,976394
1743340162,976394
1743340192,976394
1743340222,976394
1743340252,976394
1743340282,976394
1743340312,976394
1743340342,976394
1743340372,976394
1743340402,976394
1743340432,976394
1743340462,976394
1743340492,976394
1743340522,976394
1743340552,976394
1743340582,976394
1743340612,976394
1743340642,976394
1743340672,976394
1743340702,976394
1743340732,976394
1743340762,976394
1743340792,976394
1743340822,976394
1743340852,976394
1743340882,976394
1743340912,976394
1743340942,976394
1743340972,976394
1743341002,976394
1743341032,976394
1743341062,976394
1743341092,976394
1743341122,976394
1743341152,976394
1743341182,976394
1743341212,976394
1743341242,976394
1743341272,976394
1743341302,976394
1743341332,976394
1743341362,976394
1743341392,976394
1743341423,976394
1743341453,976394
1743341483,976394
1743341513,976394
1743341543,976394
1743341573,976394
1743341603,976394
1743341633,976394
1743341663,976394
1743341693,976394
1743341723,976394
1743341753,976394
1743341783,976394
1743341813,976394
1743341843,976394
1743341873,976394
1743341903,976394
1743341933,976394
1743341963,976394
1743341993,976394
1743342023,976394
1743342053,976394
1743342083,976394
1743342113,976394
1743342143,976394
1743342173,976394
1743342203,976394
1743342233,976394
1743342263,976394
1743342293,976394
1743342323,976394
1743342353,976394
1743342383,976394
1743342413,976394
1743342443,976394
1743342473,976394
1743342503,976394
1743342533,976394
1743342563,976394
1743342593,976394
1743342623,976394
1743342653,976394
1743342683,976394
1743342713,976394
1743342743,976394
1743342773,976394
1743342803,976394
1743342833,976394
1743342863,976394
1743342893,976394
1743342924,976394
1743342954,976394
1743342984,976394
1743343014,976394
1743343044,976394
1743343074,976394
1743343104,976394
1743343134,976394
1743343164,976394
1743343194,976394
1743343224,976394
1743343254,976394
1743343284,976394
1743343314,976394
1743343344,976394
1743343374,976394
1743343404,976394
1743343434,976394
1743343464,976394
1743343494,976394
1743343524,976394
1743343554,976394
1743343584,976394
1743343614,976394
1743343644,976394
1743343674,976394
1743343704,976394
1743343734,976394
1743343764,976394
1743343794,976394
1743343824,976394
1743343854,976394
1743343884,976394
1743343914,976394
1743343944,976394
1743343974,976394
1743344004,976394
1743344034,976394
1743344064,976394
1743344094,976394
1743344124,976394
1743344154,976394
1743344184,976394
1743344214,976394
1743344244,976394
1743344274,976394
1743344304,976394
1743344334,976394
1743344364,976394
1743344394,976394
1743344424,976394
1743344454,976394
1743344484,976394
1743344514,976394
1743344544,976394
1743344574,976394
1743344604,976394
1743344634,976394
1743344664,976394
1743344694,976394
1743344724,976394
1743344754,976394
1743344784,976394
1743344814,976394
1743344844,976394
1743344875,976394
1743344905,976394
1743344935,976394
1743344965,976394
1743344995,976394
1743345025,976394
1743345055,976394
1743345085,976394
1743345115,976394
1743345145,976394
1743345175,976394
1743345205,976394
1743345235,976394
1743345265,976394
1743345295,976394
1743345325,976394
1743345355,976394
1743345385,976394
1743345415,976394
1743345445,976394
1743345475,976394
1743345505,976394
1743345535,976394
1743345565,976394
1743345595,976394
1743345625,976394
1743345655,976394
1743345685,976394
1743345715,976394
1743345745,976394
1743345775,976394
1743345805,976394
1743345835,976394
1743345865,976394
1743345895,976394
1743345925,976394
1743345955,976394
1743345985,976394
1743346015,976394
1743346045,976394
1743346075,976394
1743346105,976394
1743346135,976394
1743346165,976394
1743346195,976394
1743346225,976394
1743346255,976394
1743346285,976394
1743346315,976394
1743346345,976394
1743346375,976394
1743346405,976394
1743346435,976394
1743346465,976394
1743346495,976394
1743346525,976394
1743346555,976394
1743346585,976394
1743346615,976394
1743346645,976394
1743346675,976394
1743346705,976394
1743346735,976394
1743346765,976394
1743346795,976394
1743346825,976394
1743346855,976394
1743346885,976394
1743346916,976394
1743346946,976394
1743346976,976394
1743347006,976394
1743347036,976394
1743347066,976394
1743347096,976394
1743347126,976394
1743347156,976394
1743347186,976394
1743347216,976394
1743347246,976394
1743347276,976394
1743347306,976394
1743347336,976394
1743347366,976394
1743347396,976394
1743347426,976394
1743347456,976394
1743347486,976394
1743347516,976394
1743347546,976394
1743347576,976394
1743347606,976394
1743347636,976394
1743347666,976394
1743347696,976394
1743347726,976394
1743347756,976394
1743347786,976394
1743347816,976394
1743347846,976394
1743347876,976394
1743347906,976394
1743347936,976394
1743347966,976394
1743347996,976394
1743348026,976394
1743348056,976394
1743348086,976394
1743348116,976394
1743348146,976394
1743348176,976394
1743348206,976394
1743348236,976394
1743348266,976394
1743348296,976394
1743348326,976394
1743348356,976394
1743348386,976394
1743348416,976394
1743348446,976394
1743348476,976394
1743348506,976394
1743348537,976394
1743348567,976394
1743348597,976394
1743348627,976394
1743348657,976394
1743348687,976394
1743348717,976394
1743348747,976394
1743348777,976394
1743348807,976394
1743348837,976394
1743348867,976394
1743348897,976394
1743348927,976394
1743348957,976394
1743348987,976394
1743349017,976394
1743349047,976394
1743364211,976394
1743364241,976394
1743372290,976394
1743372320,976394
1743372350,976394
1743372380,976394
1743372410,976394
1743372440,976394
1743372470,976394
1743372500,976394
1743372530,976394
1743372560,976394
