t,value
1743304080,41960
1743304110,41960
1743304140,41960
1743304170,41960
1743304200,41960
1743304231,41960
1743304261,41960
1743304291,41960
1743304321,41960
1743304354,41960
1743304384,41960
1743304414,41960
1743304444,41960
1743304474,41960
1743304504,41960
1743304534,41960
1743304564,41960
1743304594,41960
1743304624,41960
1743304654,41960
1743304684,893288
1743304714,893288
1743304744,893288
1743304774,893288
1743304804,893288
1743304834,893288
1743304864,893288
1743304894,893288
1743304925,893288
1743304955,893288
1743304985,893288
1743305015,893288
1743305045,893288
1743305075,893288
1743305105,893288
1743339378,1000016
1743339410,1000016
1743339441,1000016
1743339471,999974
1743339501,999974
1743339531,999974
1743339561,999974
1743339591,999974
1743339621,999974
1743339651,999974
1743339681,999974
1743339711,999974
1743339741,999974
1743339771,999974
1743339801,999974
1743339831,999974
1743339861,999974
1743339891,999974
1743339921,999974
1743339951,999974
1743339982,999974
1743340012,999974
1743340042,999974
1743340072,1000016
1743340102,1000016
1743340132,1000016
1743340162,1000016
1743340192,1000016
1743340222,1000016
1743340252,1000016
1743340282,1000016
1743340312,1000016
1743340342,1000016
1743340372,1000016
1743340402,1000016
1743340432,1000016
1743340462,1000016
1743340492,1000016
1743340522,1000016
1743340552,1000016
1743340582,1000016
1743340612,1000016
1743340642,1000016
1743340672,1000016
1743340702,1000016
1743340732,1000016
1743340762,1000016
1743340792,1000016
1743340822,1000016
1743340852,1000016
1743340882,1000016
1743340912,1000016
1743340942,1000016
1743340972,1000016
1743341002,1000016
1743341032,1000016
1743341062,1000016
1743341092,1000016
1743341122,1000016
1743341152,1000016
1743341182,1000016
1743341212,1000016
1743341242,1000016
1743341272,1000016
1743341302,1000016
1743341332,1000016
1743341362,1000016
1743341392,1000016
1743341423,1000016
1743341453,1000016
1743341483,1000016
1743341513,1000016
1743341543,1000016
1743341573,1000016
1743341603,1000016
1743341633,1000016
1743341663,1000016
1743341693,1000016
1743341723,1000016
1743341753,1000016
1743341783,1000016
1743341813,1000016
1743341843,1000016
1743341873,1000016
1743341903,1000016
1743341933,1000016
1743341963,1000016
1743341993,1000016
1743342023,1000016
1743342053,1000016
1743342083,1000016
1743342113,1000016
1743342143,1000016
1743342173,1000016
1743342203,1000016
1743342233,1000016
1743342263,1000016
1743342293,1000016
1743342323,1000016
1743342353,1000016
1743342383,1000016
1743342413,1000016
1743342443,1000016
1743342473,1000016
1743342503,1000016
1743342533,1000016
1743342563,1000016
1743342593,1000016
1743342623,1000016
1743342653,1000016
1743342683,1000016
1743342713,1000016
1743342743,1000016
1743342773,1000016
1743342803,1000016
1743342833,1000016
1743342863,1000016
1743342893,1000016
1743342924,1000016
1743342954,1000016
1743342984,1000016
1743343014,1000016
1743343044,1000016
1743343074,1000016
1743343104,1000016
1743343134,1000016
1743343164,1000016
1743343194,1000016
1743343224,1000016
1743343254,1000016
1743343284,1000016
1743343314,1000016
1743343344,1000016
1743343374,1000016
1743343404,1000016
1743343434,1000016
1743343464,1000016
1743343494,1000016
1743343524,1000016
1743343554,1000016
1743343584,1000016
1743343614,1000016
1743343644,1000016
1743343674,1000016
1743343704,1000016
1743343734,1000016
1743343764,1000016
1743343794,1000016
1743343824,1000016
1743343854,1000016
1743343884,1000016
1743343914,1000016
1743343944,1000016
1743343974,1000016
1743344004,1000016
1743344034,1000016
1743344064,1000016
1743344094,1000016
1743344124,1000016
1743344154,1000016
1743344184,1000016
1743344214,1000016
1743344244,1000016
1743344274,1000016
1743344304,1000016
1743344334,1000016
1743344364,1000016
1743344394,1000016
1743344424,1000016
1743344454,1000016
1743344484,1000016
1743344514,1000016
1743344544,1000016
1743344574,1000016
1743344604,1000016
1743344634,1000016
1743344664,1000016
1743344694,1000016
1743344724,1000016
1743344754,1000016
1743344784,1000016
1743344814,1000016
1743344844,1000016
1743344875,1000016
1743344905,1000016
1743344935,1000016
1743344965,1000016
1743344995,1000016
1743345025,1000016
1743345055,1000016
1743345085,1000016
1743345115,1000016
1743345145,1000016
1743345175,1000016
1743345205,1000016
1743345235,1000016
1743345265,1000016
1743345295,1000016
1743345325,1000016
1743345355,1000016
1743345385,1000016
1743345415,1000016
1743345445,1000016
1743345475,1000016
1743345505,1000016
1743345535,1000016
1743345565,1000016
1743345595,1000016
1743345625,1000016
1743345655,1000016
1743345685,1000016
1743345715,1000016
1743345745,1000016
1743345775,1000016
1743345805,1000016
1743345835,1000016
1743345865,1000016
1743345895,1000016
1743345925,1000016
1743345955,1000016
1743345985,1000016
1743346015,1000016
1743346045,1000016
1743346075,1000016
1743346105,1000016
1743346135,1000016
1743346165,1000016
1743346195,1000016
1743346225,1000016
1743346255,1000016
1743346285,1000016
1743346315,1000016
1743346345,1000016
1743346375,1000016
1743346405,1000016
1743346435,1000016
1743346465,1000016
1743346495,1000016
1743346525,1000016
1743346555,1000016
1743346585,1000016
1743346615,1000016
1743346645,1000016
1743346675,1000016
1743346705,1000016
1743346735,1000016
1743346765,1000016
1743346795,1000016
1743346825,1000016
1743346855,1000016
1743346885,1000016
1743346916,1000016
1743346946,1000016
1743346976,1000016
1743347006,1000016
1743347036,1000016
1743347066,1000016
1743347096,1000016
1743347126,1000016
1743347156,1000016
1743347186,1000016
1743347216,1000016
1743347246,1000016
1743347276,1000016
1743347306,1000016
1743347336,1000016
1743347366,1000016
1743347396,1000016
1743347426,1000016
1743347456,1000016
1743347486,1000016
1743347516,1000016
1743347546,1000016
1743347576,1000016
1743347606,1000016
1743347636,1000016
1743347666,1000016
1743347696,1000016
1743347726,1000016
1743347756,1000016
1743347786,1000016
1743347816,1000016
1743347846,1000016
1743347876,1000016
1743347906,1000016
1743347936,1000016
1743347966,1000016
1743347996,1000016
1743348026,1000016
1743348056,1000016
1743348086,1000016
1743348116,1000016
1743348146,1000016
1743348176,1000016
1743348206,1000016
1743348236,1000016
1743348266,1000016
1743348296,1000016
1743348326,1000016
1743348356,1000016
