t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1,0.08296363974960877,0.0,0.0,0.0,events/second,
1743304110,18,0.4263185815238259,0.0,0.0,0.0,events/second,
1743304140,18,0.24899311231517818,0.0,0.0,0.0,events/second,
1743304170,18,0.17576673276641558,0.0,0.0,0.0,events/second,
1743304200,18,0.13556628477342988,0.0,0.0,0.0,events/second,
1743304231,18,0.11034870475770923,0.0,0.0,0.0,events/second,
1743304261,18,0.09318948973005099,0.0,0.0,0.0,events/second,
1743304291,18,0.08062239174973221,0.0,0.0,0.0,events/second,
1743304321,18,0.07040941903286128,0.0,0.0,0.0,events/second,
1743304354,18,0.06288073391391116,0.0,0.0,0.0,events/second,
1743304384,18,0.056911442462415,0.0,0.0,0.0,events/second,
1743304414,18,0.051976846791162525,0.0,0.0,0.0,events/second,
1743304444,18,0.04783110028549228,0.0,0.0,0.0,events/second,
1743304474,18,0.04429730495223741,0.0,0.0,0.0,events/second,
1743304504,18,0.04125078196443257,0.0,0.0,0.0,events/second,
1743304534,18,0.038596338987707646,0.0,0.0,0.0,events/second,
1743304564,18,0.036262235760978645,0.0,0.0,0.0,events/second,
1743304594,18,0.03419390172518429,0.0,0.0,0.0,events/second,
1743304624,18,0.03234925723459939,0.0,0.0,0.0,events/second,
1743304654,18,0.030693737648379564,0.0,0.0,0.0,events/second,
1743304684,18,0.029199301328656245,0.0,0.0,0.0,events/second,
1743304714,18,0.02784332712285653,0.0,0.0,0.0,events/second,
1743304744,18,0.026608059679519798,0.0,0.0,0.0,events/second,
1743304774,18,0.025477552817590118,0.0,0.0,0.0,events/second,
1743304804,18,0.024439136769918664,0.0,0.0,0.0,events/second,
1743304834,18,0.02348210078315867,0.0,0.0,0.0,events/second,
1743304864,18,0.022597121340032996,0.0,0.0,0.0,events/second,
1743304894,18,0.0217765453327429,0.0,0.0,0.0,events/second,
1743304925,18,0.021012886637778085,0.0,0.0,0.0,events/second,
1743304955,18,0.0203014865378353,0.0,0.0,0.0,events/second,
1743304985,18,0.019636550829103493,0.0,0.0,0.0,events/second,
1743305015,18,0.019013846623066447,0.0,0.0,0.0,events/second,
1743305045,18,0.018429389825644737,0.0,0.0,0.0,events/second,
1743305075,18,0.017879757618024503,0.0,0.0,0.0,events/second,
1743305105,18,0.017362118695077138,0.0,0.0,0.0,events/second,
1743339378,18,5.097451045296802E-4,0.0,0.0,0.0,events/second,
1743339410,18,5.093011755881649E-4,0.0,0.0,0.0,events/second,
1743339441,18,5.088653367505368E-4,0.0,0.0,0.0,events/second,
1743339471,18,5.084333449351465E-4,0.0,0.0,0.0,events/second,
1743339501,18,5.080013557162002E-4,0.0,0.0,0.0,events/second,
1743339531,18,5.075711115488598E-4,0.0,0.0,0.0,events/second,
1743339561,18,5.07139153286283E-4,0.0,0.0,0.0,events/second,
1743339591,18,5.067098400219083E-4,0.0,0.0,0.0,events/second,
1743339621,18,5.062810614996588E-4,0.0,0.0,0.0,events/second,
1743339651,18,5.058534411591225E-4,0.0,0.0,0.0,events/second,
1743339681,18,5.054270430553859E-4,0.0,0.0,0.0,events/second,
1743339711,18,5.050014938889525E-4,0.0,0.0,0.0,events/second,
1743339741,18,5.045765340662343E-4,0.0,0.0,0.0,events/second,
1743339771,18,5.041524616457376E-4,0.0,0.0,0.0,events/second,
1743339801,18,5.037290103566499E-4,0.0,0.0,0.0,events/second,
1743339831,18,5.033062273524238E-4,0.0,0.0,0.0,events/second,
1743339861,18,5.028840541761545E-4,0.0,0.0,0.0,events/second,
1743339891,18,5.024626676581731E-4,0.0,0.0,0.0,events/second,
1743339921,18,5.020417938720866E-4,0.0,0.0,0.0,events/second,
1743339951,18,5.016218864528634E-4,0.0,0.0,0.0,events/second,
1743339982,18,5.012026890941293E-4,0.0,0.0,0.0,events/second,
1743340012,18,5.00784058919022E-4,0.0,0.0,0.0,events/second,
1743340042,18,5.003662827797269E-4,0.0,0.0,0.0,events/second,
1743340072,18,4.999488809907295E-4,0.0,0.0,0.0,events/second,
1743340102,18,4.995320832842282E-4,0.0,0.0,0.0,events/second,
1743340132,18,4.991157429623897E-4,0.0,0.0,0.0,events/second,
1743340162,18,4.987006330348301E-4,0.0,0.0,0.0,events/second,
1743340192,18,4.982863442515047E-4,0.0,0.0,0.0,events/second,
1743340222,18,4.978724662732849E-4,0.0,0.0,0.0,events/second,
