t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1,0.08292749653124648,0.0,0.0,0.0,events/second,
1743304110,18,0.4263179979131023,0.0,0.0,0.0,events/second,
1743304140,18,0.24898821908091617,0.0,0.0,0.0,events/second,
1743304170,18,0.17576415264503828,0.0,0.0,0.0,events/second,
1743304200,18,0.13556603442172846,0.0,0.0,0.0,events/second,
1743304231,18,0.11034879459577715,0.0,0.0,0.0,events/second,
1743304261,18,0.0931894977388886,0.0,0.0,0.0,events/second,
1743304291,18,0.08062234632218933,0.0,0.0,0.0,events/second,
1743304321,18,0.07037444028353568,0.0,0.0,0.0,events/second,
1743304354,18,0.06288076934604526,0.0,0.0,0.0,events/second,
1743304384,18,0.05691135029751585,0.0,0.0,0.0,events/second,
1743304414,18,0.0519768590083675,0.0,0.0,0.0,events/second,
1743304444,18,0.047831122998413585,0.0,0.0,0.0,events/second,
1743304474,18,0.04429732134794261,0.0,0.0,0.0,events/second,
1743304504,18,0.04125079550182525,0.0,0.0,0.0,events/second,
1743304534,18,0.038596344987798036,0.0,0.0,0.0,events/second,
1743304564,18,0.03626224702571827,0.0,0.0,0.0,events/second,
1743304594,18,0.03419391145572,0.0,0.0,0.0,events/second,
1743304624,18,0.03234926830979104,0.0,0.0,0.0,events/second,
1743304654,18,0.030693739155748485,0.0,0.0,0.0,events/second,
1743304684,18,0.029199310446733854,0.0,0.0,0.0,events/second,
1743304714,18,0.02784331979673778,0.0,0.0,0.0,events/second,
1743304744,18,0.026608063573458986,0.0,0.0,0.0,events/second,
1743304774,18,0.02547751610710967,0.0,0.0,0.0,events/second,
1743304804,18,0.02443914217190791,0.0,0.0,0.0,events/second,
1743304834,18,0.023482103763831336,0.0,0.0,0.0,events/second,
1743304864,18,0.0225971185372426,0.0,0.0,0.0,events/second,
1743304894,18,0.021776549566455992,0.0,0.0,0.0,events/second,
1743304925,18,0.02101288620359571,0.0,0.0,0.0,events/second,
1743304955,18,0.020301489830459235,0.0,0.0,0.0,events/second,
1743304985,18,0.019636553116962257,0.0,0.0,0.0,events/second,
1743305015,18,0.019013848169596018,0.0,0.0,0.0,events/second,
1743305045,18,0.018429392922051892,0.0,0.0,0.0,events/second,
1743305075,18,0.0178797604809883,0.0,0.0,0.0,events/second,
1743305105,18,0.017362121947314565,0.0,0.0,0.0,events/second,
1743339378,18,5.097450864751266E-4,0.0,0.0,0.0,events/second,
1743339410,18,5.093011778880691E-4,0.0,0.0,0.0,events/second,
1743339441,18,5.088653386149331E-4,0.0,0.0,0.0,events/second,
1743339471,18,5.084333474512567E-4,0.0,0.0,0.0,events/second,
1743339501,18,5.080013582796498E-4,0.0,0.0,0.0,events/second,
1743339531,18,5.075711140664621E-4,0.0,0.0,0.0,events/second,
1743339561,18,5.07139155989637E-4,0.0,0.0,0.0,events/second,
1743339591,18,5.067098426108531E-4,0.0,0.0,0.0,events/second,
1743339621,18,5.06281062563389E-4,0.0,0.0,0.0,events/second,
1743339651,18,5.058534432687746E-4,0.0,0.0,0.0,events/second,
1743339681,18,5.054270457476135E-4,0.0,0.0,0.0,events/second,
1743339711,18,5.050014966432387E-4,0.0,0.0,0.0,events/second,
1743339741,18,5.045765367833552E-4,0.0,0.0,0.0,events/second,
1743339771,18,5.041524644274839E-4,0.0,0.0,0.0,events/second,
1743339801,18,5.037290111277465E-4,0.0,0.0,0.0,events/second,
1743339831,18,5.033062231304712E-4,0.0,0.0,0.0,events/second,
1743339861,18,5.028840561655746E-4,0.0,0.0,0.0,events/second,
1743339891,18,5.024626691126734E-4,0.0,0.0,0.0,events/second,
1743339921,18,5.020417927378798E-4,0.0,0.0,0.0,events/second,
1743339951,18,5.016218886573739E-4,0.0,0.0,0.0,events/second,
1743339982,18,5.012026916689716E-4,0.0,0.0,0.0,events/second,
1743340012,18,5.007840609183332E-4,0.0,0.0,0.0,events/second,
1743340042,18,5.003662851234347E-4,0.0,0.0,0.0,events/second,
1743340072,18,4.999488832319378E-4,0.0,0.0,0.0,events/second,
1743340102,18,4.99532083851221E-4,0.0,0.0,0.0,events/second,
1743340132,18,4.991157403480502E-4,0.0,0.0,0.0,events/second,
1743340162,18,4.987006346762656E-4,0.0,0.0,0.0,events/second,
1743340192,18,4.9828634663922E-4,0.0,0.0,0.0,events/second,
1743340222,18,4.978724649815703E-4,0.0,0.0,0.0,events/second,
1743340252,18,4.974594275567504E-4,0.0,0.0,0.0,events/second,
1743340282,18,4.970471742234841E-4,0.0,0.0,0.0,events/second,
1743340312,18,4.966353031753283E-4,0.0,0.0,0.0,events/second,
1743340342,18,4.962243228613657E-4,0.0,0.0,0.0,events/second,
1743340372,18,4.958141186390585E-4,0.0,0.0,0.0,events/second,
1743340402,18,4.954043833842879E-4,0.0,0.0,0.0,events/second,
1743340432,18,4.949954772900547E-4,0.0,0.0,0.0,events/second,
1743340462,18,4.945872107180591E-4,0.0,0.0,0.0,events/second,
1743340492,18,4.941797161831122E-4,0.0,0.0,0.0,events/second,
1743340522,18,4.937728791065129E-4,0.0,0.0,0.0,events/second,
1743340552,18,4.933665152545784E-4,0.0,0.0,0.0,events/second,
1743340582,18,4.929609505229299E-4,0.0,0.0,0.0,events/second,
1743340612,18,4.9255599805856E-4,0.0,0.0,0.0,events/second,
1743340642,18,4.921518602891677E-4,0.0,0.0,0.0,events/second,
1743340672,18,4.91748376175419E-4,0.0,0.0,0.0,events/second,
1743340702,18,4.913454262984456E-4,0.0,0.0,0.0,events/second,
1743340732,18,4.90943152881557E-4,0.0,0.0,0.0,events/second,
1743340762,18,4.905415825059483E-4,0.0,0.0,0.0,events/second,
1743340792,18,4.901406193019425E-4,0.0,0.0,0.0,events/second,
1743340822,18,4.897403176360245E-4,0.0,0.0,0.0,events/second,
1743340852,18,4.893406135758378E-4,0.0,0.0,0.0,events/second,
1743340882,18,4.889414554436443E-4,0.0,0.0,0.0,events/second,
1743340912,18,4.885430351797582E-4,0.0,0.0,0.0,events/second,
1743340942,18,4.88145432594739E-4,0.0,0.0,0.0,events/second,
1743340972,18,4.877483642927867E-4,0.0,0.0,0.0,events/second,
1743341002,18,4.8735191764333606E-4,0.0,0.0,0.0,events/second,
1743341032,18,4.869561489800795E-4,0.0,0.0,0.0,events/second,
1743341062,18,4.86561090626301E-4,0.0,0.0,0.0,events/second,
1743341092,18,4.8616626201575643E-4,0.0,0.0,0.0,events/second,
1743341122,18,4.857723180960641E-4,0.0,0.0,0.0,events/second,
1743341152,18,4.853790657061765E-4,0.0,0.0,0.0,events/second,
1743341182,18,4.849865792947944E-4,0.0,0.0,0.0,events/second,
1743341212,18,4.8459460986366866E-4,0.0,0.0,0.0,events/second,
1743341242,18,4.8420317950434476E-4,0.0,0.0,0.0,events/second,
1743341272,18,4.838126111712743E-4,0.0,0.0,0.0,events/second,
1743341302,18,4.834224511220817E-4,0.0,0.0,0.0,events/second,
1743341332,18,4.8303283174757955E-4,0.0,0.0,0.0,events/second,
1743341362,18,4.826439848776292E-4,0.0,0.0,0.0,events/second,
1743341392,18,4.8225562101770916E-4,0.0,0.0,0.0,events/second,
1743341423,18,4.8186814677728243E-4,0.0,0.0,0.0,events/second,
1743341453,18,4.814810633931461E-4,0.0,0.0,0.0,events/second,
1743341483,18,4.8109462859025835E-4,0.0,0.0,0.0,events/second,
1743341513,18,4.807088568914571E-4,0.0,0.0,0.0,events/second,
1743341543,18,4.803237611962968E-4,0.0,0.0,0.0,events/second,
