t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,2,0.16588108151147524,0.0,0.0,0.0,events/second,
1743304110,19,0.4500402683004594,0.0,0.0,0.0,events/second,
1743304140,19,0.26283000520458744,0.0,0.0,0.0,events/second,
1743304170,19,0.18553492068066732,0.0,0.0,0.0,events/second,
1743304200,19,0.14310018033002703,0.0,0.0,0.0,events/second,
1743304231,19,0.11648194310282789,0.0,0.0,0.0,events/second,
1743304261,19,0.09836857901695585,0.0,0.0,0.0,events/second,
1743304291,19,0.08510272041685212,0.0,0.0,0.0,events/second,
1743304321,19,0.0742843143804954,0.0,0.0,0.0,events/second,
1743304354,19,0.0663750136224672,0.0,0.0,0.0,events/second,
1743304384,19,0.06007377947947304,0.0,0.0,0.0,events/second,
1743304414,19,0.054865049264188254,0.0,0.0,0.0,events/second,
1743304444,19,0.050488910668541255,0.0,0.0,0.0,events/second,
1743304474,19,0.04675871267736627,0.0,0.0,0.0,events/second,
1743304504,19,0.04354287133644506,0.0,0.0,0.0,events/second,
1743304534,19,0.04074090877197308,0.0,0.0,0.0,events/second,
1743304564,19,0.03827710343870887,0.0,0.0,0.0,events/second,
1743304594,19,0.03609382217345615,0.0,0.0,0.0,events/second,
1743304624,19,0.034146679833779774,0.0,0.0,0.0,events/second,
1743304654,19,0.032399152633039496,0.0,0.0,0.0,events/second,
1743304684,19,0.03082168220956922,0.0,0.0,0.0,events/second,
1743304714,19,0.029390339907870745,0.0,0.0,0.0,events/second,
1743304744,19,0.02808641350390504,0.0,0.0,0.0,events/second,
1743304774,19,0.02689307343161344,0.0,0.0,0.0,events/second,
1743304804,19,0.025797002975719865,0.0,0.0,0.0,events/second,
1743304834,19,0.02478678326198006,0.0,0.0,0.0,events/second,
1743304864,19,0.023852625410980877,0.0,0.0,0.0,events/second,
1743304894,19,0.022986461720864455,0.0,0.0,0.0,events/second,
1743304925,19,0.022180363978913698,0.0,0.0,0.0,events/second,
1743304955,19,0.021429440318259472,0.0,0.0,0.0,events/second,
1743304985,19,0.02072753984948546,0.0,0.0,0.0,events/second,
1743305015,19,0.020070251512640615,0.0,0.0,0.0,events/second,
1743305045,19,0.019453322117305456,0.0,0.0,0.0,events/second,
1743305075,19,0.01887315041556476,0.0,0.0,0.0,events/second,
1743305105,19,0.01832675066656377,0.0,0.0,0.0,events/second,
1743339378,19,5.380643039176109E-4,0.0,0.0,0.0,events/second,
1743339410,19,5.375957264827538E-4,0.0,0.0,0.0,events/second,
1743339441,19,5.371356913511348E-4,0.0,0.0,0.0,events/second,
1743339471,19,5.366797012091524E-4,0.0,0.0,0.0,events/second,
1743339501,19,5.362237126215464E-4,0.0,0.0,0.0,events/second,
1743339531,19,5.357695658032596E-4,0.0,0.0,0.0,events/second,
1743339561,19,5.353136101403414E-4,0.0,0.0,0.0,events/second,
1743339591,19,5.348604459179944E-4,0.0,0.0,0.0,events/second,
1743339621,19,5.344078395160485E-4,0.0,0.0,0.0,events/second,
1743339651,19,5.339564683602737E-4,0.0,0.0,0.0,events/second,
1743339681,19,5.33506382320108E-4,0.0,0.0,0.0,events/second,
1743339711,19,5.330571910345424E-4,0.0,0.0,0.0,events/second,
1743339741,19,5.326086227269016E-4,0.0,0.0,0.0,events/second,
1743339771,19,5.321609905881295E-4,0.0,0.0,0.0,events/second,
1743339801,19,5.31714010413073E-4,0.0,0.0,0.0,events/second,
1743339831,19,5.31267734004702E-4,0.0,0.0,0.0,events/second,
1743339861,19,5.308221146629975E-4,0.0,0.0,0.0,events/second,
1743339891,19,5.303773151341934E-4,0.0,0.0,0.0,events/second,
1743339921,19,5.299330574888671E-4,0.0,0.0,0.0,events/second,
1743339951,19,5.294898260468847E-4,0.0,0.0,0.0,events/second,
1743339982,19,5.29047340895184E-4,0.0,0.0,0.0,events/second,
1743340012,19,5.286054520633422E-4,0.0,0.0,0.0,events/second,
1743340042,19,5.281644669324976E-4,0.0,0.0,0.0,events/second,
1743340072,19,5.277238758661321E-4,0.0,0.0,0.0,events/second,
1743340102,19,5.272839203697584E-4,0.0,0.0,0.0,events/second,
1743340132,19,5.268444388859961E-4,0.0,0.0,0.0,events/second,
1743340162,19,5.264062795734745E-4,0.0,0.0,0.0,events/second,
1743340192,19,5.259689759832794E-4,0.0,0.0,0.0,events/second,
1743340222,19,5.255320987455428E-4,0.0,0.0,0.0,events/second,
1743340252,19,5.250961154227888E-4,0.0,0.0,0.0,events/second,
1743340282,19,5.24660960160112E-4,0.0,0.0,0.0,events/second,
1743340312,19,5.242262070733549E-4,0.0,0.0,0.0,events/second,
1743340342,19,5.237923947947381E-4,0.0,0.0,0.0,events/second,
1743340372,19,5.233594013409926E-4,0.0,0.0,0.0,events/second,
1743340402,19,5.229269025374539E-4,0.0,0.0,0.0,events/second,
1743340432,19,5.224952797076288E-4,0.0,0.0,0.0,events/second,
