t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,0,0.0,0.0,0.0,0.0,events/second,
1743304110,3,0.07105652269022714,0.0,0.0,0.0,events/second,
1743304140,3,0.041497923717091864,0.0,0.0,0.0,events/second,
1743304170,3,0.02929432070115972,0.0,0.0,0.0,events/second,
1743304200,3,0.02259353469752348,0.0,0.0,0.0,events/second,
1743304231,3,0.01839175279473412,0.0,0.0,0.0,events/second,
1743304261,3,0.015531785520012291,0.0,0.0,0.0,events/second,
1743304291,3,0.013437177856398218,0.0,0.0,0.0,events/second,
1743304321,3,0.011729045999406185,0.0,0.0,0.0,events/second,
1743304354,3,0.010480223622568043,0.0,0.0,0.0,events/second,
1743304384,3,0.009485294026699828,0.0,0.0,0.0,events/second,
1743304414,3,0.008662872734793813,0.0,0.0,0.0,events/second,
1743304444,3,0.007971909429511766,0.0,0.0,0.0,events/second,
1743304474,3,0.007382933317060561,0.0,0.0,0.0,events/second,
1743304504,3,0.0068751691625346155,0.0,0.0,0.0,events/second,
1743304534,3,0.006432757994291342,0.0,0.0,0.0,events/second,
1743304564,3,0.006043738948536056,0.0,0.0,0.0,events/second,
1743304594,3,0.0056990113055988955,0.0,0.0,0.0,events/second,
1743304624,3,0.005391570083812976,0.0,0.0,0.0,events/second,
1743304654,3,0.0051156454909663356,0.0,0.0,0.0,events/second,
1743304684,3,0.004866572520961136,0.0,0.0,0.0,events/second,
1743304714,3,0.004640571693064127,0.0,0.0,0.0,events/second,
1743304744,3,0.004434685644062669,0.0,0.0,0.0,events/second,
1743304774,3,0.00424626687529761,0.0,0.0,0.0,events/second,
1743304804,3,0.004073204579865175,0.0,0.0,0.0,events/second,
1743304834,3,0.0039136962892680266,0.0,0.0,0.0,events/second,
1743304864,3,0.0037661984629002157,0.0,0.0,0.0,events/second,
1743304894,3,0.0036294362176815535,0.0,0.0,0.0,events/second,
1743304925,3,0.003502157958289876,0.0,0.0,0.0,events/second,
1743304955,3,0.003383591362518021,0.0,0.0,0.0,events/second,
1743304985,3,0.003272765234423799,0.0,0.0,0.0,events/second,
1743305015,3,0.0031689830318208474,0.0,0.0,0.0,events/second,
1743305045,3,0.003071573519575335,0.0,0.0,0.0,events/second,
1743305075,3,0.0029799676789387846,0.0,0.0,0.0,events/second,
1743305105,3,0.0028936943020744115,0.0,0.0,0.0,events/second,
1743339378,3,8.495751544442294E-5,0.0,0.0,0.0,events/second,
1743339410,3,8.488353290308695E-5,0.0,0.0,0.0,events/second,
1743339441,3,8.481089585601671E-5,0.0,0.0,0.0,events/second,
1743339471,3,8.473889741845787E-5,0.0,0.0,0.0,events/second,
1743339501,3,8.46668992602496E-5,0.0,0.0,0.0,events/second,
1743339531,3,8.459519169479936E-5,0.0,0.0,0.0,events/second,
1743339561,3,8.452319891204043E-5,0.0,0.0,0.0,events/second,
1743339591,3,8.445164660177639E-5,0.0,0.0,0.0,events/second,
1743339621,3,8.438018124273068E-5,0.0,0.0,0.0,events/second,
1743339651,3,8.430891311275459E-5,0.0,0.0,0.0,events/second,
1743339681,3,8.423784716694816E-5,0.0,0.0,0.0,events/second,
1743339711,3,8.416692222288433E-5,0.0,0.0,0.0,events/second,
1743339741,3,8.409609567536432E-5,0.0,0.0,0.0,events/second,
1743339771,3,8.40254169391846E-5,0.0,0.0,0.0,events/second,
1743339801,3,8.395484101911134E-5,0.0,0.0,0.0,events/second,
1743339831,3,8.388437608745182E-5,0.0,0.0,0.0,events/second,
1743339861,3,8.381401524699951E-5,0.0,0.0,0.0,events/second,
1743339891,3,8.37437836436797E-5,0.0,0.0,0.0,events/second,
1743339921,3,8.367363777324404E-5,0.0,0.0,0.0,events/second,
