t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,0,0.0,0.0,0.0,0.0,events/second,
1743304110,3,0.07105721390907822,0.0,0.0,0.0,events/second,
1743304140,3,0.04149784679776505,0.0,0.0,0.0,events/second,
1743304170,3,0.02929426818203169,0.0,0.0,0.0,events/second,
1743304200,3,0.022593464304231783,0.0,0.0,0.0,events/second,
1743304231,3,0.018391810354907407,0.0,0.0,0.0,events/second,
1743304261,3,0.015531826747415893,0.0,0.0,0.0,events/second,
1743304291,3,0.013437207197096455,0.0,0.0,0.0,events/second,
1743304321,3,0.011728727426834505,0.0,0.0,0.0,events/second,
1743304354,3,0.010480243103687552,0.0,0.0,0.0,events/second,
1743304384,3,0.00948530799918608,0.0,0.0,0.0,events/second,
1743304414,3,0.008662885419980419,0.0,0.0,0.0,events/second,
1743304444,3,0.007971920650575816,0.0,0.0,0.0,events/second,
1743304474,3,0.007382942603368141,0.0,0.0,0.0,events/second,
1743304504,3,0.006875176575732926,0.0,0.0,0.0,events/second,
1743304534,3,0.0064327647682659314,0.0,0.0,0.0,events/second,
1743304564,3,0.006043745261587877,0.0,0.0,0.0,events/second,
1743304594,3,0.005699016922259448,0.0,0.0,0.0,events/second,
1743304624,3,0.005391575278453279,0.0,0.0,0.0,events/second,
1743304654,3,0.005115650017478395,0.0,0.0,0.0,events/second,
1743304684,3,0.0048665767761054066,0.0,0.0,0.0,events/second,
1743304714,3,0.004640575476032301,0.0,0.0,0.0,events/second,
1743304744,3,0.004434688578952525,0.0,0.0,0.0,events/second,
1743304774,3,0.004246269773447341,0.0,0.0,0.0,events/second,
1743304804,3,0.004073207482185398,0.0,0.0,0.0,events/second,
1743304834,3,0.003913698786454227,0.0,0.0,0.0,events/second,
1743304864,3,0.003766200915358787,0.0,0.0,0.0,events/second,
1743304894,3,0.0036294385145814994,0.0,0.0,0.0,events/second,
1743304925,3,0.0035021600605310544,0.0,0.0,0.0,events/second,
1743304955,3,0.003383592913434673,0.0,0.0,0.0,events/second,
1743304985,3,0.003272767122415794,0.0,0.0,0.0,events/second,
1743305015,3,0.0031689847109199554,0.0,0.0,0.0,events/second,
1743305045,3,0.0030715751684235017,0.0,0.0,0.0,events/second,
1743305075,3,0.0029799691409176416,0.0,0.0,0.0,events/second,
1743305105,3,0.0028936958056706994,0.0,0.0,0.0,events/second,
1743339378,3,8.495751498465039E-5,0.0,0.0,0.0,events/second,
1743339410,3,8.488353413926156E-5,0.0,0.0,0.0,events/second,
1743339441,3,8.481089711237451E-5,0.0,0.0,0.0,events/second,
1743339471,3,8.47388986860874E-5,0.0,0.0,0.0,events/second,
1743339501,3,8.466690052787652E-5,0.0,0.0,0.0,events/second,
1743339531,3,8.459519294071928E-5,0.0,0.0,0.0,events/second,
1743339561,3,8.452320019346661E-5,0.0,0.0,0.0,events/second,
1743339591,3,8.445164788103392E-5,0.0,0.0,0.0,events/second,
1743339621,3,8.438018229103424E-5,0.0,0.0,0.0,events/second,
1743339651,3,8.430891432585204E-5,0.0,0.0,0.0,events/second,
1743339681,3,8.423784843689832E-5,0.0,0.0,0.0,events/second,
1743339711,3,8.416692349967004E-5,0.0,0.0,0.0,events/second,
1743339741,3,8.409609694788046E-5,0.0,0.0,0.0,events/second,
1743339771,3,8.402541821991772E-5,0.0,0.0,0.0,events/second,
1743339801,3,8.39548420885909E-5,0.0,0.0,0.0,events/second,
1743339831,3,8.388437699376444E-5,0.0,0.0,0.0,events/second,
1743339861,3,8.381401645175087E-5,0.0,0.0,0.0,events/second,
1743339891,3,8.374378452848923E-5,0.0,0.0,0.0,events/second,
1743339921,3,8.367363862366591E-5,0.0,0.0,0.0,events/second,
1743339951,3,8.360365464294686E-5,0.0,0.0,0.0,events/second,
1743339982,3,8.353378907390962E-5,0.0,0.0,0.0,events/second,
1743340012,3,8.346401722170086E-5,0.0,0.0,0.0,events/second,
1743340042,3,8.339438800325859E-5,0.0,0.0,0.0,events/second,
1743340072,3,8.332482102932289E-5,0.0,0.0,0.0,events/second,
1743340102,3,8.325535348330655E-5,0.0,0.0,0.0,events/second,
1743340132,3,8.31859621115895E-5,0.0,0.0,0.0,events/second,
1743340162,3,8.311677935075821E-5,0.0,0.0,0.0,events/second,
1743340192,3,8.30477316161206E-5,0.0,0.0,0.0,events/second,
1743340222,3,8.297875067128464E-5,0.0,0.0,0.0,events/second,
1743340252,3,8.290991094166691E-5,0.0,0.0,0.0,events/second,
1743340282,3,8.284118695493374E-5,0.0,0.0,0.0,events/second,
1743340312,3,8.277255753649824E-5,0.0,0.0,0.0,events/second,
1743340342,3,8.270406088548337E-5,0.0,0.0,0.0,events/second,
1743340372,3,8.263569349771559E-5,0.0,0.0,0.0,events/second,
1743340402,3,8.256740421329806E-5,0.0,0.0,0.0,events/second,
1743340432,3,8.249925323530142E-5,0.0,0.0,0.0,events/second,
1743340462,3,8.243120734661271E-5,0.0,0.0,0.0,events/second,
1743340492,3,8.236329309620643E-5,0.0,0.0,0.0,events/second,
1743340522,3,8.229548681303762E-5,0.0,0.0,0.0,events/second,
1743340552,3,8.222775703448094E-5,0.0,0.0,0.0,events/second,
1743340582,3,8.216016535573853E-5,0.0,0.0,0.0,events/second,
1743340612,3,8.20926733253605E-5,0.0,0.0,0.0,events/second,
1743340642,3,8.202531700016988E-5,0.0,0.0,0.0,events/second,
1743340672,3,8.195806964499248E-5,0.0,0.0,0.0,events/second,
1743340702,3,8.189091105409965E-5,0.0,0.0,0.0,events/second,
1743340732,3,8.182386558684728E-5,0.0,0.0,0.0,events/second,
1743340762,3,8.175693734605026E-5,0.0,0.0,0.0,events/second,
1743340792,3,8.169011010936975E-5,0.0,0.0,0.0,events/second,
1743340822,3,8.16233890146832E-5,0.0,0.0,0.0,events/second,
1743340852,3,8.155677555376395E-5,0.0,0.0,0.0,events/second,
1743340882,3,8.149024426177507E-5,0.0,0.0,0.0,events/second,
1743340912,3,8.142384592635815E-5,0.0,0.0,0.0,events/second,
1743340942,3,8.135757886490065E-5,0.0,0.0,0.0,events/second,
1743340972,3,8.12914006092891E-5,0.0,0.0,0.0,events/second,
1743341002,3,8.122532621621151E-5,0.0,0.0,0.0,events/second,
1743341032,3,8.115936396328043E-5,0.0,0.0,0.0,events/second,
1743341062,3,8.109352194534224E-5,0.0,0.0,0.0,events/second,
1743341092,3,8.102771623549016E-5,0.0,0.0,0.0,events/second,
1743341122,3,8.09620598308745E-5,0.0,0.0,0.0,events/second,
1743341152,3,8.089651739842057E-5,0.0,0.0,0.0,events/second,
1743341182,3,8.083110313550402E-5,0.0,0.0,0.0,events/second,
1743341212,3,8.076577519336213E-5,0.0,0.0,0.0,events/second,
1743341242,3,8.070053668200356E-5,0.0,0.0,0.0,events/second,
1743341272,3,8.063544195845299E-5,0.0,0.0,0.0,events/second,
