t,value
1743304080,296
1743304110,296
1743304140,296
1743304170,296
1743304200,296
1743304231,296
1743304261,296
1743304291,296
1743304321,296
1743304354,296
1743304384,296
1743304414,296
1743304444,296
1743304474,296
1743304504,296
1743304534,296
1743304564,296
1743304594,296
1743304624,296
1743304654,296
1743304684,296
1743304714,296
1743304744,296
1743304774,296
1743304804,296
1743304834,296
1743304864,296
1743304894,296
1743304925,296
1743304955,296
1743304985,459
1743305015,459
1743305045,459
1743305075,459
1743305105,459
1743339378,459
1743339410,459
1743339441,459
1743339471,459
1743339501,459
1743339531,459
1743339561,459
1743339591,459
1743339621,459
1743339651,459
1743339681,459
1743339711,459
1743339741,459
1743339771,459
1743339801,459
1743339831,459
1743339861,459
1743339891,459
1743339921,459
1743339951,459
1743339982,459
1743340012,459
1743340042,459
1743340072,459
1743340102,459
1743340132,459
1743340162,459
1743340192,459
1743340222,459
1743340252,459
1743340282,459
1743340312,459
1743340342,459
1743340372,459
1743340402,459
1743340432,459
1743340462,459
1743340492,459
1743340522,459
1743340552,459
1743340582,459
1743340612,459
1743340642,459
1743340672,459
1743340702,459
1743340732,459
1743340762,459
1743340792,459
1743340822,459
1743340852,459
1743340882,459
1743340912,459
1743340942,459
1743340972,459
1743341002,459
1743341032,459
1743341062,459
1743341092,459
1743341122,459
1743341152,459
1743341182,459
1743341212,459
1743341242,459
1743341272,459
1743341302,459
1743341332,459
1743341362,459
1743341392,459
1743341423,459
1743341453,459
1743341483,459
1743341513,459
1743341543,459
1743341573,459
1743341603,459
1743341633,459
1743341663,459
1743341693,459
1743341723,459
1743341753,459
1743341783,459
1743341813,459
1743341843,459
1743341873,459
1743341903,459
1743341933,459
1743341963,459
1743341993,459
1743342023,459
1743342053,459
1743342083,459
1743342113,459
1743342143,459
1743342173,459
1743342203,459
1743342233,459
1743342263,459
1743342293,459
1743342323,459
1743342353,459
1743342383,459
1743342413,459
1743342443,459
1743342473,459
1743342503,459
1743342533,459
1743342563,459
1743342593,459
1743342623,459
1743342653,459
1743342683,459
1743342713,459
1743342743,459
1743342773,459
1743342803,459
1743342833,459
1743342863,459
1743342893,459
1743342924,459
1743342954,459
1743342984,459
1743343014,459
1743343044,459
1743343074,459
1743343104,459
1743343134,459
1743343164,459
1743343194,459
1743343224,459
1743343254,459
1743343284,459
1743343314,459
1743343344,459
1743343374,459
1743343404,459
1743343434,459
1743343464,459
1743343494,459
1743343524,459
1743343554,459
1743343584,459
1743343614,459
1743343644,459
1743343674,459
1743343704,459
1743343734,459
1743343764,459
1743343794,459
1743343824,459
1743343854,459
1743343884,459
1743343914,459
1743343944,459
1743343974,459
1743344004,459
1743344034,459
1743344064,459
1743344094,459
1743344124,459
1743344154,459
1743344184,459
1743344214,459
1743344244,459
1743344274,459
1743344304,459
1743344334,459
1743344364,459
1743344394,459
1743344424,459
1743344454,459
1743344484,459
1743344514,459
1743344544,459
1743344574,459
1743344604,459
1743344634,459
1743344664,459
1743344694,459
1743344724,459
1743344754,459
1743344784,459
1743344814,459
1743344844,459
1743344875,459
1743344905,459
1743344935,459
1743344965,459
1743344995,459
1743345025,459
1743345055,459
1743345085,459
1743345115,459
1743345145,459
1743345175,459
1743345205,459
1743345235,459
1743345265,459
1743345295,459
1743345325,459
1743345355,459
1743345385,459
1743345415,459
1743345445,459
1743345475,459
1743345505,459
1743345535,459
1743345565,459
1743345595,459
1743345625,459
1743345655,459
1743345685,459
1743345715,459
1743345745,459
1743345775,459
1743345805,459
1743345835,459
1743345865,459
1743345895,459
1743345925,459
1743345955,459
1743345985,459
1743346015,459
1743346045,459
1743346075,459
1743346105,459
1743346135,459
1743346165,459
1743346195,459
1743346225,459
1743346255,459
1743346285,459
1743346315,459
1743346345,459
1743346375,459
1743346405,459
1743346435,459
1743346465,459
1743346495,459
1743346525,459
1743346555,459
1743346585,459
1743346615,459
1743346645,459
1743346675,459
1743346705,459
1743346735,459
1743346765,459
1743346795,459
1743346825,459
1743346855,459
1743346885,459
1743346916,459
1743346946,459
1743346976,459
1743347006,459
1743347036,459
1743347066,459
1743347096,459
1743347126,459
1743347156,459
1743347186,459
1743347216,459
1743347246,459
1743347276,459
1743347306,459
1743347336,459
1743347366,459
1743347396,459
1743347426,459
1743347456,459
1743347486,459
1743347516,459
1743347546,459
1743347576,459
1743347606,459
1743347636,459
1743347666,459
1743347696,459
1743347726,459
1743347756,459
1743347786,459
1743347816,459
1743347846,459
1743347876,459
1743347906,459
1743347936,459
1743347966,459
1743347996,459
1743348026,459
1743348056,459
1743348086,459
1743348116,459
1743348146,459
1743348176,459
1743348206,459
1743348236,459
1743348266,459
1743348296,459
1743348326,459
1743348356,459
1743348386,459
1743348416,459
1743348446,459
1743348476,459
1743348506,459
1743348537,459
1743348567,459
1743348597,459
1743348627,459
1743348657,459
1743348687,459
1743348717,459
