t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1,0.05481589454176157,0.0,0.0,0.0,events/second,
1743304110,1,0.020662379990081768,0.0,0.0,0.0,events/second,
1743304140,1,0.012743414850252278,0.0,0.0,0.0,events/second,
1743304170,1,0.009209148377575799,0.0,0.0,0.0,events/second,
1743304200,1,0.007194759065822352,0.0,0.0,0.0,events/second,
1743304231,1,0.005906899956931788,0.0,0.0,0.0,events/second,
1743304261,1,0.005016824377079555,0.0,0.0,0.0,events/second,
1743304291,1,0.004358469733448775,0.0,0.0,0.0,events/second,
1743304321,1,0.0038173806609627485,0.0,0.0,0.0,events/second,
1743304354,1,0.003419617826801349,0.0,0.0,0.0,events/second,
1743304384,1,0.003101188511548789,0.0,0.0,0.0,events/second,
1743304414,1,0.0028370211549092676,0.0,0.0,0.0,events/second,
1743304444,1,0.0026143909368729007,0.0,0.0,0.0,events/second,
1743304474,1,0.002424127901388354,0.0,0.0,0.0,events/second,
1743304504,1,0.0022597340811459877,0.0,0.0,0.0,events/second,
1743304534,1,0.002116223186036744,0.0,0.0,0.0,events/second,
1743304564,1,0.001989818543040723,0.0,0.0,0.0,events/second,
1743304594,1,0.0018776380060582872,0.0,0.0,0.0,events/second,
1743304624,1,0.0017774583929939835,0.0,0.0,0.0,events/second,
1743304654,1,0.0016874413810179692,0.0,0.0,0.0,events/second,
1743304684,1,0.0016060976592349016,0.0,0.0,0.0,events/second,
1743304714,1,0.0015322165549779498,0.0,0.0,0.0,events/second,
1743304744,1,0.001464852805765822,0.0,0.0,0.0,events/second,
1743304774,1,0.00140315438200321,0.0,0.0,0.0,events/second,
1743304804,1,0.0013464427694165595,0.0,0.0,0.0,events/second,
1743304834,1,0.001294136873243417,0.0,0.0,0.0,events/second,
1743304864,1,0.001245739393134746,0.0,0.0,0.0,events/second,
1743304894,1,0.0012008383241593075,0.0,0.0,0.0,events/second,
1743304925,1,0.00115902840306845,0.0,0.0,0.0,events/second,
1743304955,1,0.0011200601783782124,0.0,0.0,0.0,events/second,
1743304985,2,0.002167239528756824,0.0,0.0,0.0,events/second,
1743305015,2,0.0020989597099049027,0.0,0.0,0.0,events/second,
1743305045,2,0.0020348467497759747,0.0,0.0,0.0,events/second,
1743305075,2,0.0019745299918747183,0.0,0.0,0.0,events/second,
1743305105,2,0.0019177038866820166,0.0,0.0,0.0,events/second,
1743339378,2,5.662843454688621E-5,0.0,0.0,0.0,events/second,
1743339410,2,5.6579133453792506E-5,0.0,0.0,0.0,events/second,
1743339441,2,5.653072568587009E-5,0.0,0.0,0.0,events/second,
1743339471,2,5.648274336616163E-5,0.0,0.0,0.0,events/second,
1743339501,2,5.6434759125997064E-5,0.0,0.0,0.0,events/second,
1743339531,2,5.6386973064210085E-5,0.0,0.0,0.0,events/second,
1743339561,2,5.6338994632091914E-5,0.0,0.0,0.0,events/second,
1743339591,2,5.629130956150634E-5,0.0,0.0,0.0,events/second,
1743339621,2,5.6243681988085386E-5,0.0,0.0,0.0,events/second,
1743339651,2,5.619618696814417E-5,0.0,0.0,0.0,events/second,
1743339681,2,5.614882621428566E-5,0.0,0.0,0.0,events/second,
1743339711,2,5.6101559310781246E-5,0.0,0.0,0.0,events/second,
1743339741,2,5.6054357976308504E-5,0.0,0.0,0.0,events/second,
1743339771,2,5.6007255142844014E-5,0.0,0.0,0.0,events/second,
1743339801,2,5.5960220596628556E-5,0.0,0.0,0.0,events/second,
1743339831,2,5.591325999648688E-5,0.0,0.0,0.0,events/second,
1743339861,2,5.58663691763614E-5,0.0,0.0,0.0,events/second,
1743339891,2,5.581956407928174E-5,0.0,0.0,0.0,events/second,
1743339921,2,5.577281623174168E-5,0.0,0.0,0.0,events/second,
1743339951,2,5.572617638769052E-5,0.0,0.0,0.0,events/second,
1743339982,2,5.5679615404386725E-5,0.0,0.0,0.0,events/second,
1743340012,2,5.563311675163085E-5,0.0,0.0,0.0,events/second,
1743340042,2,5.558671326913653E-5,0.0,0.0,0.0,events/second,
1743340072,2,5.554035119881754E-5,0.0,0.0,0.0,events/second,
1743340102,2,5.54940552806324E-5,0.0,0.0,0.0,events/second,
1743340132,2,5.544781023845841E-5,0.0,0.0,0.0,events/second,
1743340162,2,5.5401704208409854E-5,0.0,0.0,0.0,events/second,
1743340192,2,5.535568819642709E-5,0.0,0.0,0.0,events/second,
1743340222,2,5.5309716551382704E-5,0.0,0.0,0.0,events/second,
1743340252,2,5.526383912379942E-5,0.0,0.0,0.0,events/second,
1743340282,2,5.5218038523495346E-5,0.0,0.0,0.0,events/second,
1743340312,2,5.517230141815992E-5,0.0,0.0,0.0,events/second,
1743340342,2,5.512665254885574E-5,0.0,0.0,0.0,events/second,
1743340372,2,5.5081089802661926E-5,0.0,0.0,0.0,events/second,
1743340402,2,5.503557909015039E-5,0.0,0.0,0.0,events/second,
1743340432,2,5.4990160549767464E-5,0.0,0.0,0.0,events/second,
1743340462,2,5.494481174407249E-5,0.0,0.0,0.0,events/second,
1743340492,2,5.4899551231513564E-5,0.0,0.0,0.0,events/second,
1743340522,2,5.485436235338445E-5,0.0,0.0,0.0,events/second,
1743340552,2,5.48092241120327E-5,0.0,0.0,0.0,events/second,
1743340582,2,5.476417859403123E-5,0.0,0.0,0.0,events/second,
1743340612,2,5.471919911641698E-5,0.0,0.0,0.0,events/second,
1743340642,2,5.467431007231745E-5,0.0,0.0,0.0,events/second,
1743340672,2,5.462949363777552E-5,0.0,0.0,0.0,events/second,
1743340702,2,5.458473627465552E-5,0.0,0.0,0.0,events/second,
1743340732,2,5.454005440679609E-5,0.0,0.0,0.0,events/second,
1743340762,2,5.4495450628543885E-5,0.0,0.0,0.0,events/second,
1743340792,2,5.44509141058416E-5,0.0,0.0,0.0,events/second,
1743340822,2,5.440644840692749E-5,0.0,0.0,0.0,events/second,
1743340852,2,5.4362054044004324E-5,0.0,0.0,0.0,events/second,
1743340882,2,5.431771489225835E-5,0.0,0.0,0.0,events/second,
1743340912,2,5.42734642776837E-5,0.0,0.0,0.0,events/second,
1743340942,2,5.4229301040895525E-5,0.0,0.0,0.0,events/second,
1743340972,2,5.418519686574438E-5,0.0,0.0,0.0,events/second,
1743341002,2,5.4141161918719096E-5,0.0,0.0,0.0,events/second,
1743341032,2,5.409720190538804E-5,0.0,0.0,0.0,events/second,
1743341062,2,5.4053321965795475E-5,0.0,0.0,0.0,events/second,
1743341092,2,5.4009465932066296E-5,0.0,0.0,0.0,events/second,
1743341122,2,5.396570979177667E-5,0.0,0.0,0.0,events/second,
1743341152,2,5.392202925554006E-5,0.0,0.0,0.0,events/second,
1743341182,2,5.3878434404713666E-5,0.0,0.0,0.0,events/second,
1743341212,2,5.3834896881651364E-5,0.0,0.0,0.0,events/second,
1743341242,2,5.3791419055535044E-5,0.0,0.0,0.0,events/second,
1743341272,2,5.374803698620054E-5,0.0,0.0,0.0,events/second,
1743341302,2,5.370470018973148E-5,0.0,0.0,0.0,events/second,
1743341332,2,5.366142271098465E-5,0.0,0.0,0.0,events/second,
1743341362,2,5.3618232390471416E-5,0.0,0.0,0.0,events/second,
1743341392,2,5.357509448285773E-5,0.0,0.0,0.0,events/second,
1743341423,2,5.353205689542934E-5,0.0,0.0,0.0,events/second,
1743341453,2,5.348905840641095E-5,0.0,0.0,0.0,events/second,
1743341483,2,5.344613863941049E-5,0.0,0.0,0.0,events/second,
1743341513,2,5.340328912572505E-5,0.0,0.0,0.0,events/second,
1743341543,2,5.336051489019096E-5,0.0,0.0,0.0,events/second,
1743341573,2,5.331782022150041E-5,0.0,0.0,0.0,events/second,
1743341603,2,5.32751883333411E-5,0.0,0.0,0.0,events/second,
1743341633,2,5.323261867666107E-5,0.0,0.0,0.0,events/second,
1743341663,2,5.319013005213848E-5,0.0,0.0,0.0,events/second,
1743341693,2,5.3147677020860954E-5,0.0,0.0,0.0,events/second,
1743341723,2,5.310530043645726E-5,0.0,0.0,0.0,events/second,
1743341753,2,5.306300748169863E-5,0.0,0.0,0.0,events/second,
1743341783,2,5.302079313603297E-5,0.0,0.0,0.0,events/second,
1743341813,2,5.297862196161341E-5,0.0,0.0,0.0,events/second,
1743341843,2,5.293652349806806E-5,0.0,0.0,0.0,events/second,
1743341873,2,5.2894498687440855E-5,0.0,0.0,0.0,events/second,
1743341903,2,5.285252649886907E-5,0.0,0.0,0.0,events/second,
