t,value
1743304080,600
1743304110,600
1743304140,600
1743304170,600
1743304200,600
1743304231,600
1743304261,600
1743304291,600
1743304321,600
1743304354,600
1743304384,600
1743304414,600
1743304444,600
1743304474,600
1743304504,600
1743304534,600
1743304564,600
1743304594,600
1743304624,600
1743304654,600
1743304684,600
1743304714,600
1743304744,600
1743304774,600
1743304804,600
1743304834,600
1743304864,600
1743304894,600
1743304925,600
1743304955,600
1743304985,600
1743305015,600
1743305045,600
1743305075,600
1743305105,600
1743339378,600
1743339410,600
1743339441,600
1743339471,600
1743339501,600
1743339531,600
1743339561,600
1743339591,600
1743339621,600
1743339651,600
1743339681,600
1743339711,600
1743339741,600
1743339771,600
1743339801,600
1743339831,600
1743339861,600
1743339891,600
1743339921,600
1743339951,600
1743339982,600
1743340012,600
1743340042,600
1743340072,600
1743340102,600
1743340132,600
1743340162,600
1743340192,600
1743340222,600
1743340252,600
1743340282,600
1743340312,600
1743340342,600
1743340372,600
1743340402,600
1743340432,600
1743340462,600
1743340492,600
1743340522,600
1743340552,600
1743340582,600
1743340612,600
1743340642,600
1743340672,600
1743340702,600
1743340732,600
1743340762,600
1743340792,600
1743340822,600
1743340852,600
1743340882,600
1743340912,600
1743340942,600
1743340972,600
1743341002,600
1743341032,600
1743341062,600
1743341092,600
1743341122,600
1743341152,600
1743341182,600
1743341212,600
1743341242,600
1743341272,600
1743341302,600
1743341332,600
1743341362,600
1743341392,600
1743341423,600
1743341453,600
1743341483,600
1743341513,600
1743341543,600
1743341573,600
1743341603,600
1743341633,600
1743341663,600
1743341693,600
1743341723,600
1743341753,600
1743341783,600
1743341813,600
1743341843,600
1743341873,600
1743341903,600
1743341933,600
1743341963,600
1743341993,600
1743342023,600
1743342053,600
1743342083,600
1743342113,600
1743342143,600
1743342173,600
1743342203,600
1743342233,600
1743342263,600
1743342293,600
1743342323,600
1743342353,600
1743342383,600
1743342413,600
1743342443,600
1743342473,600
1743342503,600
1743342533,600
1743342563,600
1743342593,600
1743342623,600
1743342653,600
1743342683,600
1743342713,600
1743342743,600
1743342773,600
1743342803,600
1743342833,600
1743342863,600
1743342893,600
1743342924,600
1743342954,600
1743342984,600
1743343014,600
1743343044,600
1743343074,600
1743343104,600
1743343134,600
1743343164,600
1743343194,600
1743343224,600
1743343254,600
1743343284,600
1743343314,600
1743343344,600
1743343374,600
1743343404,600
1743343434,600
1743343464,600
1743343494,600
1743343524,600
1743343554,600
1743343584,600
1743343614,600
1743343644,600
1743343674,600
1743343704,600
1743343734,600
1743343764,600
1743343794,600
1743343824,600
1743343854,600
1743343884,600
1743343914,600
1743343944,600
1743343974,600
1743344004,600
1743344034,600
1743344064,600
1743344094,600
1743344124,600
1743344154,600
1743344184,600
1743344214,600
1743344244,600
1743344274,600
1743344304,600
1743344334,600
1743344364,600
1743344394,600
1743344424,600
1743344454,600
1743344484,600
1743344514,600
1743344544,600
1743344574,600
1743344604,600
1743344634,600
1743344664,600
1743344694,600
1743344724,600
1743344754,600
1743344784,600
1743344814,600
1743344844,600
1743344875,600
1743344905,600
1743344935,600
1743344965,600
1743344995,600
1743345025,600
1743345055,600
1743345085,600
