t,value
1743304080,57
1743304110,57
1743304140,57
1743304170,57
1743304200,57
1743304231,57
1743304261,57
1743304291,57
1743304321,57
1743304354,57
1743304384,57
1743304414,57
1743304444,57
1743304474,57
1743304504,57
1743304534,57
1743304564,57
1743304594,57
1743304624,57
1743304654,57
1743304684,57
1743304714,57
1743304744,57
1743304774,57
1743304804,57
1743304834,57
1743304864,57
1743304894,57
1743304925,57
1743304955,57
1743304985,96
1743305015,96
1743305045,96
1743305075,96
1743305105,96
1743339378,96
1743339410,96
1743339441,96
1743339471,96
1743339501,96
1743339531,96
1743339561,96
1743339591,96
1743339621,96
1743339651,96
1743339681,96
1743339711,96
1743339741,96
1743339771,96
1743339801,96
1743339831,96
1743339861,96
1743339891,96
1743339921,96
1743339951,96
1743339982,96
1743340012,96
1743340042,96
1743340072,96
1743340102,96
1743340132,96
1743340162,96
1743340192,96
1743340222,96
1743340252,96
1743340282,96
1743340312,96
1743340342,96
1743340372,96
1743340402,96
1743340432,96
1743340462,96
1743340492,96
1743340522,96
1743340552,96
1743340582,96
1743340612,96
1743340642,96
1743340672,96
1743340702,96
1743340732,96
1743340762,96
1743340792,96
1743340822,96
1743340852,96
1743340882,96
1743340912,96
1743340942,96
1743340972,96
1743341002,96
1743341032,96
1743341062,96
1743341092,96
1743341122,96
1743341152,96
1743341182,96
1743341212,96
1743341242,96
1743341272,96
1743341302,96
1743341332,96
1743341362,96
1743341392,96
1743341423,96
1743341453,96
1743341483,96
1743341513,96
1743341543,96
1743341573,96
1743341603,96
1743341633,96
1743341663,96
1743341693,96
1743341723,96
1743341753,96
1743341783,96
1743341813,96
1743341843,96
1743341873,96
1743341903,96
1743341933,96
1743341963,96
1743341993,96
1743342023,96
1743342053,96
1743342083,96
1743342113,96
1743342143,96
1743342173,96
1743342203,96
1743342233,96
1743342263,96
1743342293,96
1743342323,96
1743342353,96
1743342383,96
1743342413,96
1743342443,96
1743342473,96
1743342503,96
1743342533,96
1743342563,96
1743342593,96
1743342623,96
1743342653,96
1743342683,96
1743342713,96
1743342743,96
1743342773,96
1743342803,96
1743342833,96
1743342863,96
1743342893,96
1743342924,96
1743342954,96
1743342984,96
1743343014,96
1743343044,96
1743343074,96
1743343104,96
1743343134,96
1743343164,96
1743343194,96
1743343224,96
1743343254,96
1743343284,96
1743343314,96
1743343344,96
1743343374,96
1743343404,96
1743343434,96
1743343464,96
1743343494,96
1743343524,96
1743343554,96
1743343584,96
1743343614,96
1743343644,96
1743343674,96
1743343704,96
1743343734,96
1743343764,96
1743343794,96
1743343824,96
1743343854,96
1743343884,96
1743343914,96
1743343944,96
1743343974,96
1743344004,96
1743344034,96
1743344064,96
1743344094,96
1743344124,96
1743344154,96
1743344184,96
1743344214,96
1743344244,96
1743344274,96
1743344304,96
1743344334,96
1743344364,96
1743344394,96
1743344424,96
1743344454,96
1743344484,96
1743344514,96
1743344544,96
1743344574,96
1743344604,96
1743344634,96
1743344664,96
1743344694,96
1743344724,96
1743344754,96
1743344784,96
1743344814,96
1743344844,96
1743344875,96
1743344905,96
1743344935,96
1743344965,96
1743344995,96
1743345025,96
1743345055,96
1743345085,96
1743345115,96
1743345145,96
1743345175,96
1743345205,96
1743345235,96
1743345265,96
1743345295,96
1743345325,96
1743345355,96
1743345385,96
1743345415,96
1743345445,96
1743345475,96
1743345505,96
1743345535,96
