t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,296,16.22360050234406,0.0,0.0,0.0,events/second,
1743304110,296,6.116118842974705,0.0,0.0,0.0,events/second,
1743304140,296,3.771844764789627,0.0,0.0,0.0,events/second,
1743304170,296,2.725902715860251,0.0,0.0,0.0,events/second,
1743304200,296,2.1296579918269236,0.0,0.0,0.0,events/second,
1743304231,296,1.7484490239690014,0.0,0.0,0.0,events/second,
1743304261,296,1.4849847738716684,0.0,0.0,0.0,events/second,
1743304291,296,1.2901026440138954,0.0,0.0,0.0,events/second,
1743304321,296,1.1299476627024199,0.0,0.0,0.0,events/second,
1743304354,296,1.0122092917303076,0.0,0.0,0.0,events/second,
1743304384,296,0.9179532589451674,0.0,0.0,0.0,events/second,
1743304414,296,0.839759814235642,0.0,0.0,0.0,events/second,
1743304444,296,0.7738611361673854,0.0,0.0,0.0,events/second,
1743304474,296,0.7175430089128307,0.0,0.0,0.0,events/second,
1743304504,296,0.6688821672563365,0.0,0.0,0.0,events/second,
1743304534,296,0.6264028637342678,0.0,0.0,0.0,events/second,
1743304564,296,0.5889870668158413,0.0,0.0,0.0,events/second,
1743304594,296,0.55578151182549,0.0,0.0,0.0,events/second,
1743304624,296,0.5261283198685652,0.0,0.0,0.0,events/second,
1743304654,296,0.49948318061877794,0.0,0.0,0.0,events/second,
1743304684,296,0.47540543329415014,0.0,0.0,0.0,events/second,
1743304714,296,0.4535365687860015,0.0,0.0,0.0,events/second,
1743304744,296,0.4335966384565129,0.0,0.0,0.0,events/second,
1743304774,296,0.4153340016908668,0.0,0.0,0.0,events/second,
1743304804,296,0.39854741230748364,0.0,0.0,0.0,events/second,
1743304834,296,0.38306478882160894,0.0,0.0,0.0,events/second,
1743304864,296,0.3687391539403167,0.0,0.0,0.0,events/second,
1743304894,296,0.3554484075651119,0.0,0.0,0.0,events/second,
1743304925,296,0.3430726518910572,0.0,0.0,0.0,events/second,
1743304955,296,0.33153801514449455,0.0,0.0,0.0,events/second,
1743304985,755,0.8181335302760261,0.0,0.0,0.0,events/second,
1743305015,755,0.7923577874314698,0.0,0.0,0.0,events/second,
1743305045,755,0.7681551752666608,0.0,0.0,0.0,events/second,
1743305075,755,0.7453855672623376,0.0,0.0,0.0,events/second,
1743305105,755,0.7239337020134948,0.0,0.0,0.0,events/second,
1743339378,755,0.021377233606011375,0.0,0.0,0.0,events/second,
1743339410,755,0.021358623292520352,0.0,0.0,0.0,events/second,
1743339441,755,0.021340349333605364,0.0,0.0,0.0,events/second,
1743339471,755,0.02132223603146562,0.0,0.0,0.0,events/second,
1743339501,755,0.021304121979625,0.0,0.0,0.0,events/second,
1743339531,755,0.021286082746188317,0.0,0.0,0.0,events/second,
1743339561,755,0.02126797089658498,0.0,0.0,0.0,events/second,
1743339591,755,0.021249969742906907,0.0,0.0,0.0,events/second,
1743339621,755,0.021231990269583206,0.0,0.0,0.0,events/second,
1743339651,755,0.021214060974420173,0.0,0.0,0.0,events/second,
1743339681,755,0.021196182313215694,0.0,0.0,0.0,events/second,
1743339711,755,0.021178339057331557,0.0,0.0,0.0,events/second,
1743339741,755,0.021160520556780103,0.0,0.0,0.0,events/second,
1743339771,755,0.021142739241058653,0.0,0.0,0.0,events/second,
1743339801,755,0.021124983504270535,0.0,0.0,0.0,events/second,
1743339831,755,0.02110725590725025,0.0,0.0,0.0,events/second,
1743339861,755,0.021089554753941767,0.0,0.0,0.0,events/second,
1743339891,755,0.02107188583319918,0.0,0.0,0.0,events/second,
1743339921,755,0.02105423849155999,0.0,0.0,0.0,events/second,
1743339951,755,0.02103663196277583,0.0,0.0,0.0,events/second,
1743339982,755,0.021019055222548877,0.0,0.0,0.0,events/second,
1743340012,755,0.021001501712836167,0.0,0.0,0.0,events/second,
1743340042,755,0.020983984627399546,0.0,0.0,0.0,events/second,
1743340072,755,0.0209664829694031,0.0,0.0,0.0,events/second,
