t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1743304080,1,3333,3333.0,3333,0.0,3333.0,3333.0,3333.0,3333.0,3333.0,3333.0,
1743304110,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304140,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304170,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304200,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304231,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304261,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304291,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304321,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304354,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304384,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304414,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304444,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304474,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304504,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304534,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304564,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304594,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304624,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304654,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304684,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304714,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304744,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304774,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304804,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304834,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304864,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304894,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304925,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304955,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743304985,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743305015,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743305045,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743305075,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743305105,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
1743339378,4,6130,2388.75,39,2936.3022522667293,1693.0,5430.75,6130.0,6130.0,6130.0,6130.0,
