t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1,0.04847592350912285,0.015991117074135343,0.0033057092356765017,0.0011080303990206543,events/second,
1743304110,4,0.07880155071365205,0.04514888588512558,0.012321504515898396,0.004328812703431559,events/second,
1743304140,4,0.049474829569756455,0.027384183541195626,0.011148958332483921,0.004186897342730042,events/second,
1743304170,4,0.036051180519880155,0.016609346908933228,0.010087994671355247,0.004049634520953823,events/second,
1743304200,4,0.028298083736894956,0.010074078138071261,0.0091279950515896,0.003916871709734272,events/second,
1743304231,4,0.02330245415417642,0.006110237259080981,0.00825935147432535,0.003788461381177469,events/second,
1743304261,4,0.019832265658188287,0.003706046235751101,0.0074733702626800435,0.0036642608439291457,events/second,
1743304291,4,0.01725609751938736,0.0022478306682956377,0.006762185052510132,0.0035441320846140516,events/second,
1743304321,4,0.015133069888277312,0.0013633782181636431,0.006118678063194628,0.0034279416144735652,events/second,
1743304354,4,0.013568869950924142,8.269306901006296E-4,0.005536408860494293,0.003315560321031113,events/second,
1743304384,4,0.01231425007780474,5.015588170033582E-4,0.005009549898521065,0.0032068633246205803,events/second,
1743304414,4,0.011272543382497342,3.0421080016173496E-4,0.004532828195700104,0.0031017298396182782,events/second,
1743304444,4,0.010393384608202466,1.8451317731380524E-4,0.004101472560997879,0.003000043040224268,events/second,
1743304474,4,0.009641304853263633,1.1191289916181645E-4,0.0037111658422386558,0.0029016899306438977,events/second,
1743304504,4,0.008990940244447562,6.787860455896997E-5,0.0033580017185944728,0.002806561219525293,events/second,
1743304534,4,0.00842278485087207,4.117045480352503E-5,0.0030384456048133373,0.0027145511985132765,events/second,
1743304564,4,0.007922036537024682,2.4971143112651194E-5,0.00274929927590201,0.0026255576247847666,events/second,
1743304594,4,0.007477371209077854,1.5145763905894917E-5,0.0024876688582153085,0.0025394816074351192,events/second,
1743304624,4,0.007080110188469954,9.186370173694237E-6,0.0022509358665960036,0.0024562274975891718,events/second,
1743304654,4,0.006722968377114315,5.571815161815226E-6,0.0020367309976952633,0.0023757027821148737,events/second,
1743304684,4,0.0064001122077912455,3.3794767258926433E-6,0.0018429104171883864,0.0022978179808214004,events/second,
1743304714,4,0.006106760943159659,1.885866787359984E-6,0.001639972385819879,0.0022101736337499065,events/second,
