t,value
1743304080,60
1743304110,60
1743304140,60
1743304170,60
1743304200,60
1743304231,60
1743304261,60
1743304291,60
1743304321,60
1743304354,60
1743304384,60
1743304414,60
1743304444,60
1743304474,60
1743304504,60
1743304534,60
1743304564,60
1743304594,60
1743304624,60
1743304654,60
1743304684,60
1743304714,60
1743304744,60
1743304774,60
1743304804,60
1743304834,60
1743304864,60
1743304894,60
1743304925,60
1743304955,60
1743304985,60
1743305015,60
1743305045,60
1743305075,60
1743305105,60
1743339378,60
1743339410,60
1743339441,60
1743339471,60
1743339501,60
1743339531,60
1743339561,60
1743339591,60
1743339621,60
1743339651,60
1743339681,60
1743339711,60
1743339741,60
1743339771,60
1743339801,60
1743339831,60
1743339861,60
1743339891,60
1743339921,60
1743339951,60
1743339982,60
1743340012,60
1743340042,60
1743340072,60
1743340102,60
1743340132,60
1743340162,60
1743340192,60
1743340222,60
1743340252,60
1743340282,60
1743340312,60
1743340342,60
1743340372,60
1743340402,60
1743340432,60
1743340462,60
1743340492,60
1743340522,60
1743340552,60
1743340582,60
1743340612,60
1743340642,60
1743340672,60
1743340702,60
1743340732,60
1743340762,60
1743340792,60
1743340822,60
1743340852,60
1743340882,60
1743340912,60
1743340942,60
1743340972,60
1743341002,60
1743341032,60
1743341062,60
1743341092,60
1743341122,60
1743341152,60
1743341182,60
1743341212,60
1743341242,60
1743341272,60
1743341302,60
1743341332,60
1743341362,60
1743341392,60
1743341423,60
1743341453,60
1743341483,60
1743341513,60
1743341543,60
1743341573,60
1743341603,60
1743341633,60
1743341663,60
1743341693,60
1743341723,60
1743341753,60
1743341783,60
1743341813,60
1743341843,60
1743341873,60
1743341903,60
1743341933,60
1743341963,60
1743341993,60
1743342023,60
1743342053,60
1743342083,60
1743342113,60
1743342143,60
1743342173,60
1743342203,60
1743342233,60
1743342263,60
1743342293,60
1743342323,60
1743342353,60
1743342383,60
1743342413,60
1743342443,60
1743342473,60
1743342503,60
1743342533,60
1743342563,60
1743342593,60
1743342623,60
1743342653,60
1743342683,60
1743342713,60
1743342743,60
1743342773,60
1743342803,60
1743342833,60
1743342863,60
1743342893,60
1743342924,60
1743342954,60
1743342984,60
1743343014,60
1743343044,60
1743343074,60
1743343104,60
1743343134,60
1743343164,60
1743343194,60
1743343224,60
1743343254,60
1743343284,60
1743343314,60
1743343344,60
1743343374,60
1743343404,60
1743343434,60
1743343464,60
1743343494,60
1743343524,60
1743343554,60
1743343584,60
1743343614,60
1743343644,60
1743343674,60
1743343704,60
1743343734,60
1743343764,60
1743343794,60
1743343824,60
1743343854,60
1743343884,60
1743343914,60
1743343944,60
1743343974,60
1743344004,60
1743344034,60
1743344064,60
1743344094,60
1743344124,60
1743344154,60
1743344184,60
1743344214,60
1743344244,60
1743344274,60
1743344304,60
1743344334,60
1743344364,60
1743344394,60
1743344424,60
1743344454,60
1743344484,60
1743344514,60
1743344544,60
1743344574,60
1743344604,60
1743344634,60
1743344664,60
1743344694,60
1743344724,60
1743344754,60
1743344784,60
1743344814,60
1743344844,60
1743344875,60
1743344905,60
1743344935,60
1743344965,60
1743344995,60
1743345025,60
1743345055,60
1743345085,60
1743345115,60
1743345145,60
1743345175,60
1743345205,60
1743345235,60
1743345265,60
1743345295,60
1743345325,60
1743345355,60
1743345385,60
1743345415,60
1743345445,60
1743345475,60
1743345505,60
1743345535,60
1743345565,60
1743345595,60
1743345625,60
1743345655,60
1743345685,60
1743345715,60
1743345745,60
1743345775,60
1743345805,60
1743345835,60
1743345865,60
1743345895,60
1743345925,60
1743345955,60
1743345985,60
1743346015,60
1743346045,60
1743346075,60
1743346105,60
1743346135,60
1743346165,60
1743346195,60
1743346225,60
1743346255,60
1743346285,60
1743346315,60
1743346345,60
1743346375,60
1743346405,60
1743346435,60
1743346465,60
1743346495,60
1743346525,60
1743346555,60
1743346585,60
1743346615,60
1743346645,60
1743346675,60
1743346705,60
1743346735,60
1743346765,60
1743346795,60
1743346825,60
1743346855,60
1743346885,60
1743346916,60
1743346946,60
1743346976,60
1743347006,60
1743347036,60
1743347066,60
1743347096,60
1743347126,60
1743347156,60
1743347186,60
1743347216,60
1743347246,60
1743347276,60
1743347306,60
1743347336,60
1743347366,60
1743347396,60
1743347426,60
1743347456,60
1743347486,60
1743347516,60
1743347546,60
1743347576,60
1743347606,60
1743347636,60
1743347666,60
1743347696,60
1743347726,60
1743347756,60
1743347786,60
1743347816,60
