t,value
1743304080,165
1743304110,165
1743304140,165
1743304170,165
1743304200,165
1743304231,165
1743304261,165
1743304291,165
1743304321,165
1743304354,165
1743304384,165
1743304414,165
1743304444,165
1743304474,165
1743304504,165
1743304534,165
1743304564,165
1743304594,165
1743304624,165
1743304654,165
1743304684,165
1743304714,165
1743304744,165
1743304774,165
1743304804,165
1743304834,165
1743304864,165
1743304894,165
1743304925,165
1743304955,165
1743304985,165
1743305015,165
1743305045,165
1743305075,165
1743305105,165
1743339378,165
1743339410,165
1743339441,165
1743339471,165
1743339501,165
1743339531,165
1743339561,165
1743339591,165
1743339621,165
1743339651,165
1743339681,165
1743339711,165
1743339741,165
1743339771,165
1743339801,165
1743339831,165
1743339861,165
1743339891,165
1743339921,165
1743339951,165
1743339982,165
1743340012,165
1743340042,165
1743340072,165
1743340102,165
1743340132,165
1743340162,165
1743340192,165
1743340222,165
1743340252,165
1743340282,165
1743340312,165
1743340342,165
1743340372,165
1743340402,165
1743340432,165
1743340462,165
1743340492,165
1743340522,165
1743340552,165
1743340582,165
1743340612,165
1743340642,165
1743340672,165
1743340702,165
1743340732,165
1743340762,165
1743340792,165
1743340822,165
1743340852,165
1743340882,165
1743340912,165
1743340942,165
1743340972,165
1743341002,165
1743341032,165
1743341062,165
1743341092,165
1743341122,165
1743341152,165
1743341182,165
1743341212,165
1743341242,165
1743341272,165
1743341302,165
1743341332,165
1743341362,165
1743341392,165
1743341423,165
1743341453,165
1743341483,165
1743341513,165
1743341543,165
1743341573,165
1743341603,165
1743341633,165
1743341663,165
1743341693,165
1743341723,165
1743341753,165
1743341783,165
1743341813,165
1743341843,165
1743341873,165
1743341903,165
1743341933,165
1743341963,165
1743341993,165
1743342023,165
1743342053,165
1743342083,165
1743342113,165
1743342143,165
1743342173,165
1743342203,165
1743342233,165
1743342263,165
1743342293,165
1743342323,165
1743342353,165
1743342383,165
1743342413,165
1743342443,165
1743342473,165
1743342503,165
1743342533,165
1743342563,165
1743342593,165
1743342623,165
1743342653,165
1743342683,165
1743342713,165
1743342743,165
1743342773,165
1743342803,165
1743342833,165
1743342863,165
1743342893,165
1743342924,165
1743342954,165
1743342984,165
1743343014,165
1743343044,165
1743343074,165
1743343104,165
1743343134,165
1743343164,165
1743343194,165
1743343224,165
1743343254,165
1743343284,165
1743343314,165
1743343344,165
1743343374,165
1743343404,165
1743343434,165
1743343464,165
1743343494,165
1743343524,165
1743343554,165
1743343584,165
1743343614,165
1743343644,165
1743343674,165
1743343704,165
1743343734,165
1743343764,165
1743343794,165
1743343824,165
1743343854,165
1743343884,165
1743343914,165
1743343944,165
1743343974,165
1743344004,165
1743344034,165
1743344064,165
1743344094,165
1743344124,165
1743344154,165
1743344184,165
1743344214,165
1743344244,165
1743344274,165
1743344304,165
1743344334,165
1743344364,165
1743344394,165
1743344424,165
1743344454,165
1743344484,165
1743344514,165
1743344544,165
1743344574,165
1743344604,165
1743344634,165
1743344664,165
1743344694,165
1743344724,165
1743344754,165
1743344784,165
1743344814,165
1743344844,165
1743344875,165
1743344905,165
1743344935,165
1743344965,165
1743344995,165
1743345025,165
1743345055,165
1743345085,165
1743345115,165
1743345145,165
1743345175,165
1743345205,165
1743345235,165
1743345265,165
1743345295,165
1743345325,165
1743345355,165
1743345385,165
1743345415,165
1743345445,165
1743345475,165
1743345505,165
1743345535,165
1743345565,165
1743345595,165
1743345625,165
1743345655,165
1743345685,165
1743345715,165
1743345745,165
1743345775,165
1743345805,165
1743345835,165
1743345865,165
1743345895,165
1743345925,165
1743345955,165
1743345985,165
1743346015,165
1743346045,165
1743346075,165
1743346105,165
1743346135,165
1743346165,165
1743346195,165
1743346225,165
1743346255,165
1743346285,165
1743346315,165
1743346345,165
1743346375,165
1743346405,165
1743346435,165
1743346465,165
1743346495,165
1743346525,165
1743346555,165
1743346585,165
1743346615,165
1743346645,165
1743346675,165
1743346705,165
1743346735,165
1743346765,165
1743346795,165
1743346825,165
1743346855,165
1743346885,165
1743346916,165
1743346946,165
1743346976,165
1743347006,165
1743347036,165
1743347066,165
1743347096,165
1743347126,165
1743347156,165
1743347186,165
1743347216,165
1743347246,165
1743347276,165
1743347306,165
1743347336,165
1743347366,165
1743347396,165
1743347426,165
1743347456,165
1743347486,165
1743347516,165
1743347546,165
1743347576,165
1743347606,165
1743347636,165
1743347666,165
1743347696,165
1743347726,165
1743347756,165
1743347786,165
1743347816,165
1743347846,165
1743347876,165
1743347906,165
1743347936,165
1743347966,165
1743347996,165
1743348026,165
1743348056,165
1743348086,165
1743348116,165
1743348146,165
1743348176,165
1743348206,165
1743348236,165
1743348266,165
1743348296,165
1743348326,165
