t,value
1743304080,118
1743304110,118
1743304140,118
1743304170,118
1743304200,118
1743304231,118
1743304261,118
1743304291,118
1743304321,118
1743304354,118
1743304384,118
1743304414,118
1743304444,118
1743304474,118
1743304504,118
1743304534,118
1743304564,118
1743304594,118
1743304624,118
1743304654,118
1743304684,118
1743304714,118
1743304744,118
1743304774,118
1743304804,118
1743304834,118
1743304864,118
1743304894,118
1743304925,118
1743304955,118
1743304985,118
1743305015,118
1743305045,118
1743305075,118
1743305105,118
1743339378,118
1743339410,118
1743339441,118
1743339471,118
1743339501,118
1743339531,118
1743339561,118
1743339591,118
1743339621,118
1743339651,118
1743339681,118
1743339711,118
1743339741,118
1743339771,118
1743339801,118
1743339831,118
1743339861,118
1743339891,118
1743339921,118
1743339951,118
1743339982,118
1743340012,118
1743340042,118
1743340072,118
1743340102,118
1743340132,118
1743340162,118
1743340192,118
1743340222,118
1743340252,118
1743340282,118
1743340312,118
1743340342,118
1743340372,118
1743340402,118
1743340432,118
1743340462,118
1743340492,118
1743340522,118
1743340552,118
1743340582,118
1743340612,118
1743340642,118
1743340672,118
1743340702,118
1743340732,118
1743340762,118
1743340792,118
1743340822,118
1743340852,118
1743340882,118
1743340912,118
1743340942,118
1743340972,118
1743341002,118
1743341032,118
1743341062,118
1743341092,118
1743341122,118
1743341152,118
1743341182,118
1743341212,118
1743341242,118
1743341272,118
1743341302,118
1743341332,118
1743341362,118
1743341392,118
1743341423,118
1743341453,118
1743341483,118
1743341513,118
1743341543,118
1743341573,118
1743341603,118
1743341633,118
1743341663,118
1743341693,118
1743341723,118
1743341753,118
1743341783,118
1743341813,118
1743341843,118
1743341873,118
1743341903,118
1743341933,118
1743341963,118
1743341993,118
1743342023,118
1743342053,118
1743342083,118
1743342113,118
1743342143,118
1743342173,118
1743342203,118
1743342233,118
1743342263,118
1743342293,118
1743342323,118
1743342353,118
1743342383,118
1743342413,118
1743342443,118
1743342473,118
1743342503,118
1743342533,118
1743342563,118
1743342593,118
1743342623,118
1743342653,118
1743342683,118
1743342713,118
1743342743,118
1743342773,118
1743342803,118
1743342833,118
1743342863,118
1743342893,118
1743342924,118
1743342954,118
1743342984,118
1743343014,118
1743343044,118
1743343074,118
1743343104,118
1743343134,118
1743343164,118
1743343194,118
1743343224,118
1743343254,118
1743343284,118
1743343314,118
1743343344,118
1743343374,118
1743343404,118
1743343434,118
1743343464,118
1743343494,118
1743343524,118
1743343554,118
1743343584,118
1743343614,118
1743343644,118
1743343674,118
1743343704,118
1743343734,118
1743343764,118
1743343794,118
1743343824,118
1743343854,118
1743343884,118
1743343914,118
1743343944,118
1743343974,118
1743344004,118
1743344034,118
1743344064,118
1743344094,118
1743344124,118
1743344154,118
1743344184,118
1743344214,118
1743344244,118
1743344274,118
1743344304,118
1743344334,118
1743344364,118
1743344394,118
1743344424,118
1743344454,118
1743344484,118
1743344514,118
1743344544,118
1743344574,118
1743344604,118
1743344634,118
1743344664,118
1743344694,118
1743344724,118
1743344754,118
1743344784,118
1743344814,118
1743344844,118
1743344875,118
1743344905,118
1743344935,118
1743344965,118
1743344995,118
1743345025,118
1743345055,118
1743345085,118
1743345115,118
1743345145,118
1743345175,118
1743345205,118
1743345235,118
1743345265,118
1743345295,118
1743345325,118
1743345355,118
1743345385,118
1743345415,118
1743345445,118
1743345475,118
1743345505,118
1743345535,118
1743345565,118
1743345595,118
1743345625,118
1743345655,118
1743345685,118
1743345715,118
1743345745,118
1743345775,118
1743345805,118
1743345835,118
1743345865,118
1743345895,118
1743345925,118
1743345955,118
1743345985,118
1743346015,118
1743346045,118
1743346075,118
1743346105,118
1743346135,118
1743346165,118
1743346195,118
1743346225,118
1743346255,118
1743346285,118
1743346315,118
1743346345,118
1743346375,118
1743346405,118
1743346435,118
1743346465,118
1743346495,118
1743346525,118
1743346555,118
1743346585,118
1743346615,118
1743346645,118
1743346675,118
1743346705,118
1743346735,118
1743346765,118
1743346795,118
1743346825,118
1743346855,118
1743346885,118
1743346916,118
1743346946,118
1743346976,118
1743347006,118
1743347036,118
1743347066,118
1743347096,118
1743347126,118
1743347156,118
1743347186,118
1743347216,118
1743347246,118
1743347276,118
1743347306,118
1743347336,118
1743347366,118
1743347396,118
1743347426,118
1743347456,118
1743347486,118
1743347516,118
1743347546,118
1743347576,118
1743347606,118
1743347636,118
1743347666,118
