t,value
1743304080,10
1743304110,10
1743304140,10
1743304170,10
1743304200,10
1743304231,10
1743304261,10
1743304291,10
1743304321,10
1743304354,10
1743304384,10
1743304414,10
1743304444,10
1743304474,10
1743304504,10
1743304534,10
1743304564,10
1743304594,10
1743304624,10
1743304654,10
1743304684,10
1743304714,10
1743304744,10
1743304774,10
1743304804,10
1743304834,10
1743304864,10
1743304894,10
1743304925,10
1743304955,10
1743304985,10
1743305015,10
1743305045,10
1743305075,10
1743305105,10
1743339378,10
1743339410,10
1743339441,10
1743339471,10
1743339501,10
1743339531,10
1743339561,10
1743339591,10
1743339621,10
1743339651,10
1743339681,10
1743339711,10
1743339741,10
1743339771,10
1743339801,10
1743339831,10
1743339861,10
1743339891,10
1743339921,10
1743339951,10
1743339982,10
1743340012,10
1743340042,10
1743340072,10
1743340102,10
1743340132,10
1743340162,10
1743340192,10
1743340222,10
1743340252,10
1743340282,10
1743340312,10
1743340342,10
1743340372,10
1743340402,10
1743340432,10
1743340462,10
1743340492,10
1743340522,10
1743340552,10
1743340582,10
1743340612,10
1743340642,10
1743340672,10
1743340702,10
1743340732,10
1743340762,10
1743340792,10
1743340822,10
1743340852,10
1743340882,10
1743340912,10
1743340942,10
1743340972,10
1743341002,10
1743341032,10
1743341062,10
1743341092,10
1743341122,10
1743341152,10
1743341182,10
1743341212,10
1743341242,10
1743341272,10
1743341302,10
1743341332,10
1743341362,10
1743341392,10
1743341423,10
1743341453,10
1743341483,10
1743341513,10
1743341543,10
1743341573,10
1743341603,10
1743341633,10
1743341663,10
1743341693,10
1743341723,10
1743341753,10
1743341783,10
1743341813,10
1743341843,10
1743341873,10
1743341903,10
1743341933,10
1743341963,10
1743341993,10
1743342023,10
1743342053,10
1743342083,10
1743342113,10
1743342143,10
1743342173,10
1743342203,10
1743342233,10
1743342263,10
1743342293,10
1743342323,10
1743342353,10
1743342383,10
1743342413,10
1743342443,10
1743342473,10
1743342503,10
1743342533,10
1743342563,10
1743342593,10
1743342623,10
1743342653,10
1743342683,10
1743342713,10
1743342743,10
1743342773,10
1743342803,10
1743342833,10
1743342863,10
1743342893,10
1743342924,10
1743342954,10
1743342984,10
1743343014,10
1743343044,10
1743343074,10
1743343104,10
1743343134,10
1743343164,10
1743343194,10
1743343224,10
1743343254,10
1743343284,10
1743343314,10
1743343344,10
1743343374,10
1743343404,10
1743343434,10
1743343464,10
1743343494,10
1743343524,10
1743343554,10
1743343584,10
1743343614,10
1743343644,10
1743343674,10
1743343704,10
1743343734,10
1743343764,10
1743343794,10
1743343824,10
1743343854,10
1743343884,10
1743343914,10
1743343944,10
1743343974,10
1743344004,10
1743344034,10
1743344064,10
1743344094,10
1743344124,10
1743344154,10
1743344184,10
1743344214,10
1743344244,10
1743344274,10
1743344304,10
1743344334,10
1743344364,10
1743344394,10
1743344424,10
1743344454,10
1743344484,10
1743344514,10
1743344544,10
1743344574,10
1743344604,10
1743344634,10
1743344664,10
1743344694,10
1743344724,10
1743344754,10
1743344784,10
1743344814,10
1743344844,10
1743344875,10
1743344905,10
1743344935,10
1743344965,10
1743344995,10
1743345025,10
1743345055,10
1743345085,10
1743345115,10
1743345145,10
1743345175,10
1743345205,10
1743345235,10
1743345265,10
1743345295,10
1743345325,10
1743345355,10
1743345385,10
1743345415,10
1743345445,10
1743345475,10
1743345505,10
1743345535,10
1743345565,10
1743345595,10
1743345625,10
1743345655,10
1743345685,10
1743345715,10
1743345745,10
1743345775,10
1743345805,10
1743345835,10
1743345865,10
1743345895,10
1743345925,10
1743345955,10
1743345985,10
1743346015,10
1743346045,10
1743346075,10
1743346105,10
1743346135,10
1743346165,10
1743346195,10
1743346225,10
1743346255,10
1743346285,10
1743346315,10
1743346345,10
1743346375,10
1743346405,10
1743346435,10
1743346465,10
1743346495,10
1743346525,10
1743346555,10
1743346585,10
1743346615,10
1743346645,10
1743346675,10
1743346705,10
1743346735,10
1743346765,10
1743346795,10
1743346825,10
1743346855,10
1743346885,10
1743346916,10
1743346946,10
1743346976,10
1743347006,10
1743347036,10
1743347066,10
1743347096,10
1743347126,10
1743347156,10
1743347186,10
1743347216,10
1743347246,10
1743347276,10
1743347306,10
1743347336,10
1743347366,10
1743347396,10
1743347426,10
1743347456,10
1743347486,10
1743347516,10
1743347546,10
1743347576,10
1743347606,10
1743347636,10
1743347666,10
1743347696,10
1743347726,10
1743347756,10
1743347786,10
1743347816,10
1743347846,10
1743347876,10
1743347906,10
1743347936,10
1743347966,10
1743347996,10
1743348026,10
1743348056,10
1743348086,10
1743348116,10
1743348146,10
1743348176,10
1743348206,10
