t,value
1743304080,449
1743304110,449
1743304140,449
1743304170,449
1743304200,449
1743304231,449
1743304261,449
1743304291,449
1743304321,449
1743304354,449
1743304384,449
1743304414,449
1743304444,449
1743304474,449
1743304504,449
1743304534,449
1743304564,449
1743304594,449
1743304624,449
1743304654,449
1743304684,449
1743304714,449
1743304744,449
1743304774,449
1743304804,449
1743304834,449
1743304864,449
1743304894,449
1743304925,449
1743304955,449
1743304985,449
1743305015,449
1743305045,449
1743305075,449
1743305105,449
1743339378,449
1743339410,449
1743339441,449
1743339471,449
1743339501,449
1743339531,449
1743339561,449
1743339591,449
1743339621,449
1743339651,449
1743339681,449
1743339711,449
1743339741,449
1743339771,449
1743339801,449
1743339831,449
1743339861,449
1743339891,449
1743339921,449
1743339951,449
1743339982,449
1743340012,449
1743340042,449
1743340072,449
1743340102,449
1743340132,449
1743340162,449
1743340192,449
1743340222,449
1743340252,449
1743340282,449
1743340312,449
1743340342,449
1743340372,449
1743340402,449
1743340432,449
1743340462,449
1743340492,449
1743340522,449
1743340552,449
1743340582,449
1743340612,449
1743340642,449
1743340672,449
1743340702,449
1743340732,449
1743340762,449
1743340792,449
1743340822,449
1743340852,449
1743340882,449
1743340912,449
1743340942,449
1743340972,449
1743341002,449
1743341032,449
1743341062,449
1743341092,449
1743341122,449
1743341152,449
1743341182,449
1743341212,449
1743341242,449
1743341272,449
1743341302,449
1743341332,449
1743341362,449
1743341392,449
1743341423,449
1743341453,449
1743341483,449
1743341513,449
1743341543,449
1743341573,449
1743341603,449
1743341633,449
1743341663,449
1743341693,449
1743341723,449
1743341753,449
1743341783,449
1743341813,449
1743341843,449
1743341873,449
1743341903,449
1743341933,449
1743341963,449
1743341993,449
1743342023,449
1743342053,449
1743342083,449
1743342113,449
1743342143,449
1743342173,449
1743342203,449
1743342233,449
1743342263,449
1743342293,449
1743342323,449
1743342353,449
1743342383,449
1743342413,449
1743342443,449
1743342473,449
1743342503,449
1743342533,449
1743342563,449
1743342593,449
1743342623,449
1743342653,449
1743342683,449
1743342713,449
1743342743,449
1743342773,449
1743342803,449
1743342833,449
1743342863,449
1743342893,449
1743342924,449
1743342954,449
1743342984,449
1743343014,449
1743343044,449
1743343074,449
1743343104,449
1743343134,449
1743343164,449
1743343194,449
1743343224,449
1743343254,449
1743343284,449
1743343314,449
1743343344,449
1743343374,449
1743343404,449
1743343434,449
1743343464,449
1743343494,449
1743343524,449
1743343554,449
1743343584,449
1743343614,449
1743343644,449
1743343674,449
1743343704,449
1743343734,449
1743343764,449
1743343794,449
1743343824,449
1743343854,449
1743343884,449
1743343914,449
1743343944,449
1743343974,449
1743344004,449
1743344034,449
1743344064,449
1743344094,449
1743344124,449
1743344154,449
1743344184,449
1743344214,449
1743344244,449
1743344274,449
1743344304,449
1743344334,449
1743344364,449
1743344394,449
1743344424,449
1743344454,449
1743344484,449
1743344514,449
1743344544,449
1743344574,449
1743344604,449
1743344634,449
1743344664,449
1743344694,449
1743344724,449
1743344754,449
1743344784,449
1743344814,449
1743344844,449
1743344875,449
1743344905,449
1743344935,449
1743344965,449
1743344995,449
1743345025,449
1743345055,449
1743345085,449
1743345115,449
1743345145,449
1743345175,449
1743345205,449
1743345235,449
1743345265,449
1743345295,449
1743345325,449
1743345355,449
1743345385,449
1743345415,449
1743345445,449
1743345475,449
1743345505,449
1743345535,449
1743345565,449
1743345595,449
1743345625,449
1743345655,449
1743345685,449
1743345715,449
1743345745,449
1743345775,449
1743345805,449
1743345835,449
1743345865,449
1743345895,449
1743345925,449
1743345955,449
1743345985,449
1743346015,449
1743346045,449
1743346075,449
1743346105,449
1743346135,449
1743346165,449
1743346195,449
1743346225,449
1743346255,449
1743346285,449
1743346315,449
1743346345,449
1743346375,449
1743346405,449
1743346435,449
1743346465,449
1743346495,449
1743346525,449
1743346555,449
1743346585,449
1743346615,449
1743346645,449
1743346675,449
1743346705,449
1743346735,449
1743346765,449
1743346795,449
1743346825,449
1743346855,449
1743346885,449
1743346916,449
1743346946,449
1743346976,449
1743347006,449
1743347036,449
1743347066,449
1743347096,449
1743347126,449
1743347156,449
1743347186,449
1743347216,449
1743347246,449
1743347276,449
1743347306,449
1743347336,449
1743347366,449
1743347396,449
1743347426,449
1743347456,449
1743347486,449
1743347516,449
1743347546,449
1743347576,449
1743347606,449
1743347636,449
1743347666,449
1743347696,449
1743347726,449
1743347756,449
1743347786,449
1743347816,449
1743347846,449
1743347876,449
1743347906,449
1743347936,449
1743347966,449
1743347996,449
1743348026,449
1743348056,449
1743348086,449
1743348116,449
1743348146,449
1743348176,449
1743348206,449
1743348236,449
1743348266,449
1743348296,449
1743348326,449
1743348356,449
1743348386,449
1743348416,449
1743348446,449
1743348476,449
1743348506,449
1743348537,449
1743348567,449
1743348597,449
1743348627,449
1743348657,449
1743348687,449
1743348717,449
1743348747,449
1743348777,449
1743348807,449
1743348837,449
1743348867,449
1743348897,449
1743348927,449
1743348957,449
1743348987,449
1743349017,449
1743349047,449
1743364211,449
1743364241,449
1743372290,449
1743372320,449
1743372350,449
1743372380,449
1743372410,449
1743372440,449
1743372470,449
1743372500,449
1743372530,449
1743372560,449
1743372590,449
1743372620,449
1743372650,449
1743372680,449
1743372710,449
1743372740,449
1743372770,449
1743372800,449
1743372830,449
1743372860,449
1743372890,449
1743372920,449
1743372950,449
1743372980,449
1743373010,449
1743373040,449
1743373070,449
1743373100,449
1743373130,449
1743373160,449
1743373190,449
1743373220,449
1743373250,449
1743373280,449
1743373310,449
1743373340,449
1743373370,449
1743373400,449
1743373430,449
1743373460,449
1743373490,449
1743373520,449
1743373550,449
1743373580,449
1743373610,449
1743373640,449
1743373670,449
1743373700,449
1743373730,449
1743373760,449
1743373790,449
1743373820,449
1743373850,449
1743373880,449
1743373910,449
1743373940,449
1743373970,449
1743374000,449
1743374030,449
1743374060,449
1743374090,449
1743374120,449
1743374150,449
1743374180,449
1743374210,449
1743374240,449
1743374270,449
1743374300,449
1743374330,449
1743374360,449
1743374390,449
1743374420,449
1743374450,449
1743374480,449
1743374510,449
1743374540,449
1743374570,449
1743374600,449
1743374630,449
1743374660,449
1743374691,449
1743374721,449
1743374751,449
1743374781,449
1743376594,449
1743376624,449
1743376654,449
1743376684,449
1743376714,449
1743376744,449
