t,value
1743304080,73728
1743304110,73728
1743304140,73728
1743304170,73728
1743304200,73728
1743304231,73728
1743304261,73728
1743304291,73728
1743304321,73728
1743304354,73728
1743304384,73728
1743304414,73728
1743304444,73728
1743304474,73728
1743304504,73728
1743304534,73728
1743304564,73728
1743304594,73728
1743304624,73728
1743304654,73728
1743304684,1278876
1743304714,1278876
1743304744,1278876
1743304774,1278876
1743304804,1278876
1743304834,1278876
1743304864,1278876
1743304894,1278876
1743304925,1278876
1743304955,1278876
1743304985,1278876
1743305015,1278876
1743305045,1278876
1743305075,1278876
1743305105,1278876
1743339378,1442716
1743339410,1442716
1743339441,1442716
1743339471,1442716
1743339501,1442716
1743339531,1442716
1743339561,1442716
1743339591,1442716
1743339621,1442716
1743339651,1442716
1743339681,1442716
1743339711,1442716
1743339741,1442716
1743339771,1442716
1743339801,1442716
1743339831,1442716
1743339861,1442716
1743339891,1442716
1743339921,1442716
1743339951,1442716
1743339982,1442716
1743340012,1442716
1743340042,1442716
1743340072,1442716
1743340102,1442716
1743340132,1442716
1743340162,1442716
1743340192,1442716
1743340222,1442716
1743340252,1442716
1743340282,1442716
1743340312,1442716
1743340342,1442716
1743340372,1442716
1743340402,1442716
1743340432,1442716
1743340462,1442716
1743340492,1442716
1743340522,1442716
1743340552,1442716
1743340582,1442716
1743340612,1442716
1743340642,1442716
1743340672,1442716
1743340702,1442716
1743340732,1442716
1743340762,1442716
1743340792,1442716
1743340822,1442716
1743340852,1442716
1743340882,1442716
1743340912,1442716
1743340942,1442716
1743340972,1442716
1743341002,1442716
1743341032,1442716
1743341062,1442716
1743341092,1442716
1743341122,1442716
1743341152,1442716
1743341182,1442716
1743341212,1442716
1743341242,1442716
1743341272,1442716
1743341302,1442716
1743341332,1442716
1743341362,1442716
1743341392,1442716
1743341423,1442716
1743341453,1442716
1743341483,1442716
1743341513,1442716
1743341543,1442716
1743341573,1442716
1743341603,1442716
1743341633,1442716
1743341663,1442716
1743341693,1442716
1743341723,1442716
1743341753,1442716
1743341783,1442716
