t,value
1743304080,73728
1743304110,73728
1743304140,73728
1743304170,73728
1743304200,73728
1743304231,73728
1743304261,73728
1743304291,73728
1743304321,73728
1743304354,73728
1743304384,73728
1743304414,73728
1743304444,73728
1743304474,73728
1743304504,73728
1743304534,73728
1743304564,73728
1743304594,73728
1743304624,73728
1743304654,73728
1743304684,1338879
1743304714,1338879
1743304744,1338879
1743304774,1338879
1743304804,1338879
1743304834,1338879
1743304864,1338879
1743304894,1338879
1743304925,1338879
1743304955,1338879
1743304985,1338879
1743305015,1338879
1743305045,1338879
1743305075,1338879
1743305105,1338879
1743339378,1502951
1743339410,1502951
1743339441,1502951
1743339471,1502951
1743339501,1502951
1743339531,1502951
1743339561,1502951
1743339591,1502951
1743339621,1502951
1743339651,1502951
1743339681,1502951
1743339711,1502951
1743339741,1502951
1743339771,1502951
1743339801,1502951
1743339831,1502951
1743339861,1502951
1743339891,1502951
1743339921,1502951
1743339951,1502951
1743339982,1502951
1743340012,1502951
1743340042,1502951
1743340072,1502951
1743340102,1502951
1743340132,1502951
1743340162,1502951
1743340192,1502951
1743340222,1502951
1743340252,1502951
1743340282,1502951
1743340312,1502951
1743340342,1502951
1743340372,1502951
1743340402,1502951
1743340432,1502951
1743340462,1502951
1743340492,1502951
1743340522,1502951
1743340552,1502951
1743340582,1502951
1743340612,1502951
1743340642,1502951
1743340672,1502951
1743340702,1502951
1743340732,1502951
1743340762,1502951
1743340792,1502951
1743340822,1502951
1743340852,1502951
1743340882,1502951
1743340912,1502951
1743340942,1502951
1743340972,1502951
1743341002,1502951
1743341032,1502951
1743341062,1502951
1743341092,1502951
1743341122,1502951
1743341152,1502951
1743341182,1502951
1743341212,1502951
1743341242,1502951
1743341272,1502951
1743341302,1502951
1743341332,1502951
1743341362,1502951
1743341392,1502951
1743341423,1502951
1743341453,1502951
1743341483,1502951
1743341513,1502951
1743341543,1502951
1743341573,1502951
1743341603,1502951
1743341633,1502951
1743341663,1502951
1743341693,1502951
1743341723,1502951
1743341753,1502951
1743341783,1502951
