t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,121,6.638509365186562,0.0,0.0,0.0,events/second,
1743304110,127,2.6263007033406995,0.0,0.0,0.0,events/second,
1743304140,130,1.6571808825604375,0.0,0.0,0.0,events/second,
1743304170,133,1.225238294500095,0.0,0.0,0.0,events/second,
1743304200,136,0.9773612955115996,0.0,0.0,0.0,events/second,
1743304231,138,0.815351670014162,0.0,0.0,0.0,events/second,
1743304261,141,0.7075189858592661,0.0,0.0,0.0,events/second,
1743304291,144,0.6277286238051455,0.0,0.0,0.0,events/second,
1743304321,147,0.5612434428654318,0.0,0.0,0.0,events/second,
1743304354,150,0.5130153995659583,0.0,0.0,0.0,events/second,
1743304384,153,0.47452752968672135,0.0,0.0,0.0,events/second,
1743304414,156,0.44262726418887155,0.0,0.0,0.0,events/second,
1743304444,159,0.41573335802444344,0.0,0.0,0.0,events/second,
1743304474,162,0.3927481697862557,0.0,0.0,0.0,events/second,
1743304504,165,0.37289071704817944,0.0,0.0,0.0,events/second,
1743304534,168,0.35555643462651204,0.0,0.0,0.0,events/second,
1743304564,171,0.3402868712092232,0.0,0.0,0.0,events/second,
1743304594,174,0.3267336859298057,0.0,0.0,0.0,events/second,
1743304624,177,0.31463347940693304,0.0,0.0,0.0,events/second,
1743304654,180,0.303760716281283,0.0,0.0,0.0,events/second,
1743304684,182,0.2923293604147238,0.0,0.0,0.0,events/second,
1743304714,185,0.2834779337673421,0.0,0.0,0.0,events/second,
1743304744,188,0.27540876448628643,0.0,0.0,0.0,events/second,
1743304774,191,0.26801758094747247,0.0,0.0,0.0,events/second,
1743304804,194,0.2612244142766162,0.0,0.0,0.0,events/second,
1743304834,197,0.2549583810921394,0.0,0.0,0.0,events/second,
1743304864,200,0.2491607446071331,0.0,0.0,0.0,events/second,
1743304894,203,0.2437820770498507,0.0,0.0,0.0,events/second,
1743304925,206,0.23877132915914792,0.0,0.0,0.0,events/second,
1743304955,209,0.2341033353305701,0.0,0.0,0.0,events/second,
1743304985,212,0.22973773619234522,0.0,0.0,0.0,events/second,
1743305015,215,0.22564796991276215,0.0,0.0,0.0,events/second,
1743305045,218,0.22180767010813346,0.0,0.0,0.0,events/second,
1743305075,221,0.218194512560844,0.0,0.0,0.0,events/second,
1743305105,224,0.21479140981811196,0.0,0.0,0.0,events/second,
1743339378,228,0.00645564758150792,0.0,0.0,0.0,events/second,
1743339410,231,0.0065348975467831695,0.0,0.0,0.0,events/second,
1743339441,234,0.0066141026711689895,0.0,0.0,0.0,events/second,
1743339471,236,0.006664971554811399,0.0,0.0,0.0,events/second,
1743339501,239,0.006743961645781397,0.0,0.0,0.0,events/second,
1743339531,242,0.006822831743344269,0.0,0.0,0.0,events/second,
1743339561,245,0.0069015349538958356,0.0,0.0,0.0,events/second,
1743339591,248,0.006980130521639012,0.0,0.0,0.0,events/second,
1743339621,251,0.007058590082010178,0.0,0.0,0.0,events/second,
1743339651,254,0.007136924024259477,0.0,0.0,0.0,events/second,
1743339681,257,0.007215132615657651,0.0,0.0,0.0,events/second,
1743339711,260,0.00729321124997039,0.0,0.0,0.0,events/second,
1743339741,263,0.0073711566977467955,0.0,0.0,0.0,events/second,
1743339771,266,0.0074489736549710125,0.0,0.0,0.0,events/second,
1743339801,269,0.007526658363174172,0.0,0.0,0.0,events/second,
1743339831,271,0.007576255260224007,0.0,0.0,0.0,events/second,
1743339861,274,0.007653701462474556,0.0,0.0,0.0,events/second,
1743339891,277,0.007731018420757466,0.0,0.0,0.0,events/second,
1743339921,280,0.007808203237848824,0.0,0.0,0.0,events/second,
1743339951,283,0.007885263081235116,0.0,0.0,0.0,events/second,
1743339982,286,0.007962194243105703,0.0,0.0,0.0,events/second,
1743340012,289,0.008038994503783958,0.0,0.0,0.0,events/second,
1743340042,292,0.008115669513171884,0.0,0.0,0.0,events/second,
1743340072,295,0.008192211251480324,0.0,0.0,0.0,events/second,
1743340102,298,0.008268622777059672,0.0,0.0,0.0,events/second,
1743340132,301,0.008344904654604357,0.0,0.0,0.0,events/second,
1743340162,304,0.00842106867919664,0.0,0.0,0.0,events/second,
1743340192,307,0.008497107888922942,0.0,0.0,0.0,events/second,
1743340222,310,0.008573015716671137,0.0,0.0,0.0,events/second,
1743340252,313,0.008648800714116675,0.0,0.0,0.0,events/second,
1743340282,316,0.008724460084925483,0.0,0.0,0.0,events/second,
1743340312,319,0.008799991945106408,0.0,0.0,0.0,events/second,
1743340342,322,0.008875401232337652,0.0,0.0,0.0,events/second,
1743340372,325,0.008950687343893468,0.0,0.0,0.0,events/second,
1743340402,328,0.00902584495026906,0.0,0.0,0.0,events/second,
1743340432,331,0.009100881976854531,0.0,0.0,0.0,events/second,
1743340462,334,0.009175793806769996,0.0,0.0,0.0,events/second,
1743340492,337,0.009250584937370493,0.0,0.0,0.0,events/second,
1743340522,340,0.009325252235976486,0.0,0.0,0.0,events/second,
1743340552,343,0.009399792527062986,0.0,0.0,0.0,events/second,
1743340582,346,0.0094742136860202,0.0,0.0,0.0,events/second,
1743340612,349,0.009548511108735,0.0,0.0,0.0,events/second,
1743340642,352,0.00962268950824224,0.0,0.0,0.0,events/second,
1743340672,355,0.00969674613651175,0.0,0.0,0.0,events/second,
1743340702,358,0.009770678800533006,0.0,0.0,0.0,events/second,
1743340732,361,0.009844490435879958,0.0,0.0,0.0,events/second,
1743340762,364,0.009918183252871474,0.0,0.0,0.0,events/second,
1743340792,367,0.009991754043502015,0.0,0.0,0.0,events/second,
1743340822,370,0.010065204401468112,0.0,0.0,0.0,events/second,
1743340852,373,0.010138534364475775,0.0,0.0,0.0,events/second,
1743340882,376,0.01021174159518064,0.0,0.0,0.0,events/second,
1743340912,379,0.010284833086217927,0.0,0.0,0.0,events/second,
1743340942,382,0.010357808181344073,0.0,0.0,0.0,events/second,
1743340972,385,0.010430662005436957,0.0,0.0,0.0,events/second,
1743341002,388,0.01050339705026799,0.0,0.0,0.0,events/second,
1743341032,391,0.010576014722137293,0.0,0.0,0.0,events/second,
1743341062,394,0.010648516388750843,0.0,0.0,0.0,events/second,
1743341092,397,0.010720890488982162,0.0,0.0,0.0,events/second,
1743341122,399,0.010766171188111698,0.0,0.0,0.0,events/second,
1743341152,402,0.01083833988580299,0.0,0.0,0.0,events/second,
1743341182,405,0.010910395148806375,0.0,0.0,0.0,events/second,
1743341212,408,0.010982331284318041,0.0,0.0,0.0,events/second,
1743341242,411,0.01105414896004093,0.0,0.0,0.0,events/second,
1743341272,414,0.01112585606996831,0.0,0.0,0.0,events/second,
1743341302,417,0.011197442296174576,0.0,0.0,0.0,events/second,
1743341332,420,0.011268910994039155,0.0,0.0,0.0,events/second,
1743341362,423,0.011340268674247672,0.0,0.0,0.0,events/second,
1743341392,426,0.01141150751205222,0.0,0.0,0.0,events/second,
1743341423,429,0.01148263897181142,0.0,0.0,0.0,events/second,
1743341453,432,0.011553648900821733,0.0,0.0,0.0,events/second,
1743341483,435,0.011624548072558824,0.0,0.0,0.0,events/second,
1743341513,438,0.011695331871096396,0.0,0.0,0.0,events/second,
1743341543,441,0.011766006496868047,0.0,0.0,0.0,events/second,
