t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,20,1.0971353860897322,0.0,0.0,0.0,events/second,
1743304110,26,0.5376756882195042,0.0,0.0,0.0,events/second,
1743304140,29,0.3696794442104621,0.0,0.0,0.0,events/second,
1743304170,32,0.2947957137790276,0.0,0.0,0.0,events/second,
1743304200,35,0.2515280409335009,0.0,0.0,0.0,events/second,
1743304231,37,0.21860989446958304,0.0,0.0,0.0,events/second,
1743304261,40,0.20071544266856298,0.0,0.0,0.0,events/second,
1743304291,43,0.18744730581056662,0.0,0.0,0.0,events/second,
1743304321,46,0.17562779310543677,0.0,0.0,0.0,events/second,
1743304354,49,0.16758553931878925,0.0,0.0,0.0,events/second,
1743304384,52,0.1612777184067974,0.0,0.0,0.0,events/second,
1743304414,55,0.15605486713211972,0.0,0.0,0.0,events/second,
1743304444,58,0.15165151169750143,0.0,0.0,0.0,events/second,
1743304474,61,0.14788696590252243,0.0,0.0,0.0,events/second,
1743304504,64,0.1446366823772952,0.0,0.0,0.0,events/second,
1743304534,67,0.14179954563992758,0.0,0.0,0.0,events/second,
1743304564,70,0.1392989500348606,0.0,0.0,0.0,events/second,
1743304594,73,0.13707814799904913,0.0,0.0,0.0,events/second,
1743304624,76,0.1350970750894149,0.0,0.0,0.0,events/second,
1743304654,79,0.13331739923777644,0.0,0.0,0.0,events/second,
1743304684,81,0.13010281340134958,0.0,0.0,0.0,events/second,
1743304714,84,0.12871447994655932,0.0,0.0,0.0,events/second,
1743304744,87,0.12744996119173585,0.0,0.0,0.0,events/second,
1743304774,90,0.12629114979562045,0.0,0.0,0.0,events/second,
1743304804,93,0.1252262815849099,0.0,0.0,0.0,events/second,
1743304834,96,0.12424380134652131,0.0,0.0,0.0,events/second,
1743304864,99,0.12333470210310309,0.0,0.0,0.0,events/second,
1743304894,102,0.12249160625907841,0.0,0.0,0.0,events/second,
1743304925,105,0.12170395594547684,0.0,0.0,0.0,events/second,
1743304955,108,0.12097216964155046,0.0,0.0,0.0,events/second,
1743304985,111,0.12028732557512442,0.0,0.0,0.0,events/second,
1743305015,114,0.11964600993722643,0.0,0.0,0.0,events/second,
1743305045,117,0.11904367198921469,0.0,0.0,0.0,events/second,
1743305075,120,0.11847676060317491,0.0,0.0,0.0,events/second,
1743305105,123,0.11794359794214107,0.0,0.0,0.0,events/second,
1743339378,127,0.003595908979403228,0.0,0.0,0.0,events/second,
1743339410,130,0.0036776480619385484,0.0,0.0,0.0,events/second,
1743339441,133,0.00375929776595366,0.0,0.0,0.0,events/second,
1743339471,135,0.0038125897559140765,0.0,0.0,0.0,events/second,
1743339501,138,0.003894003056389116,0.0,0.0,0.0,events/second,
1743339531,141,0.0039752863565513195,0.0,0.0,0.0,events/second,
1743339561,144,0.004056412481974702,0.0,0.0,0.0,events/second,
1743339591,147,0.004137416164643824,0.0,0.0,0.0,events/second,
1743339621,150,0.004218281029206907,0.0,0.0,0.0,events/second,
1743339651,153,0.004299013393216855,0.0,0.0,0.0,events/second,
1743339681,156,0.004379613681383594,0.0,0.0,0.0,events/second,
1743339711,159,0.004460079298953876,0.0,0.0,0.0,events/second,
1743339741,162,0.004540408420840266,0.0,0.0,0.0,events/second,
1743339771,165,0.004620604074899217,0.0,0.0,0.0,events/second,
1743339801,168,0.004700664076714373,0.0,0.0,0.0,events/second,
1743339831,170,0.004752632560559335,0.0,0.0,0.0,events/second,
1743339861,173,0.004832446662032225,0.0,0.0,0.0,events/second,
1743339891,176,0.004912127343804917,0.0,0.0,0.0,events/second,
1743339921,179,0.0049916729024744415,0.0,0.0,0.0,events/second,
1743339951,182,0.00507108804138981,0.0,0.0,0.0,events/second,
1743339982,185,0.005150370529220542,0.0,0.0,0.0,events/second,
1743340012,188,0.005229519039254504,0.0,0.0,0.0,events/second,
1743340042,191,0.00530853737916843,0.0,0.0,0.0,events/second,
1743340072,194,0.005387420411737571,0.0,0.0,0.0,events/second,
1743340102,197,0.005466170218550935,0.0,0.0,0.0,events/second,
1743340132,200,0.0055447872736298556,0.0,0.0,0.0,events/second,
1743340162,203,0.00562327954714296,0.0,0.0,0.0,events/second,
1743340192,206,0.005701642565888201,0.0,0.0,0.0,events/second,
1743340222,209,0.005779872013139365,0.0,0.0,0.0,events/second,
1743340252,212,0.005857973775565605,0.0,0.0,0.0,events/second,
1743340282,215,0.005935946086667647,0.0,0.0,0.0,events/second,
1743340312,218,0.006013787739547766,0.0,0.0,0.0,events/second,
1743340342,221,0.006091502234981039,0.0,0.0,0.0,events/second,
1743340372,224,0.006169089271872527,0.0,0.0,0.0,events/second,
1743340402,227,0.006246545271483278,0.0,0.0,0.0,events/second,
1743340432,230,0.00632387584587156,0.0,0.0,0.0,events/second,
1743340462,233,0.006401077868686952,0.0,0.0,0.0,events/second,
1743340492,236,0.006478154593302564,0.0,0.0,0.0,events/second,
1743340522,239,0.006555103935226676,0.0,0.0,0.0,events/second,
1743340552,242,0.00663192374540609,0.0,0.0,0.0,events/second,
1743340582,245,0.006708619678659252,0.0,0.0,0.0,events/second,
1743340612,248,0.0067851885723406195,0.0,0.0,0.0,events/second,
1743340642,251,0.0068616338762738545,0.0,0.0,0.0,events/second,
1743340672,254,0.006937953739985486,0.0,0.0,0.0,events/second,
1743340702,257,0.007014146676887771,0.0,0.0,0.0,events/second,
1743340732,260,0.007090214881279481,0.0,0.0,0.0,events/second,
1743340762,263,0.007166160047326863,0.0,0.0,0.0,events/second,
1743340792,266,0.007241979942706921,0.0,0.0,0.0,events/second,
1743340822,269,0.007317675810462088,0.0,0.0,0.0,events/second,
1743340852,272,0.0073932477455874316,0.0,0.0,0.0,events/second,
1743340882,275,0.007468694143606962,0.0,0.0,0.0,events/second,
1743340912,278,0.007544020227073035,0.0,0.0,0.0,events/second,
1743340942,281,0.007619225571330124,0.0,0.0,0.0,events/second,
1743340972,284,0.007694306696820636,0.0,0.0,0.0,events/second,
1743341002,287,0.007769265520488464,0.0,0.0,0.0,events/second,
1743341032,290,0.007844103145262482,0.0,0.0,0.0,events/second,
1743341062,293,0.007918820750881834,0.0,0.0,0.0,events/second,
1743341092,296,0.007993409716612148,0.0,0.0,0.0,events/second,
1743341122,298,0.008040899974884505,0.0,0.0,0.0,events/second,
1743341152,301,0.008115274572197436,0.0,0.0,0.0,events/second,
1743341182,304,0.008189531366908606,0.0,0.0,0.0,events/second,
1743341212,307,0.00826366613435135,0.0,0.0,0.0,events/second,
1743341242,310,0.008337679461064541,0.0,0.0,0.0,events/second,
1743341272,313,0.008411577371942902,0.0,0.0,0.0,events/second,
1743341302,316,0.00848535214189519,0.0,0.0,0.0,events/second,
1743341332,319,0.0085590064042975,0.0,0.0,0.0,events/second,
1743341362,322,0.00863254514586434,0.0,0.0,0.0,events/second,
1743341392,325,0.008705962467347025,0.0,0.0,0.0,events/second,
1743341423,328,0.008779267298444578,0.0,0.0,0.0,events/second,
1743341453,331,0.008852448597947522,0.0,0.0,0.0,events/second,
1743341483,334,0.008925515280959721,0.0,0.0,0.0,events/second,
1743341513,337,0.008998463306160113,0.0,0.0,0.0,events/second,
1743341543,340,0.009071297733684125,0.0,0.0,0.0,events/second,
1743341573,343,0.009144016523194414,0.0,0.0,0.0,events/second,
1743341603,346,0.00921661790596446,0.0,0.0,0.0,events/second,
1743341633,349,0.0092891024480313,0.0,0.0,0.0,events/second,
1743341663,352,0.009361473470234204,0.0,0.0,0.0,events/second,
1743341693,355,0.009433722826463362,0.0,0.0,0.0,events/second,
1743341723,358,0.009505859435757168,0.0,0.0,0.0,events/second,
1743341753,361,0.00957788354342999,0.0,0.0,0.0,events/second,
1743341783,364,0.009649795224306028,0.0,0.0,0.0,events/second,
1743341813,367,0.009721587501190714,0.0,0.0,0.0,events/second,
1743341843,370,0.009793267920186399,0.0,0.0,0.0,events/second,
1743341873,373,0.009864834719130097,0.0,0.0,0.0,events/second,
1743341903,376,0.009936286016245952,0.0,0.0,0.0,events/second,
1743341933,379,0.010007629188230519,0.0,0.0,0.0,events/second,
1743341963,382,0.010078857196615434,0.0,0.0,0.0,events/second,
1743341993,385,0.010149969161568306,0.0,0.0,0.0,events/second,
1743342023,388,0.010220970540461104,0.0,0.0,0.0,events/second,
1743342053,391,0.010291863068843164,0.0,0.0,0.0,events/second,
1743342083,394,0.010362633610551494,0.0,0.0,0.0,events/second,
1743342113,397,0.010433283029596207,0.0,0.0,0.0,events/second,
1743342143,400,0.010503833622756259,0.0,0.0,0.0,events/second,
1743342173,403,0.01057427510761587,0.0,0.0,0.0,events/second,
1743342203,406,0.010644610984297819,0.0,0.0,0.0,events/second,
1743342233,409,0.0107148339960651,0.0,0.0,0.0,events/second,
1743342263,412,0.010784945027634215,0.0,0.0,0.0,events/second,
1743342293,415,0.010854949070744416,0.0,0.0,0.0,events/second,
1743342323,418,0.010924843429655431,0.0,0.0,0.0,events/second,
1743342353,421,0.010994622924015889,0.0,0.0,0.0,events/second,
1743342383,424,0.011064297023529537,0.0,0.0,0.0,events/second,
1743342413,427,0.011133859366257805,0.0,0.0,0.0,events/second,
1743342443,429,0.011177263483191395,0.0,0.0,0.0,events/second,
1743342473,432,0.011246632615913178,0.0,0.0,0.0,events/second,
1743342503,435,0.011315893158607761,0.0,0.0,0.0,events/second,
1743342533,438,0.011385044073261906,0.0,0.0,0.0,events/second,
1743342563,441,0.011454086847188514,0.0,0.0,0.0,events/second,
1743342593,444,0.011523019618986085,0.0,0.0,0.0,events/second,
1743342623,447,0.011591849141963532,0.0,0.0,0.0,events/second,
1743342653,450,0.011660572463662198,0.0,0.0,0.0,events/second,
1743342683,453,0.011729188294026338,0.0,0.0,0.0,events/second,
1743342713,456,0.011797692392302243,0.0,0.0,0.0,events/second,
1743342743,459,0.011866091482088555,0.0,0.0,0.0,events/second,
1743342773,462,0.011934385074977077,0.0,0.0,0.0,events/second,
1743342803,465,0.012002577715684422,0.0,0.0,0.0,events/second,
1743342833,468,0.012070663645342433,0.0,0.0,0.0,events/second,
1743342863,471,0.012138637505422233,0.0,0.0,0.0,events/second,
1743342893,474,0.01220651205536273,0.0,0.0,0.0,events/second,
1743342924,477,0.012274280363328166,0.0,0.0,0.0,events/second,
1743342954,480,0.012341947022343935,0.0,0.0,0.0,events/second,
1743342984,483,0.01240950847576853,0.0,0.0,0.0,events/second,
1743343014,486,0.012476965385218565,0.0,0.0,0.0,events/second,
1743343044,489,0.012544314767388848,0.0,0.0,0.0,events/second,
1743343074,492,0.012611566280146506,0.0,0.0,0.0,events/second,
1743343104,495,0.012678712354758068,0.0,0.0,0.0,events/second,
1743343134,498,0.012745752137241613,0.0,0.0,0.0,events/second,
1743343164,501,0.012812693886986557,0.0,0.0,0.0,events/second,
1743343194,504,0.012879528427283274,0.0,0.0,0.0,events/second,
1743343224,507,0.012946259401826624,0.0,0.0,0.0,events/second,
1743343254,510,0.013012886712860045,0.0,0.0,0.0,events/second,
1743343284,513,0.013079418373371282,0.0,0.0,0.0,events/second,
1743343314,516,0.013145846701019277,0.0,0.0,0.0,events/second,
1743343344,519,0.013212172839795814,0.0,0.0,0.0,events/second,
1743343374,522,0.013278399254516035,0.0,0.0,0.0,events/second,
1743343404,525,0.01334452504554701,0.0,0.0,0.0,events/second,
1743343434,528,0.01341055001011608,0.0,0.0,0.0,events/second,
1743343464,531,0.013476473910574702,0.0,0.0,0.0,events/second,
1743343494,534,0.01354229419690718,0.0,0.0,0.0,events/second,
1743343524,537,0.013608018976856843,0.0,0.0,0.0,events/second,
1743343554,540,0.013673639873701527,0.0,0.0,0.0,events/second,
1743343584,543,0.013739160860477214,0.0,0.0,0.0,events/second,
1743343614,546,0.01380458418511482,0.0,0.0,0.0,events/second,
1743343644,549,0.013869907746693515,0.0,0.0,0.0,events/second,
1743343674,552,0.013935129596510647,0.0,0.0,0.0,events/second,
1743343704,554,0.013975031937848383,0.0,0.0,0.0,events/second,
1743343734,557,0.014040079822621369,0.0,0.0,0.0,events/second,
1743343764,560,0.014105026840185816,0.0,0.0,0.0,events/second,
1743343794,563,0.014169877868091589,0.0,0.0,0.0,events/second,
1743343824,566,0.014234629430139631,0.0,0.0,0.0,events/second,
1743343854,569,0.014299283887089134,0.0,0.0,0.0,events/second,
1743343884,572,0.014363842780320208,0.0,0.0,0.0,events/second,
1743343914,575,0.014428298370516214,0.0,0.0,0.0,events/second,
1743343944,578,0.014492661923615485,0.0,0.0,0.0,events/second,
1743343974,581,0.014556922716560217,0.0,0.0,0.0,events/second,
1743344004,584,0.014621091610340559,0.0,0.0,0.0,events/second,
1743344034,587,0.01468516074863017,0.0,0.0,0.0,events/second,
1743344064,590,0.014749131431245817,0.0,0.0,0.0,events/second,
1743344094,593,0.01481301323240544,0.0,0.0,0.0,events/second,
1743344124,596,0.014876799080128445,0.0,0.0,0.0,events/second,
1743344154,599,0.01494049101650896,0.0,0.0,0.0,events/second,
1743344184,602,0.01500408567842858,0.0,0.0,0.0,events/second,
1743344214,605,0.01506758176231397,0.0,0.0,0.0,events/second,
1743344244,608,0.015130988469713738,0.0,0.0,0.0,events/second,
1743344274,611,0.015194300467887209,0.0,0.0,0.0,events/second,
1743344304,614,0.015257516814910482,0.0,0.0,0.0,events/second,
1743344334,617,0.015320639821746753,0.0,0.0,0.0,events/second,
1743344364,620,0.015383666160765372,0.0,0.0,0.0,events/second,
1743344394,623,0.015446600622523147,0.0,0.0,0.0,events/second,
1743344424,626,0.015509443516199158,0.0,0.0,0.0,events/second,
1743344454,629,0.015572188030200988,0.0,0.0,0.0,events/second,
1743344484,632,0.015634839606680523,0.0,0.0,0.0,events/second,
1743344514,635,0.015697400333956408,0.0,0.0,0.0,events/second,
1743344544,638,0.015759868825888545,0.0,0.0,0.0,events/second,
1743344574,641,0.015822246391242512,0.0,0.0,0.0,events/second,
1743344604,644,0.015884532467176606,0.0,0.0,0.0,events/second,
1743344634,647,0.015946718039579505,0.0,0.0,0.0,events/second,
1743344664,650,0.01600881514484491,0.0,0.0,0.0,events/second,
1743344694,653,0.016070817007935726,0.0,0.0,0.0,events/second,
1743344724,656,0.01613273432679387,0.0,0.0,0.0,events/second,
1743344754,659,0.016194555813971653,0.0,0.0,0.0,events/second,
1743344784,662,0.016256290820202073,0.0,0.0,0.0,events/second,
1743344814,665,0.01631793462515333,0.0,0.0,0.0,events/second,
1743344844,668,0.016379484591030967,0.0,0.0,0.0,events/second,
1743344875,671,0.016440945805840934,0.0,0.0,0.0,events/second,
1743344905,674,0.016502315998785214,0.0,0.0,0.0,events/second,
1743344935,677,0.016563595546850284,0.0,0.0,0.0,events/second,
1743344965,680,0.016624785918422355,0.0,0.0,0.0,events/second,
1743344995,683,0.016685886229311747,0.0,0.0,0.0,events/second,
1743345025,686,0.016746899509752642,0.0,0.0,0.0,events/second,
1743345055,688,0.016783426990658584,0.0,0.0,0.0,events/second,
1743345085,691,0.016844272261261336,0.0,0.0,0.0,events/second,
1743345115,694,0.016905035715204905,0.0,0.0,0.0,events/second,
1743345145,697,0.01696571024690558,0.0,0.0,0.0,events/second,
1743345175,700,0.0170262903991649,0.0,0.0,0.0,events/second,
1743345205,703,0.017086777535085532,0.0,0.0,0.0,events/second,
1743345235,706,0.017147185519045278,0.0,0.0,0.0,events/second,
1743345265,709,0.017207507067313905,0.0,0.0,0.0,events/second,
1743345295,712,0.01726774058570966,0.0,0.0,0.0,events/second,
1743345325,715,0.017327888560199282,0.0,0.0,0.0,events/second,
1743345355,718,0.017387937268052676,0.0,0.0,0.0,events/second,
1743345385,721,0.01744789909231404,0.0,0.0,0.0,events/second,
1743345415,724,0.017507779375692496,0.0,0.0,0.0,events/second,
1743345445,727,0.017567573396603885,0.0,0.0,0.0,events/second,
1743345475,730,0.017627284162290122,0.0,0.0,0.0,events/second,
1743345505,733,0.017686906645628952,0.0,0.0,0.0,events/second,
1743345535,736,0.017746442373090584,0.0,0.0,0.0,events/second,
1743345565,739,0.017805895622855613,0.0,0.0,0.0,events/second,
1743345595,742,0.017865261514648925,0.0,0.0,0.0,events/second,
1743345625,745,0.017924542023270113,0.0,0.0,0.0,events/second,
1743345655,748,0.01798373552845656,0.0,0.0,0.0,events/second,
1743345685,751,0.018042845131744648,0.0,0.0,0.0,events/second,
1743345715,754,0.018101869474568964,0.0,0.0,0.0,events/second,
1743345745,757,0.01816080787941138,0.0,0.0,0.0,events/second,
1743345775,760,0.018219662181373848,0.0,0.0,0.0,events/second,
1743345805,763,0.018278431733731903,0.0,0.0,0.0,events/second,
1743345835,766,0.01833711678533548,0.0,0.0,0.0,events/second,
1743345865,769,0.018395717868580286,0.0,0.0,0.0,events/second,
1743345895,772,0.018454234749012394,0.0,0.0,0.0,events/second,
1743345925,775,0.01851266171784995,0.0,0.0,0.0,events/second,
1743345955,778,0.018571002374535257,0.0,0.0,0.0,events/second,
1743345985,781,0.018629266090591703,0.0,0.0,0.0,events/second,
1743346015,784,0.018687446740990717,0.0,0.0,0.0,events/second,
1743346045,787,0.018745545794122048,0.0,0.0,0.0,events/second,
1743346075,790,0.018803561466521793,0.0,0.0,0.0,events/second,
1743346105,793,0.01886149541236702,0.0,0.0,0.0,events/second,
1743346135,796,0.018919345897464683,0.0,0.0,0.0,events/second,
1743346165,799,0.01897709766115604,0.0,0.0,0.0,events/second,
1743346195,802,0.01903478180695316,0.0,0.0,0.0,events/second,
1743346225,805,0.019092374732857607,0.0,0.0,0.0,events/second,
1743346255,808,0.01914989721692672,0.0,0.0,0.0,events/second,
1743346285,811,0.019207337846036437,0.0,0.0,0.0,events/second,
1743346315,814,0.019264696974034358,0.0,0.0,0.0,events/second,
1743346345,817,0.019321973274330627,0.0,0.0,0.0,events/second,
1743346375,820,0.019379168232368238,0.0,0.0,0.0,events/second,
1743346405,822,0.019412667659545937,0.0,0.0,0.0,events/second,
1743346435,825,0.019469714714158783,0.0,0.0,0.0,events/second,
1743346465,828,0.019526675681938603,0.0,0.0,0.0,events/second,
1743346495,831,0.01958356579552344,0.0,0.0,0.0,events/second,
1743346525,834,0.019640375655801394,0.0,0.0,0.0,events/second,
1743346555,837,0.019697097255370808,0.0,0.0,0.0,events/second,
1743346585,840,0.019753743026738966,0.0,0.0,0.0,events/second,
1743346615,843,0.019810302405662908,0.0,0.0,0.0,events/second,
1743346645,846,0.019866791094399473,0.0,0.0,0.0,events/second,
1743346675,849,0.019923196149992696,0.0,0.0,0.0,events/second,
1743346705,852,0.019979524435375616,0.0,0.0,0.0,events/second,
1743346735,855,0.020035774406443645,0.0,0.0,0.0,events/second,
1743346765,858,0.020091946763798232,0.0,0.0,0.0,events/second,
1743346795,861,0.020148039618475784,0.0,0.0,0.0,events/second,
1743346825,864,0.020204052406846994,0.0,0.0,0.0,events/second,
1743346855,867,0.02025998184261524,0.0,0.0,0.0,events/second,
1743346885,870,0.02031584082968111,0.0,0.0,0.0,events/second,
1743346916,873,0.02037161905686728,0.0,0.0,0.0,events/second,
1743346946,876,0.020427308678796954,0.0,0.0,0.0,events/second,
1743346976,879,0.020482928165137665,0.0,0.0,0.0,events/second,
1743347006,882,0.020538464619635877,0.0,0.0,0.0,events/second,
1743347036,885,0.020593930593210304,0.0,0.0,0.0,events/second,
1743347066,888,0.020649312719078213,0.0,0.0,0.0,events/second,
1743347096,891,0.02070461007010339,0.0,0.0,0.0,events/second,
1743347126,894,0.020759840187759983,0.0,0.0,0.0,events/second,
1743347156,897,0.02081499528110821,0.0,0.0,0.0,events/second,
1743347186,900,0.020870068799883474,0.0,0.0,0.0,events/second,
1743347216,903,0.020925068132350837,0.0,0.0,0.0,events/second,
1743347246,906,0.020979992636050326,0.0,0.0,0.0,events/second,
1743347276,909,0.021034841616063647,0.0,0.0,0.0,events/second,
1743347306,912,0.021089616470362723,0.0,0.0,0.0,events/second,
1743347336,915,0.021144314043339205,0.0,0.0,0.0,events/second,
1743347366,918,0.021198933832643346,0.0,0.0,0.0,events/second,
1743347396,921,0.02125347673426781,0.0,0.0,0.0,events/second,
1743347426,924,0.021307940945223303,0.0,0.0,0.0,events/second,
1743347456,927,0.021362337033083247,0.0,0.0,0.0,events/second,
1743347486,930,0.021416661273612646,0.0,0.0,0.0,events/second,
1743347516,933,0.021470908407974314,0.0,0.0,0.0,events/second,
1743347546,936,0.021525079714078656,0.0,0.0,0.0,events/second,
1743347576,939,0.021579167719358736,0.0,0.0,0.0,events/second,
1743347606,942,0.021633188051564133,0.0,0.0,0.0,events/second,
1743347636,945,0.02168713035475187,0.0,0.0,0.0,events/second,
1743347666,948,0.02174100054327112,0.0,0.0,0.0,events/second,
1743347696,951,0.02179480187939918,0.0,0.0,0.0,events/second,
1743347726,954,0.021848526873789215,0.0,0.0,0.0,events/second,
1743347756,956,0.0218792946101057,0.0,0.0,0.0,events/second,
1743347786,959,0.021932884810973698,0.0,0.0,0.0,events/second,
1743347816,962,0.021986407727190738,0.0,0.0,0.0,events/second,
1743347846,965,0.02203985302935937,0.0,0.0,0.0,events/second,
1743347876,968,0.02209322478626516,0.0,0.0,0.0,events/second,
1743347906,971,0.02214652602783674,0.0,0.0,0.0,events/second,
1743347936,974,0.022199742681439656,0.0,0.0,0.0,events/second,
1743347966,977,0.022252893889388194,0.0,0.0,0.0,events/second,
1743347996,980,0.02230597491640679,0.0,0.0,0.0,events/second,
1743348026,983,0.02235898627027874,0.0,0.0,0.0,events/second,
1743348056,986,0.02241192277497889,0.0,0.0,0.0,events/second,
1743348086,989,0.02246478157085337,0.0,0.0,0.0,events/second,
1743348116,992,0.022517570942373395,0.0,0.0,0.0,events/second,
