t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,101,5.540056288178633,0.0,0.0,0.0,events/second,
1743304110,101,2.0886931750755195,0.0,0.0,0.0,events/second,
1743304140,101,1.2875047603098342,0.0,0.0,0.0,events/second,
1743304170,101,0.9304548157935442,0.0,0.0,0.0,events/second,
1743304200,101,0.7258404495066375,0.0,0.0,0.0,events/second,
1743304231,101,0.5967487086047755,0.0,0.0,0.0,events/second,
1743304261,101,0.5068084257537052,0.0,0.0,0.0,events/second,
1743304291,101,0.44028444155242763,0.0,0.0,0.0,events/second,
1743304321,101,0.3856187369618296,0.0,0.0,0.0,events/second,
1743304354,101,0.3454323756730772,0.0,0.0,0.0,events/second,
1743304384,101,0.3132516528656006,0.0,0.0,0.0,events/second,
1743304414,101,0.28657412718420977,0.0,0.0,0.0,events/second,
1743304444,101,0.2640833593190705,0.0,0.0,0.0,events/second,
1743304474,101,0.24486249436671711,0.0,0.0,0.0,events/second,
1743304504,101,0.2282551733384736,0.0,0.0,0.0,events/second,
1743304534,101,0.21375786676225095,0.0,0.0,0.0,events/second,
1743304564,101,0.2009887833839419,0.0,0.0,0.0,events/second,
1743304594,101,0.1896563485907227,0.0,0.0,0.0,events/second,
1743304624,101,0.17953716230043448,0.0,0.0,0.0,events/second,
1743304654,101,0.17044399199327367,0.0,0.0,0.0,events/second,
1743304684,101,0.16222717659807714,0.0,0.0,0.0,events/second,
1743304714,101,0.15476403123866553,0.0,0.0,0.0,events/second,
1743304744,101,0.14795931783316668,0.0,0.0,0.0,events/second,
1743304774,101,0.14172688488233987,0.0,0.0,0.0,events/second,
1743304804,101,0.13599857791484646,0.0,0.0,0.0,events/second,
1743304834,101,0.1307149541491466,0.0,0.0,0.0,events/second,
1743304864,101,0.12582643608321778,0.0,0.0,0.0,events/second,
1743304894,101,0.12129078420647438,0.0,0.0,0.0,events/second,
1743304925,101,0.11706772287200053,0.0,0.0,0.0,events/second,
1743304955,101,0.11313147760653712,0.0,0.0,0.0,events/second,
1743304985,101,0.10945072491481608,0.0,0.0,0.0,events/second,
1743305015,101,0.10600225535562169,0.0,0.0,0.0,events/second,
1743305045,101,0.10276427896846344,0.0,0.0,0.0,events/second,
1743305075,101,0.09971801853247013,0.0,0.0,0.0,events/second,
1743305105,101,0.09684807048455284,0.0,0.0,0.0,events/second,
1743339378,101,0.00285973864599717,0.0,0.0,0.0,events/second,
1743339410,101,0.0028572497134405767,0.0,0.0,0.0,events/second,
1743339441,101,0.0028548051355851596,0.0,0.0,0.0,events/second,
1743339471,101,0.002852382030745214,0.0,0.0,0.0,events/second,
1743339501,101,0.0028499588240096453,0.0,0.0,0.0,events/second,
1743339531,101,0.0028475456100788615,0.0,0.0,0.0,events/second,
1743339561,101,0.002845122708052473,0.0,0.0,0.0,events/second,
1743339591,101,0.0028427145715925646,0.0,0.0,0.0,events/second,
1743339621,101,0.0028403092912948407,0.0,0.0,0.0,events/second,
1743339651,101,0.0028379108647736784,0.0,0.0,0.0,events/second,
1743339681,101,0.0028355191788211314,0.0,0.0,0.0,events/second,
1743339711,101,0.0028331321980909915,0.0,0.0,0.0,events/second,
1743339741,101,0.002830748524479776,0.0,0.0,0.0,events/second,
1743339771,101,0.002828369830977722,0.0,0.0,0.0,events/second,
1743339801,101,0.0028259945394985705,0.0,0.0,0.0,events/second,
1743339831,101,0.0028236229333005593,0.0,0.0,0.0,events/second,
1743339861,101,0.002821255050595488,0.0,0.0,0.0,events/second,
1743339891,101,0.0028188913207543237,0.0,0.0,0.0,events/second,
1743339921,101,0.002816530582643799,0.0,0.0,0.0,events/second,
1743339951,101,0.0028141752943955504,0.0,0.0,0.0,events/second,
1743339982,101,0.0028118239739626516,0.0,0.0,0.0,events/second,
1743340012,101,0.0028094756938459474,0.0,0.0,0.0,events/second,
1743340042,101,0.002807132393948944,0.0,0.0,0.0,events/second,
1743340072,101,0.0028047911014277725,0.0,0.0,0.0,events/second,
1743340102,101,0.0028024528114712695,0.0,0.0,0.0,events/second,
1743340132,101,0.002800117633501807,0.0,0.0,0.0,events/second,
1743340162,101,0.002797789391811356,0.0,0.0,0.0,events/second,
1743340192,101,0.0027954655920615443,0.0,0.0,0.0,events/second,
1743340222,101,0.0027931439365735857,0.0,0.0,0.0,events/second,
1743340252,101,0.0027908271848959172,0.0,0.0,0.0,events/second,
1743340282,101,0.0027885142693765434,0.0,0.0,0.0,events/second,
1743340312,101,0.002786204472792101,0.0,0.0,0.0,events/second,
1743340342,101,0.002783899272925548,0.0,0.0,0.0,events/second,
1743340372,101,0.0027815983490264286,0.0,0.0,0.0,events/second,
1743340402,101,0.0027792999390737496,0.0,0.0,0.0,events/second,
1743340432,101,0.0027770064108226396,0.0,0.0,0.0,events/second,
1743340462,101,0.0027747162185927593,0.0,0.0,0.0,events/second,
1743340492,101,0.002772430628628827,0.0,0.0,0.0,events/second,
1743340522,101,0.00277014858561922,0.0,0.0,0.0,events/second,
1743340552,101,0.002767869060157172,0.0,0.0,0.0,events/second,
1743340582,101,0.002765594295011331,0.0,0.0,0.0,events/second,
