t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,102,5.594862880277756,0.0,0.0,0.0,events/second,
1743304110,102,2.1096683107918515,0.0,0.0,0.0,events/second,
1743304140,102,1.3003488111744574,0.0,0.0,0.0,events/second,
1743304170,102,0.9397260590193072,0.0,0.0,0.0,events/second,
1743304200,102,0.7330622169322473,0.0,0.0,0.0,events/second,
1743304231,102,0.6026815631933455,0.0,0.0,0.0,events/second,
1743304261,102,0.5118438853508115,0.0,0.0,0.0,events/second,
1743304291,102,0.44465664835330093,0.0,0.0,0.0,events/second,
1743304321,102,0.3894469663280018,0.0,0.0,0.0,events/second,
1743304354,102,0.3488607260229563,0.0,0.0,0.0,events/second,
1743304384,102,0.31635966310281344,0.0,0.0,0.0,events/second,
1743304414,102,0.28941713638807803,0.0,0.0,0.0,events/second,
1743304444,102,0.2667028402875888,0.0,0.0,0.0,events/second,
1743304474,102,0.2472909945535836,0.0,0.0,0.0,events/second,
1743304504,102,0.23051870028162644,0.0,0.0,0.0,events/second,
1743304534,102,0.21587740647680106,0.0,0.0,0.0,events/second,
1743304564,102,0.2029814435009116,0.0,0.0,0.0,events/second,
1743304594,102,0.1915365909457469,0.0,0.0,0.0,events/second,
1743304624,102,0.1813169837310958,0.0,0.0,0.0,events/second,
1743304654,102,0.1721335481358629,0.0,0.0,0.0,events/second,
1743304684,102,0.16383520302779123,0.0,0.0,0.0,events/second,
1743304714,102,0.15629800017412118,0.0,0.0,0.0,events/second,
1743304744,102,0.1494257639089959,0.0,0.0,0.0,events/second,
1743304774,102,0.14313149283225035,0.0,0.0,0.0,events/second,
1743304804,102,0.13734635844543075,0.0,0.0,0.0,events/second,
1743304834,102,0.1320103047135145,0.0,0.0,0.0,events/second,
1743304864,102,0.12707333126035952,0.0,0.0,0.0,events/second,
1743304894,102,0.12249259449914,0.0,0.0,0.0,events/second,
1743304925,102,0.11822775236114211,0.0,0.0,0.0,events/second,
1743304955,102,0.11425246576846113,0.0,0.0,0.0,events/second,
1743304985,102,0.11053522094832974,0.0,0.0,0.0,events/second,
1743305015,102,0.10705255553474455,0.0,0.0,0.0,events/second,
1743305045,102,0.10378247405886092,0.0,0.0,0.0,events/second,
1743305075,102,0.10070601002781161,0.0,0.0,0.0,events/second,
1743305105,102,0.09780760951377583,0.0,0.0,0.0,events/second,
1743339378,102,0.002888053393771632,0.0,0.0,0.0,events/second,
1743339410,102,0.002885539876975282,0.0,0.0,0.0,events/second,
1743339441,102,0.0028830710942048914,0.0,0.0,0.0,events/second,
1743339471,102,0.002880623997877596,0.0,0.0,0.0,events/second,
1743339501,102,0.0028781767982059745,0.0,0.0,0.0,events/second,
1743339531,102,0.002875739689836057,0.0,0.0,0.0,events/second,
1743339561,102,0.0028732927984827863,0.0,0.0,0.0,events/second,
1743339591,102,0.0028708608172292437,0.0,0.0,0.0,events/second,
