t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,2,0.10962049106461179,0.0,0.0,0.0,events/second,
1743304110,2,0.04135577924868981,0.0,0.0,0.0,events/second,
1743304140,2,0.02549293336715583,0.0,0.0,0.0,events/second,
1743304170,2,0.018423970573978526,0.0,0.0,0.0,events/second,
1743304200,2,0.014372534072440131,0.0,0.0,0.0,events/second,
1743304231,2,0.011816454180607665,0.0,0.0,0.0,events/second,
1743304261,2,0.010035553769218063,0.0,0.0,0.0,events/second,
1743304291,2,0.008718296326259272,0.0,0.0,0.0,events/second,
1743304321,2,0.007635868643538996,0.0,0.0,0.0,events/second,
1743304354,2,0.006840128525235215,0.0,0.0,0.0,events/second,
1743304384,2,0.006202897543463973,0.0,0.0,0.0,events/second,
1743304414,2,0.005674654053596456,0.0,0.0,0.0,events/second,
1743304444,2,0.005229305006220188,0.0,0.0,0.0,events/second,
1743304474,2,0.0048487031447408055,0.0,0.0,0.0,events/second,
1743304504,2,0.004519852959085889,0.0,0.0,0.0,events/second,
1743304534,2,0.004232783425426323,0.0,0.0,0.0,events/second,
1743304564,2,0.003979933118314448,0.0,0.0,0.0,events/second,
1743304594,2,0.003755535126429252,0.0,0.0,0.0,events/second,
1743304624,2,0.0035551599481010144,0.0,0.0,0.0,events/second,
1743304654,2,0.003375099678843875,0.0,0.0,0.0,events/second,
1743304684,2,0.0032123936934481036,0.0,0.0,0.0,events/second,
1743304714,2,0.0030646108984418163,0.0,0.0,0.0,events/second,
1743304744,2,0.002929865853580999,0.0,0.0,0.0,events/second,
1743304774,2,0.002806452859153883,0.0,0.0,0.0,events/second,
1743304804,2,0.002693022663671504,0.0,0.0,0.0,events/second,
1743304834,2,0.002588397216908669,0.0,0.0,0.0,events/second,
1743304864,2,0.002491597019287736,0.0,0.0,0.0,events/second,
1743304894,2,0.002401781118894638,0.0,0.0,0.0,events/second,
1743304925,2,0.0023181592693412344,0.0,0.0,0.0,events/second,
1743304955,2,0.0022402144836904,0.0,0.0,0.0,events/second,
1743304985,2,0.002167329360507865,0.0,0.0,0.0,events/second,
1743305015,2,0.002099043518061536,0.0,0.0,0.0,events/second,
