t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,12,0.6577778009705357,0.0,0.0,0.0,events/second,
1743304110,29,0.5997275073961343,0.0,0.0,0.0,events/second,
1743304140,29,0.3696698172673399,0.0,0.0,0.0,events/second,
1743304170,29,0.2671613583604063,0.0,0.0,0.0,events/second,
1743304200,29,0.2084101775494668,0.0,0.0,0.0,events/second,
1743304231,29,0.17134431587453672,0.0,0.0,0.0,events/second,
1743304261,29,0.14551964293237044,0.0,0.0,0.0,events/second,
1743304291,29,0.12641834385200504,0.0,0.0,0.0,events/second,
1743304321,29,0.11072249982656465,0.0,0.0,0.0,events/second,
1743304354,29,0.09918379340974563,0.0,0.0,0.0,events/second,
1743304384,29,0.08994355691953877,0.0,0.0,0.0,events/second,
1743304414,29,0.0822838071562193,0.0,0.0,0.0,events/second,
1743304444,29,0.07582604992921779,0.0,0.0,0.0,events/second,
1743304474,29,0.0703071616370689,0.0,0.0,0.0,events/second,
1743304504,29,0.06553870783883624,0.0,0.0,0.0,events/second,
1743304534,29,0.061376091917580235,0.0,0.0,0.0,events/second,
1743304564,29,0.05770967986732371,0.0,0.0,0.0,events/second,
1743304594,29,0.05445583490842204,0.0,0.0,0.0,events/second,
1743304624,29,0.0515503409338503,0.0,0.0,0.0,events/second,
1743304654,29,0.04893941363201055,0.0,0.0,0.0,events/second,
1743304684,29,0.04658013442007492,0.0,0.0,0.0,events/second,
1743304714,29,0.044437244378189855,0.0,0.0,0.0,events/second,
1743304744,29,0.04248340730944388,0.0,0.0,0.0,events/second,
1743304774,29,0.04069388814601354,0.0,0.0,0.0,events/second,
1743304804,29,0.039049126494712164,0.0,0.0,0.0,events/second,
1743304834,29,0.03753202951690879,0.0,0.0,0.0,events/second,
1743304864,29,0.036128412046638324,0.0,0.0,0.0,events/second,
1743304894,29,0.03482606310542511,0.0,0.0,0.0,events/second,
1743304925,29,0.033613530511649406,0.0,0.0,0.0,events/second,
1743304955,29,0.03248331533291883,0.0,0.0,0.0,events/second,
1743304985,29,0.03142646924919042,0.0,0.0,0.0,events/second,
1743305015,29,0.03043630984796584,0.0,0.0,0.0,events/second,
1743305045,29,0.029506595309147027,0.0,0.0,0.0,events/second,
1743305075,29,0.028631924208092217,0.0,0.0,0.0,events/second,
1743305105,29,0.027807880719604564,0.0,0.0,0.0,events/second,
1743339378,29,8.211130399861866E-4,0.0,0.0,0.0,events/second,
1743339410,29,8.203984485187754E-4,0.0,0.0,0.0,events/second,
1743339441,29,8.196965397435008E-4,0.0,0.0,0.0,events/second,
1743339471,29,8.19000794184926E-4,0.0,0.0,0.0,events/second,
1743339501,29,8.183050252105512E-4,0.0,0.0,0.0,events/second,
1743339531,29,8.176121218480436E-4,0.0,0.0,0.0,events/second,
1743339561,29,8.169164375914743E-4,0.0,0.0,0.0,events/second,
1743339591,29,8.162249911641471E-4,0.0,0.0,0.0,events/second,
1743339621,29,8.155343674350056E-4,0.0,0.0,0.0,events/second,
1743339651,29,8.148457076336612E-4,0.0,0.0,0.0,events/second,
1743339681,29,8.141589883812755E-4,0.0,0.0,0.0,events/second,
1743339711,29,8.134736180668241E-4,0.0,0.0,0.0,events/second,
1743339741,29,8.127891961694279E-4,0.0,0.0,0.0,events/second,
1743339771,29,8.121062058079446E-4,0.0,0.0,0.0,events/second,
1743339801,29,8.114241904911682E-4,0.0,0.0,0.0,events/second,
1743339831,29,8.107432210404588E-4,0.0,0.0,0.0,events/second,
1743339861,29,8.100633465105925E-4,0.0,0.0,0.0,events/second,
1743339891,29,8.093846478545014E-4,0.0,0.0,0.0,events/second,
1743339921,29,8.087068147341198E-4,0.0,0.0,0.0,events/second,
1743339951,29,8.080305449761543E-4,0.0,0.0,0.0,events/second,
1743339982,29,8.073554142363867E-4,0.0,0.0,0.0,events/second,
1743340012,29,8.066811510950546E-4,0.0,0.0,0.0,events/second,
1743340042,29,8.060083264386993E-4,0.0,0.0,0.0,events/second,
1743340072,29,8.053360738032019E-4,0.0,0.0,0.0,events/second,
1743340102,29,8.046646784909718E-4,0.0,0.0,0.0,events/second,
1743340132,29,8.039941837111314E-4,0.0,0.0,0.0,events/second,
1743340162,29,8.033256802473527E-4,0.0,0.0,0.0,events/second,
1743340192,29,8.026584524069641E-4,0.0,0.0,0.0,events/second,
1743340222,29,8.019918209484495E-4,0.0,0.0,0.0,events/second,
1743340252,29,8.013266316385249E-4,0.0,0.0,0.0,events/second,
1743340282,29,8.006625238983851E-4,0.0,0.0,0.0,events/second,
1743340312,29,7.999993163128602E-4,0.0,0.0,0.0,events/second,
1743340342,29,7.993374284271874E-4,0.0,0.0,0.0,events/second,
1743340372,29,7.986767685127718E-4,0.0,0.0,0.0,events/second,
1743340402,29,7.980168285752817E-4,0.0,0.0,0.0,events/second,
1743340432,29,7.973582910481867E-4,0.0,0.0,0.0,events/second,
1743340462,29,7.967007105361845E-4,0.0,0.0,0.0,events/second,
1743340492,29,7.96044452978652E-4,0.0,0.0,0.0,events/second,
1743340522,29,7.953892123560626E-4,0.0,0.0,0.0,events/second,
1743340552,29,7.947346928138846E-4,0.0,0.0,0.0,events/second,
1743340582,29,7.940815449494772E-4,0.0,0.0,0.0,events/second,
1743340612,29,7.934293408837851E-4,0.0,0.0,0.0,events/second,
1743340642,29,7.927784479916997E-4,0.0,0.0,0.0,events/second,
1743340672,29,7.921286083970011E-4,0.0,0.0,0.0,events/second,
1743340702,29,7.914796164665351E-4,0.0,0.0,0.0,events/second,
1743340732,29,7.908316841744351E-4,0.0,0.0,0.0,events/second,
1743340762,29,7.901849800498678E-4,0.0,0.0,0.0,events/second,
1743340792,29,7.895391984780711E-4,0.0,0.0,0.0,events/second,
1743340822,29,7.888944516787323E-4,0.0,0.0,0.0,events/second,
1743340852,29,7.882507075276289E-4,0.0,0.0,0.0,events/second,
1743340882,29,7.876077741217791E-4,0.0,0.0,0.0,events/second,
1743340912,29,7.869661694344325E-4,0.0,0.0,0.0,events/second,
1743340942,29,7.863258024855791E-4,0.0,0.0,0.0,events/second,
1743340972,29,7.856862765430888E-4,0.0,0.0,0.0,events/second,
1743341002,29,7.850477667788999E-4,0.0,0.0,0.0,events/second,
1743341032,29,7.844103443470598E-4,0.0,0.0,0.0,events/second,
1743341062,29,7.837740990028703E-4,0.0,0.0,0.0,events/second,
1743341092,29,7.831381433885504E-4,0.0,0.0,0.0,events/second,
1743341122,29,7.825037202426505E-4,0.0,0.0,0.0,events/second,
1743341152,29,7.81870333230493E-4,0.0,0.0,0.0,events/second,
1743341182,29,7.812382181110748E-4,0.0,0.0,0.0,events/second,
1743341212,29,7.806069308455778E-4,0.0,0.0,0.0,events/second,
1743341242,29,7.799764968460062E-4,0.0,0.0,0.0,events/second,
1743341272,29,7.793474548014241E-4,0.0,0.0,0.0,events/second,
1743341302,29,7.787190487674936E-4,0.0,0.0,0.0,events/second,
1743341332,29,7.780915207485474E-4,0.0,0.0,0.0,events/second,
1743341362,29,7.774652747363214E-4,0.0,0.0,0.0,events/second,
1743341392,29,7.768397443742844E-4,0.0,0.0,0.0,events/second,
1743341423,29,7.762157368911667E-4,0.0,0.0,0.0,events/second,
1743341453,29,7.755921796560654E-4,0.0,0.0,0.0,events/second,
1743341483,29,7.749699204614111E-4,0.0,0.0,0.0,events/second,
