t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,12,0.6577382823966099,0.0,0.0,0.0,events/second,
1743304110,29,0.5997340994080281,0.0,0.0,0.0,events/second,
1743304140,29,0.3696622424516471,0.0,0.0,0.0,events/second,
1743304170,29,0.2671627250792526,0.0,0.0,0.0,events/second,
1743304200,29,0.2084110699138082,0.0,0.0,0.0,events/second,
1743304231,29,0.1713449386898917,0.0,0.0,0.0,events/second,
1743304261,29,0.14552007046908766,0.0,0.0,0.0,events/second,
1743304291,29,0.12641860821022677,0.0,0.0,0.0,events/second,
1743304321,29,0.11072276978925043,0.0,0.0,0.0,events/second,
1743304354,29,0.09918401193674796,0.0,0.0,0.0,events/second,
1743304384,29,0.08994371271903473,0.0,0.0,0.0,events/second,
1743304414,29,0.08228395342532457,0.0,0.0,0.0,events/second,
1743304444,29,0.07582617705484508,0.0,0.0,0.0,events/second,
1743304474,29,0.07030726702746347,0.0,0.0,0.0,events/second,
1743304504,29,0.06553880045500118,0.0,0.0,0.0,events/second,
1743304534,29,0.06137616964828405,0.0,0.0,0.0,events/second,
1743304564,29,0.05770975143671371,0.0,0.0,0.0,events/second,
1743304594,29,0.05445589533184384,0.0,0.0,0.0,events/second,
1743304624,29,0.051550400249759626,0.0,0.0,0.0,events/second,
1743304654,29,0.04893946530768324,0.0,0.0,0.0,events/second,
1743304684,29,0.04658018273729821,0.0,0.0,0.0,events/second,
1743304714,29,0.04443728812054895,0.0,0.0,0.0,events/second,
1743304744,29,0.042483446038853935,0.0,0.0,0.0,events/second,
1743304774,29,0.04069392086045783,0.0,0.0,0.0,events/second,
1743304804,29,0.03904915929445089,0.0,0.0,0.0,events/second,
1743304834,29,0.03753205472210385,0.0,0.0,0.0,events/second,
1743304864,29,0.03612844019531381,0.0,0.0,0.0,events/second,
1743304894,29,0.03482608931147026,0.0,0.0,0.0,events/second,
1743304925,29,0.03361355506879506,0.0,0.0,0.0,events/second,
1743304955,29,0.0324833371930576,0.0,0.0,0.0,events/second,
1743304985,29,0.03142649097009956,0.0,0.0,0.0,events/second,
1743305015,29,0.030436329464639752,0.0,0.0,0.0,events/second,
1743305045,29,0.029506614310108526,0.0,0.0,0.0,events/second,
1743305075,29,0.02863194137840164,0.0,0.0,0.0,events/second,
1743305105,29,0.027807897942387954,0.0,0.0,0.0,events/second,
1743339378,29,8.211130388725503E-4,0.0,0.0,0.0,events/second,
1743339410,29,8.203984632215158E-4,0.0,0.0,0.0,events/second,
1743339441,29,8.196965542635441E-4,0.0,0.0,0.0,events/second,
1743339471,29,8.190008086109418E-4,0.0,0.0,0.0,events/second,
1743339501,29,8.183050399999861E-4,0.0,0.0,0.0,events/second,
1743339531,29,8.176121355543854E-4,0.0,0.0,0.0,events/second,
1743339561,29,8.169164522249034E-4,0.0,0.0,0.0,events/second,
1743339591,29,8.162250041325272E-4,0.0,0.0,0.0,events/second,
1743339621,29,8.155343822184914E-4,0.0,0.0,0.0,events/second,
1743339651,29,8.148457219205401E-4,0.0,0.0,0.0,events/second,
1743339681,29,8.141590031172251E-4,0.0,0.0,0.0,events/second,
1743339711,29,8.134736328578393E-4,0.0,0.0,0.0,events/second,
1743339741,29,8.127892108489997E-4,0.0,0.0,0.0,events/second,
1743339771,29,8.121062206152272E-4,0.0,0.0,0.0,events/second,
1743339801,29,8.114242053031056E-4,0.0,0.0,0.0,events/second,
1743339831,29,8.107432317386573E-4,0.0,0.0,0.0,events/second,
1743339861,29,8.100633607117226E-4,0.0,0.0,0.0,events/second,
1743339891,29,8.093846605838405E-4,0.0,0.0,0.0,events/second,
1743339921,29,8.087068253944294E-4,0.0,0.0,0.0,events/second,
