t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1,0.07810326837575624,0.0,0.0,0.0,events/second,
1743304110,8,0.18643105385792733,0.0,0.0,0.0,events/second,
1743304140,8,0.10957748157222139,0.0,0.0,0.0,events/second,
1743304170,8,0.07759110567956991,0.0,0.0,0.0,events/second,
1743304200,8,0.05983339091636549,0.0,0.0,0.0,events/second,
1743304231,8,0.04883836549667936,0.0,0.0,0.0,events/second,
1743304261,8,0.04127078193577627,0.0,0.0,0.0,events/second,
1743304291,8,0.03572175655288286,0.0,0.0,0.0,events/second,
1743304321,8,0.031192513902717895,0.0,0.0,0.0,events/second,
1743304354,8,0.027880178119223095,0.0,0.0,0.0,events/second,
1743304384,8,0.02523810834163095,0.0,0.0,0.0,events/second,
1743304414,8,0.023055118197881978,0.0,0.0,0.0,events/second,
1743304444,8,0.021219593933256557,0.0,0.0,0.0,events/second,
1743304474,8,0.019654496659496933,0.0,0.0,0.0,events/second,
1743304504,8,0.018304861585145216,0.0,0.0,0.0,events/second,
1743304534,8,0.017128694403014347,0.0,0.0,0.0,events/second,
1743304564,8,0.01609427646361806,0.0,0.0,0.0,events/second,
1743304594,8,0.015177456437061232,0.0,0.0,0.0,events/second,
1743304624,8,0.014359754170579376,0.0,0.0,0.0,events/second,
1743304654,8,0.013625714319982957,0.0,0.0,0.0,events/second,
1743304684,8,0.012963049974735283,0.0,0.0,0.0,events/second,
1743304714,8,0.012361676026463934,0.0,0.0,0.0,events/second,
1743304744,8,0.01181378104109917,0.0,0.0,0.0,events/second,
1743304774,8,0.011312319526913096,0.0,0.0,0.0,events/second,
1743304804,8,0.010851724395666038,0.0,0.0,0.0,events/second,
1743304834,8,0.010427130149212982,0.0,0.0,0.0,events/second,
1743304864,8,0.010034517294522666,0.0,0.0,0.0,events/second,
1743304894,8,0.009670414760309146,0.0,0.0,0.0,events/second,
1743304925,8,0.009331583694362235,0.0,0.0,0.0,events/second,
1743304955,8,0.009015894083842227,0.0,0.0,0.0,events/second,
1743304985,8,0.00872082192958324,0.0,0.0,0.0,events/second,
1743305015,8,0.008444473981947762,0.0,0.0,0.0,events/second,
1743305045,8,0.00818509057870624,0.0,0.0,0.0,events/second,
1743305075,8,0.007941146331719056,0.0,0.0,0.0,events/second,
1743305105,8,0.007711396790153468,0.0,0.0,0.0,events/second,
1743339378,8,2.2654516218677368E-4,0.0,0.0,0.0,events/second,
1743339410,8,2.26351674970805E-4,0.0,0.0,0.0,events/second,
1743339441,8,2.2615798548766938E-4,0.0,0.0,0.0,events/second,
1743339471,8,2.2596599660848292E-4,0.0,0.0,0.0,events/second,
1743339501,8,2.257740015250615E-4,0.0,0.0,0.0,events/second,
1743339531,8,2.255827967195331E-4,0.0,0.0,0.0,events/second,
1743339561,8,2.2539082522516482E-4,0.0,0.0,0.0,events/second,
1743339591,8,2.2520002233054933E-4,0.0,0.0,0.0,events/second,
1743339621,8,2.2500944647202455E-4,0.0,0.0,0.0,events/second,
1743339651,8,2.2481941400838654E-4,0.0,0.0,0.0,events/second,
1743339681,8,2.2462991662644367E-4,0.0,0.0,0.0,events/second,
1743339711,8,2.244407912710058E-4,0.0,0.0,0.0,events/second,
1743339741,8,2.2425192752769955E-4,0.0,0.0,0.0,events/second,
1743339771,8,2.2406345900432802E-4,0.0,0.0,0.0,events/second,
1743339801,8,2.2387525951735976E-4,0.0,0.0,0.0,events/second,
1743339831,8,2.2368734675348742E-4,0.0,0.0,0.0,events/second,
1743339861,8,2.2349973955108375E-4,0.0,0.0,0.0,events/second,
