t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,2,0.1561540360251421,0.0,0.0,0.0,events/second,
1743304110,8,0.18641647115540194,0.0,0.0,0.0,events/second,
1743304140,8,0.10957103707352613,0.0,0.0,0.0,events/second,
1743304170,8,0.07758860519545385,0.0,0.0,0.0,events/second,
1743304200,8,0.059831907834265036,0.0,0.0,0.0,events/second,
1743304231,8,0.04883739110803213,0.0,0.0,0.0,events/second,
1743304261,8,0.04127007943095362,0.0,0.0,0.0,events/second,
1743304291,8,0.03572123599836331,0.0,0.0,0.0,events/second,
1743304321,8,0.03119209346246044,0.0,0.0,0.0,events/second,
1743304354,8,0.0278798631007694,0.0,0.0,0.0,events/second,
1743304384,8,0.02523784198281063,0.0,0.0,0.0,events/second,
1743304414,8,0.02305489862807327,0.0,0.0,0.0,events/second,
1743304444,8,0.021219411271073414,0.0,0.0,0.0,events/second,
1743304474,8,0.019654339152073243,0.0,0.0,0.0,events/second,
1743304504,8,0.018304724962205213,0.0,0.0,0.0,events/second,
1743304534,8,0.01712857395903989,0.0,0.0,0.0,events/second,
1743304564,8,0.016094170969603378,0.0,0.0,0.0,events/second,
1743304594,8,0.015177361565871766,0.0,0.0,0.0,events/second,
1743304624,8,0.01435967070543145,0.0,0.0,0.0,events/second,
1743304654,8,0.013625638677840416,0.0,0.0,0.0,events/second,
1743304684,8,0.012962981885015617,0.0,0.0,0.0,events/second,
1743304714,8,0.012361614128754337,0.0,0.0,0.0,events/second,
1743304744,8,0.011813724103914914,0.0,0.0,0.0,events/second,
1743304774,8,0.011312266285838845,0.0,0.0,0.0,events/second,
1743304804,8,0.010851676364550297,0.0,0.0,0.0,events/second,
1743304834,8,0.010427085337019974,0.0,0.0,0.0,events/second,
1743304864,8,0.010034472346021743,0.0,0.0,0.0,events/second,
1743304894,8,0.009670376652313751,0.0,0.0,0.0,events/second,
1743304925,8,0.009331548267716103,0.0,0.0,0.0,events/second,
1743304955,8,0.009015860557413437,0.0,0.0,0.0,events/second,
1743304985,8,0.008720791061788628,0.0,0.0,0.0,events/second,
1743305015,8,0.008444444966358057,0.0,0.0,0.0,events/second,
1743305045,8,0.008185063320755857,0.0,0.0,0.0,events/second,
1743305075,8,0.007941120672741758,0.0,0.0,0.0,events/second,
