t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,8,0.6247950330606777,0.0,0.0,0.0,events/second,
1743304110,69,1.60803130817381,0.0,0.0,0.0,events/second,
1743304140,69,0.9451032853043487,0.0,0.0,0.0,events/second,
1743304170,69,0.6692348927473007,0.0,0.0,0.0,events/second,
1743304200,69,0.5160700469234297,0.0,0.0,0.0,events/second,
1743304231,69,0.42123577165454223,0.0,0.0,0.0,events/second,
1743304261,69,0.35596386208648384,0.0,0.0,0.0,events/second,
1743304291,69,0.3081027731293776,0.0,0.0,0.0,events/second,
1743304321,69,0.26903705341944406,0.0,0.0,0.0,events/second,
1743304354,69,0.2404681670981384,0.0,0.0,0.0,events/second,
1743304384,69,0.2176799022911012,0.0,0.0,0.0,events/second,
1743304414,69,0.19885143789881093,0.0,0.0,0.0,events/second,
1743304444,69,0.18301993969219785,0.0,0.0,0.0,events/second,
1743304474,69,0.16952082758389525,0.0,0.0,0.0,events/second,
1743304504,69,0.15788011620401227,0.0,0.0,0.0,events/second,
1743304534,69,0.14773557877333227,0.0,0.0,0.0,events/second,
1743304564,69,0.138813669176021,0.0,0.0,0.0,events/second,
1743304594,69,0.13090601978142874,0.0,0.0,0.0,events/second,
1743304624,69,0.12385331403171457,0.0,0.0,0.0,events/second,
1743304654,69,0.11752216892633496,0.0,0.0,0.0,events/second,
1743304684,69,0.11180665891387519,0.0,0.0,0.0,events/second,
1743304714,69,0.10661977679284163,0.0,0.0,0.0,events/second,
1743304744,69,0.1018941477174082,0.0,0.0,0.0,events/second,
1743304774,69,0.0975690053354109,0.0,0.0,0.0,events/second,
1743304804,69,0.09359636446717971,0.0,0.0,0.0,events/second,
1743304834,69,0.08993421236507941,0.0,0.0,0.0,events/second,
1743304864,69,0.08654788467458996,0.0,0.0,0.0,events/second,
1743304894,69,0.08340752015213264,0.0,0.0,0.0,events/second,
1743304925,69,0.08048508968239558,0.0,0.0,0.0,events/second,
1743304955,69,0.07776224896971105,0.0,0.0,0.0,events/second,
1743304985,69,0.07521724780206716,0.0,0.0,0.0,events/second,
1743305015,69,0.07283373578140061,0.0,0.0,0.0,events/second,
1743305045,69,0.07059654488661382,0.0,0.0,0.0,events/second,
1743305075,69,0.06849251765606101,0.0,0.0,0.0,events/second,
1743305105,69,0.06651092235175969,0.0,0.0,0.0,events/second,
1743339378,69,0.001953951945997317,0.0,0.0,0.0,events/second,
1743339410,69,0.0019522833003487799,0.0,0.0,0.0,events/second,
1743339441,69,0.001950612730767001,0.0,0.0,0.0,events/second,
1743339471,69,0.0019489568267354418,0.0,0.0,0.0,events/second,
1743339501,69,0.0019473008694610033,0.0,0.0,0.0,events/second,
1743339531,69,0.0019456517278772275,0.0,0.0,0.0,events/second,
1743339561,69,0.0019439959741820504,0.0,0.0,0.0,events/second,
1743339591,69,0.0019423502988496577,0.0,0.0,0.0,events/second,
1743339621,69,0.00194070658121874,0.0,0.0,0.0,events/second,
1743339651,69,0.0019390675496469012,0.0,0.0,0.0,events/second,
1743339681,69,0.0019374331368212016,0.0,0.0,0.0,events/second,
1743339711,69,0.0019358019308378658,0.0,0.0,0.0,events/second,
1743339741,69,0.0019341729807323524,0.0,0.0,0.0,events/second,
1743339771,69,0.0019325474395838038,0.0,0.0,0.0,events/second,
1743339801,69,0.0019309242157512225,0.0,0.0,0.0,events/second,
1743339831,69,0.0019293034661298646,0.0,0.0,0.0,events/second,
1743339861,69,0.0019276853566035678,0.0,0.0,0.0,events/second,
1743339891,69,0.0019260700123370285,0.0,0.0,0.0,events/second,
1743339921,69,0.001924456750419678,0.0,0.0,0.0,events/second,
1743339951,69,0.0019228472211948375,0.0,0.0,0.0,events/second,
1743339982,69,0.001921240378877377,0.0,0.0,0.0,events/second,
1743340012,69,0.0019196356133389994,0.0,0.0,0.0,events/second,
1743340042,69,0.0019180342778687134,0.0,0.0,0.0,events/second,
1743340072,69,0.0019164342950051792,0.0,0.0,0.0,events/second,
1743340102,69,0.0019148363461066042,0.0,0.0,0.0,events/second,
1743340132,69,0.0019132405239493484,0.0,0.0,0.0,events/second,
1743340162,69,0.001911649494135544,0.0,0.0,0.0,events/second,
1743340192,69,0.0019100614798214974,0.0,0.0,0.0,events/second,
1743340222,69,0.0019084748677526142,0.0,0.0,0.0,events/second,
1743340252,69,0.0019068916960155997,0.0,0.0,0.0,events/second,
1743340282,69,0.0019053111053889276,0.0,0.0,0.0,events/second,
1743340312,69,0.0019037326294622156,0.0,0.0,0.0,events/second,
1743340342,69,0.0019021573539951182,0.0,0.0,0.0,events/second,
1743340372,69,0.0019005849676097693,0.0,0.0,0.0,events/second,
1743340402,69,0.0018990142856266192,0.0,0.0,0.0,events/second,
1743340432,69,0.001897446959917061,0.0,0.0,0.0,events/second,
1743340462,69,0.0018958818924775364,0.0,0.0,0.0,events/second,
1743340492,69,0.00189431999665015,0.0,0.0,0.0,events/second,
1743340522,69,0.001892760508557388,0.0,0.0,0.0,events/second,
1743340552,69,0.0018912027055488809,0.0,0.0,0.0,events/second,
1743340582,69,0.001889648233038208,0.0,0.0,0.0,events/second,
1743340612,69,0.0018880959741448525,0.0,0.0,0.0,events/second,
1743340642,69,0.0018865468372772079,0.0,0.0,0.0,events/second,
1743340672,69,0.001885000206427411,0.0,0.0,0.0,events/second,
1743340702,69,0.001883455592944837,0.0,0.0,0.0,events/second,
1743340732,69,0.0018819134666709242,0.0,0.0,0.0,events/second,
1743340762,69,0.0018803743373712826,0.0,0.0,0.0,events/second,
1743340792,69,0.0018788373662166694,0.0,0.0,0.0,events/second,
1743340822,69,0.001877302863972253,0.0,0.0,0.0,events/second,
1743340852,69,0.0018757707146935386,0.0,0.0,0.0,events/second,
1743340882,69,0.0018742405143915705,0.0,0.0,0.0,events/second,
1743340912,69,0.0018727135190749187,0.0,0.0,0.0,events/second,
1743340942,69,0.0018711894371233459,0.0,0.0,0.0,events/second,
1743340972,69,0.0018696673369807263,0.0,0.0,0.0,events/second,
1743341002,69,0.001868147673225585,0.0,0.0,0.0,events/second,
1743341032,69,0.0018666306106039931,0.0,0.0,0.0,events/second,
1743341062,69,0.0018651163518810185,0.0,0.0,0.0,events/second,
1743341092,69,0.0018636022519557904,0.0,0.0,0.0,events/second,
1743341122,69,0.0018620928373933125,0.0,0.0,0.0,events/second,
1743341152,69,0.0018605853570398357,0.0,0.0,0.0,events/second,
1743341182,69,0.001859080868875391,0.0,0.0,0.0,events/second,
1743341212,69,0.0018575784614080814,0.0,0.0,0.0,events/second,
1743341242,69,0.0018560780200115048,0.0,0.0,0.0,events/second,
1743341272,69,0.0018545808987032975,0.0,0.0,0.0,events/second,
1743341302,69,0.0018530852800210814,0.0,0.0,0.0,events/second,
1743341332,69,0.00185159175803704,0.0,0.0,0.0,events/second,
1743341362,69,0.0018501012903258626,0.0,0.0,0.0,events/second,
1743341392,69,0.0018486125018595736,0.0,0.0,0.0,events/second,
1743341423,69,0.0018471273926627453,0.0,0.0,0.0,events/second,
1743341453,69,0.001845643274928988,0.0,0.0,0.0,events/second,
1743341483,69,0.0018441623421484592,0.0,0.0,0.0,events/second,
1743341513,69,0.001842683323602948,0.0,0.0,0.0,events/second,
1743341543,69,0.00184120743542755,0.0,0.0,0.0,events/second,
1743341573,69,0.0018397340633945366,0.0,0.0,0.0,events/second,
1743341603,69,0.0018382627562284013,0.0,0.0,0.0,events/second,
1743341633,69,0.0018367937470035027,0.0,0.0,0.0,events/second,
1743341663,69,0.0018353274656807935,0.0,0.0,0.0,events/second,
1743341693,69,0.0018338622741511056,0.0,0.0,0.0,events/second,
1743341723,69,0.0018323999642946508,0.0,0.0,0.0,events/second,
1743341753,69,0.0018309404160992636,0.0,0.0,0.0,events/second,
1743341783,69,0.0018294836392377834,0.0,0.0,0.0,events/second,
1743341813,69,0.0018280281548012866,0.0,0.0,0.0,events/second,
1743341843,69,0.0018265755050652865,0.0,0.0,0.0,events/second,
1743341873,69,0.001825125097344188,0.0,0.0,0.0,events/second,
1743341903,69,0.0018236767026056165,0.0,0.0,0.0,events/second,
1743341933,69,0.0018222315537881992,0.0,0.0,0.0,events/second,
1743341963,69,0.0018207882650876162,0.0,0.0,0.0,events/second,
1743341993,69,0.0018193466662420133,0.0,0.0,0.0,events/second,
1743342023,69,0.0018179077003873214,0.0,0.0,0.0,events/second,
1743342053,69,0.0018164715997265623,0.0,0.0,0.0,events/second,
1743342083,69,0.0018150359833430272,0.0,0.0,0.0,events/second,
1743342113,69,0.001813601011800113,0.0,0.0,0.0,events/second,
1743342143,69,0.0018121704754696442,0.0,0.0,0.0,events/second,
1743342173,69,0.0018107426491864114,0.0,0.0,0.0,events/second,
1743342203,69,0.0018093179294257824,0.0,0.0,0.0,events/second,
1743342233,69,0.0018078950342091899,0.0,0.0,0.0,events/second,
1743342263,69,0.0018064741292102596,0.0,0.0,0.0,events/second,
1743342293,69,0.0018050559743221521,0.0,0.0,0.0,events/second,
1743342323,69,0.0018036400485762299,0.0,0.0,0.0,events/second,
1743342353,69,0.0018022254754328359,0.0,0.0,0.0,events/second,
1743342383,69,0.0018008137676492166,0.0,0.0,0.0,events/second,
1743342413,69,0.0017994038259102505,0.0,0.0,0.0,events/second,
1743342443,69,0.0017979968779071893,0.0,0.0,0.0,events/second,
1743342473,69,0.0017965919538433222,0.0,0.0,0.0,events/second,
1743342503,69,0.0017951891791826056,0.0,0.0,0.0,events/second,
1743342533,69,0.0017937883296320469,0.0,0.0,0.0,events/second,
1743342563,69,0.0017923895592942783,0.0,0.0,0.0,events/second,
1743342593,69,0.0017909927384058243,0.0,0.0,0.0,events/second,
1743342623,69,0.0017895986591792516,0.0,0.0,0.0,events/second,
1743342653,69,0.0017882068719518704,0.0,0.0,0.0,events/second,
1743342683,69,0.0017868171395602746,0.0,0.0,0.0,events/second,
1743342713,69,0.0017854287754330207,0.0,0.0,0.0,events/second,
1743342743,69,0.0017840427798635646,0.0,0.0,0.0,events/second,
1743342773,69,0.0017826590239624482,0.0,0.0,0.0,events/second,
1743342803,69,0.001781278132954055,0.0,0.0,0.0,events/second,
1743342833,69,0.0017798992148307957,0.0,0.0,0.0,events/second,
1743342863,69,0.0017785214111156336,0.0,0.0,0.0,events/second,
1743342893,69,0.0017771466269542956,0.0,0.0,0.0,events/second,
1743342924,69,0.0017757737626387284,0.0,0.0,0.0,events/second,
1743342954,69,0.0017744034285011772,0.0,0.0,0.0,events/second,
1743342984,69,0.0017730350843326067,0.0,0.0,0.0,events/second,
1743343014,69,0.001771668791719508,0.0,0.0,0.0,events/second,
1743343044,69,0.0017703040659751844,0.0,0.0,0.0,events/second,
1743343074,69,0.0017689422895007998,0.0,0.0,0.0,events/second,
1743343104,69,0.0017675822926246725,0.0,0.0,0.0,events/second,
1743343134,69,0.0017662239549455312,0.0,0.0,0.0,events/second,
1743343164,69,0.0017648683936282992,0.0,0.0,0.0,events/second,
1743343194,69,0.0017635142752339746,0.0,0.0,0.0,events/second,
1743343224,69,0.001762162068154757,0.0,0.0,0.0,events/second,
1743343254,69,0.001760811759345239,0.0,0.0,0.0,events/second,
1743343284,69,0.001759464394138688,0.0,0.0,0.0,events/second,
1743343314,69,0.0017581188480842087,0.0,0.0,0.0,events/second,
1743343344,69,0.00175677527758971,0.0,0.0,0.0,events/second,
1743343374,69,0.0017554339662832592,0.0,0.0,0.0,events/second,
1743343404,69,0.0017540947612900031,0.0,0.0,0.0,events/second,
1743343434,69,0.0017527575774908344,0.0,0.0,0.0,events/second,
1743343464,69,0.0017514223757003232,0.0,0.0,0.0,events/second,
1743343494,69,0.0017500887845981054,0.0,0.0,0.0,events/second,
