t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,7,0.5466954703328127,0.0,0.0,0.0,events/second,
1743304110,69,1.6081446775889352,0.0,0.0,0.0,events/second,
1743304140,69,0.945135112200893,0.0,0.0,0.0,events/second,
1743304170,69,0.6692547017565209,0.0,0.0,0.0,events/second,
1743304200,69,0.5160819493707677,0.0,0.0,0.0,events/second,
1743304231,69,0.42124373704198176,0.0,0.0,0.0,events/second,
1743304261,69,0.35596947764373854,0.0,0.0,0.0,events/second,
1743304291,69,0.3081070472568047,0.0,0.0,0.0,events/second,
1743304321,69,0.26864323980165294,0.0,0.0,0.0,events/second,
1743304354,69,0.24047078768590652,0.0,0.0,0.0,events/second,
1743304384,69,0.21768201030547965,0.0,0.0,0.0,events/second,
1743304414,69,0.1988531227416283,0.0,0.0,0.0,events/second,
1743304444,69,0.18302145601907677,0.0,0.0,0.0,events/second,
1743304474,69,0.169522121522435,0.0,0.0,0.0,events/second,
1743304504,69,0.15788123998315037,0.0,0.0,0.0,events/second,
1743304534,69,0.147736556006323,0.0,0.0,0.0,events/second,
1743304564,69,0.13881453760955983,0.0,0.0,0.0,events/second,
1743304594,69,0.13090678523598193,0.0,0.0,0.0,events/second,
1743304624,69,0.12385401007750323,0.0,0.0,0.0,events/second,
1743304654,69,0.11752279172640692,0.0,0.0,0.0,events/second,
1743304684,69,0.11180722431202411,0.0,0.0,0.0,events/second,
1743304714,69,0.10662029213454757,0.0,0.0,0.0,events/second,
1743304744,69,0.10189461313772352,0.0,0.0,0.0,events/second,
1743304774,69,0.09756942910234892,0.0,0.0,0.0,events/second,
1743304804,69,0.09359675850366865,0.0,0.0,0.0,events/second,
1743304834,69,0.08993457278208038,0.0,0.0,0.0,events/second,
1743304864,69,0.08654822207571615,0.0,0.0,0.0,events/second,
1743304894,69,0.0834078338854783,0.0,0.0,0.0,events/second,
1743304925,69,0.08048538200346438,0.0,0.0,0.0,events/second,
1743304955,69,0.07776252148732866,0.0,0.0,0.0,events/second,
1743304985,69,0.07521750368380095,0.0,0.0,0.0,events/second,
1743305015,69,0.0728339752187523,0.0,0.0,0.0,events/second,
1743305045,69,0.07059676989110102,0.0,0.0,0.0,events/second,
1743305075,69,0.06849272925815661,0.0,0.0,0.0,events/second,
1743305105,69,0.06651112301537045,0.0,0.0,0.0,events/second,
1743339378,69,0.001953952058056283,0.0,0.0,0.0,events/second,
1743339410,69,0.001952283472364913,0.0,0.0,0.0,events/second,
1743339441,69,0.0019506129026157014,0.0,0.0,0.0,events/second,
1743339471,69,0.0019489569982869914,0.0,0.0,0.0,events/second,
1743339501,69,0.0019473010410399007,0.0,0.0,0.0,events/second,
1743339531,69,0.0019456518990284746,0.0,0.0,0.0,events/second,
1743339561,69,0.0019439961454145562,0.0,0.0,0.0,events/second,
1743339591,69,0.0019423504697541009,0.0,0.0,0.0,events/second,
1743339621,69,0.0019407067500218378,0.0,0.0,0.0,events/second,
1743339651,69,0.001939067718737164,0.0,0.0,0.0,events/second,
1743339681,69,0.0019374333069375937,0.0,0.0,0.0,events/second,
1743339711,69,0.0019358021008797279,0.0,0.0,0.0,events/second,
1743339741,69,0.0019341731503634584,0.0,0.0,0.0,events/second,
1743339771,69,0.0019325476088649504,0.0,0.0,0.0,events/second,
1743339801,69,0.001930924384245584,0.0,0.0,0.0,events/second,
1743339831,69,0.001929303627247707,0.0,0.0,0.0,events/second,
1743339861,69,0.0019276855241992525,0.0,0.0,0.0,events/second,
1743339891,69,0.0019260701761465088,0.0,0.0,0.0,events/second,
1743339921,69,0.0019244569171592244,0.0,0.0,0.0,events/second,
1743339951,69,0.0019228473879128,0.0,0.0,0.0,events/second,
1743339982,69,0.0019212405453703123,0.0,0.0,0.0,events/second,
1743340012,69,0.0019196357774123427,0.0,0.0,0.0,events/second,
1743340042,69,0.0019180344440197041,0.0,0.0,0.0,events/second,
1743340072,69,0.0019164344606235923,0.0,0.0,0.0,events/second,
1743340102,69,0.0019148365087494758,0.0,0.0,0.0,events/second,
1743340132,69,0.0019132406876846406,0.0,0.0,0.0,events/second,
1743340162,69,0.0019116496579322914,0.0,0.0,0.0,events/second,
1743340192,69,0.0019100616446257855,0.0,0.0,0.0,events/second,
1743340222,69,0.001908475029680843,0.0,0.0,0.0,events/second,
1743340252,69,0.0019068918557254195,0.0,0.0,0.0,events/second,
1743340282,69,0.0019053112682170313,0.0,0.0,0.0,events/second,
1743340312,69,0.0019037327914008472,0.0,0.0,0.0,events/second,
1743340342,69,0.0019021575172127757,0.0,0.0,0.0,events/second,
1743340372,69,0.0019005851305943422,0.0,0.0,0.0,events/second,
1743340402,69,0.0018990144449917564,0.0,0.0,0.0,events/second,
1743340432,69,0.00189744712238475,0.0,0.0,0.0,events/second,
1743340462,69,0.001895882051687222,0.0,0.0,0.0,events/second,
1743340492,69,0.0018943201587024062,0.0,0.0,0.0,events/second,
1743340522,69,0.001892760670213135,0.0,0.0,0.0,events/second,
1743340552,69,0.0018912028653939443,0.0,0.0,0.0,events/second,
1743340582,69,0.0018896483941679442,0.0,0.0,0.0,events/second,
1743340612,69,0.0018880961349634772,0.0,0.0,0.0,events/second,
1743340642,69,0.0018865469978836262,0.0,0.0,0.0,events/second,
1743340672,69,0.0018850003663637813,0.0,0.0,0.0,events/second,
1743340702,69,0.0018834557530253554,0.0,0.0,0.0,events/second,
1743340732,69,0.0018819136251600277,0.0,0.0,0.0,events/second,
1743340762,69,0.0018803744969028376,0.0,0.0,0.0,events/second,
1743340792,69,0.0018788375255028844,0.0,0.0,0.0,events/second,
1743340822,69,0.001877303023846254,0.0,0.0,0.0,events/second,
1743340852,69,0.001875770872353654,0.0,0.0,0.0,events/second,
1743340882,69,0.0018742406675639552,0.0,0.0,0.0,events/second,
1743340912,69,0.0018727136772838159,0.0,0.0,0.0,events/second,
1743340942,69,0.001871189594729775,0.0,0.0,0.0,events/second,
1743340972,69,0.0018696674936013243,0.0,0.0,0.0,events/second,
1743341002,69,0.00186814782739654,0.0,0.0,0.0,events/second,
1743341032,69,0.0018666307650195284,0.0,0.0,0.0,events/second,
1743341062,69,0.0018651165088643417,0.0,0.0,0.0,events/second,
1743341092,69,0.0018636023884452254,0.0,0.0,0.0,events/second,
1743341122,69,0.0018620929937474765,0.0,0.0,0.0,events/second,
1743341152,69,0.0018605855106574956,0.0,0.0,0.0,events/second,
1743341182,69,0.0018590810235270113,0.0,0.0,0.0,events/second,
1743341212,69,0.0018575786174451247,0.0,0.0,0.0,events/second,
1743341242,69,0.001856078175312274,0.0,0.0,0.0,events/second,
1743341272,69,0.0018545810538832383,0.0,0.0,0.0,events/second,
1743341302,69,0.0018530854327362017,0.0,0.0,0.0,events/second,
1743341332,69,0.001851591912717158,0.0,0.0,0.0,events/second,
1743341362,69,0.001850101443214282,0.0,0.0,0.0,events/second,
1743341392,69,0.001848612649574087,0.0,0.0,0.0,events/second,
1743341423,69,0.001847127546587976,0.0,0.0,0.0,events/second,
1743341453,69,0.0018456434203871779,0.0,0.0,0.0,events/second,
1743341483,69,0.0018441624954862689,0.0,0.0,0.0,events/second,
1743341513,69,0.0018426834768179268,0.0,0.0,0.0,events/second,
1743341543,69,0.0018412075868937826,0.0,0.0,0.0,events/second,
1743341573,69,0.0018397342161930383,0.0,0.0,0.0,events/second,
1743341603,69,0.0018382629078471978,0.0,0.0,0.0,events/second,
1743341633,69,0.0018367938992993119,0.0,0.0,0.0,events/second,
1743341663,69,0.0018353276177579582,0.0,0.0,0.0,events/second,
1743341693,69,0.0018338624237483924,0.0,0.0,0.0,events/second,
1743341723,69,0.0018324001147532224,0.0,0.0,0.0,events/second,
1743341753,69,0.001830940566595176,0.0,0.0,0.0,events/second,
1743341783,69,0.0018294837903771427,0.0,0.0,0.0,events/second,
1743341813,69,0.0018280283045330888,0.0,0.0,0.0,events/second,
1743341843,69,0.0018265756565513695,0.0,0.0,0.0,events/second,
1743341873,69,0.0018251252467890735,0.0,0.0,0.0,events/second,
1743341903,69,0.001823676850844582,0.0,0.0,0.0,events/second,
1743341933,69,0.0018222317036739508,0.0,0.0,0.0,events/second,
1743341963,69,0.0018207884147023957,0.0,0.0,0.0,events/second,
1743341993,69,0.0018193468130870867,0.0,0.0,0.0,events/second,
1743342023,69,0.0018179078495721877,0.0,0.0,0.0,events/second,
1743342053,69,0.001816471748742765,0.0,0.0,0.0,events/second,
1743342083,69,0.0018150361320044177,0.0,0.0,0.0,events/second,
1743342113,69,0.0018136011595067329,0.0,0.0,0.0,events/second,
1743342143,69,0.0018121706036441116,0.0,0.0,0.0,events/second,
1743342173,69,0.0018107427917187044,0.0,0.0,0.0,events/second,
1743342203,69,0.0018093180781293136,0.0,0.0,0.0,events/second,
1743342233,69,0.0018078951814852165,0.0,0.0,0.0,events/second,
1743342263,69,0.001806474276543375,0.0,0.0,0.0,events/second,
1743342293,69,0.001805056122288172,0.0,0.0,0.0,events/second,
1743342323,69,0.0018036401954804244,0.0,0.0,0.0,events/second,
1743342353,69,0.00180222562221025,0.0,0.0,0.0,events/second,
1743342383,69,0.001800813914088678,0.0,0.0,0.0,events/second,
1743342413,69,0.0017994039698164543,0.0,0.0,0.0,events/second,
1743342443,69,0.0017979970238560818,0.0,0.0,0.0,events/second,
1743342473,69,0.0017965920996624557,0.0,0.0,0.0,events/second,
1743342503,69,0.0017951893247367527,0.0,0.0,0.0,events/second,
1743342533,69,0.0017937884741057366,0.0,0.0,0.0,events/second,
1743342563,69,0.0017923897032820013,0.0,0.0,0.0,events/second,
1743342593,69,0.0017909928823505157,0.0,0.0,0.0,events/second,
1743342623,69,0.0017895988035961732,0.0,0.0,0.0,events/second,
1743342653,69,0.001788207016334258,0.0,0.0,0.0,events/second,
1743342683,69,0.0017868172837553482,0.0,0.0,0.0,events/second,
1743342713,69,0.0017854289068193932,0.0,0.0,0.0,events/second,
1743342743,69,0.0017840429234682118,0.0,0.0,0.0,events/second,
1743342773,69,0.0017826591674963992,0.0,0.0,0.0,events/second,
1743342803,69,0.0017812782762519266,0.0,0.0,0.0,events/second,
1743342833,69,0.0017798993578472069,0.0,0.0,0.0,events/second,
1743342863,69,0.0017785215516002485,0.0,0.0,0.0,events/second,
1743342893,69,0.001777146769519549,0.0,0.0,0.0,events/second,
1743342924,69,0.001775773905088913,0.0,0.0,0.0,events/second,
1743342954,69,0.0017744035705992652,0.0,0.0,0.0,events/second,
1743342984,69,0.0017730352262845157,0.0,0.0,0.0,events/second,
1743343014,69,0.0017716689334481774,0.0,0.0,0.0,events/second,
1743343044,69,0.0017703042005454196,0.0,0.0,0.0,events/second,
1743343074,69,0.0017689424308434643,0.0,0.0,0.0,events/second,
1743343104,69,0.0017675824328308944,0.0,0.0,0.0,events/second,
1743343134,69,0.0017662240937246962,0.0,0.0,0.0,events/second,
1743343164,69,0.0017648685343206855,0.0,0.0,0.0,events/second,
1743343194,69,0.0017635144157105477,0.0,0.0,0.0,events/second,
1743343224,69,0.001762162206795874,0.0,0.0,0.0,events/second,
1743343254,69,0.001760811896938186,0.0,0.0,0.0,events/second,
1743343284,69,0.0017594645339707976,0.0,0.0,0.0,events/second,
1743343314,69,0.0017581189876756495,0.0,0.0,0.0,events/second,
1743343344,69,0.0017567753960662951,0.0,0.0,0.0,events/second,
1743343374,69,0.0017554341054665402,0.0,0.0,0.0,events/second,
1743343404,69,0.0017540949012955363,0.0,0.0,0.0,events/second,
1743343434,69,0.0017527577162633897,0.0,0.0,0.0,events/second,
1743343464,69,0.0017514225142304133,0.0,0.0,0.0,events/second,
1743343494,69,0.0017500889207555902,0.0,0.0,0.0,events/second,
1743343524,69,0.0017487579570543738,0.0,0.0,0.0,events/second,
1743343554,69,0.0017474284731298488,0.0,0.0,0.0,events/second,
1743343584,69,0.0017461010383740402,0.0,0.0,0.0,events/second,
1743343614,69,0.0017447758171373017,0.0,0.0,0.0,events/second,
1743343644,69,0.0017434525171762974,0.0,0.0,0.0,events/second,
1743343674,69,0.0017421309186712464,0.0,0.0,0.0,events/second,
1743343704,69,0.0017408119298106598,0.0,0.0,0.0,events/second,
1743343734,69,0.001739494844295573,0.0,0.0,0.0,events/second,
1743343764,69,0.0017381794455010302,0.0,0.0,0.0,events/second,
1743343794,69,0.0017368662830511122,0.0,0.0,0.0,events/second,
1743343824,69,0.0017355549340302208,0.0,0.0,0.0,events/second,
1743343854,69,0.0017342456226590404,0.0,0.0,0.0,events/second,
1743343884,69,0.001732938516054532,0.0,0.0,0.0,events/second,
1743343914,69,0.001731632634101089,0.0,0.0,0.0,events/second,
1743343944,69,0.001730329347322187,0.0,0.0,0.0,events/second,
1743343974,69,0.001729027288866666,0.0,0.0,0.0,events/second,
1743344004,69,0.001727727764125343,0.0,0.0,0.0,events/second,
1743344034,69,0.001726429767335754,0.0,0.0,0.0,events/second,
1743344064,69,0.0017251334624833843,0.0,0.0,0.0,events/second,
1743344094,69,0.001723839962802901,0.0,0.0,0.0,events/second,
1743344124,69,0.001722548353294844,0.0,0.0,0.0,events/second,
1743344154,69,0.0017212588564707724,0.0,0.0,0.0,events/second,
1743344184,69,0.0017199710309290532,0.0,0.0,0.0,events/second,
1743344214,69,0.0017186847849693656,0.0,0.0,0.0,events/second,
1743344244,69,0.001717401066678818,0.0,0.0,0.0,events/second,
1743344274,69,0.0017161192519261897,0.0,0.0,0.0,events/second,
1743344304,69,0.0017148392118559656,0.0,0.0,0.0,events/second,
1743344334,69,0.0017135611693484547,0.0,0.0,0.0,events/second,
