t,value
1743304080,0.0
1743304110,0.9808259587020649
1743304140,1.0
1743304170,1.0
1743304200,1.0
1743304231,1.0
1743304261,1.0
1743304291,1.0
1743304321,1.0
1743304354,1.0
1743304384,1.0
1743304414,1.0
1743304444,1.0
1743304474,1.0
1743304504,1.0
1743304534,1.0
1743304564,1.0
1743304594,1.0
1743304624,1.0
1743304654,1.0
1743304684,1.0
1743304714,1.0
1743304744,1.0
1743304774,1.0
1743304804,1.0
1743304834,1.0
1743304864,1.0
1743304894,1.0
1743304925,1.0
1743304955,1.0
1743304985,0.9696428571428571
1743305015,1.0
1743305045,1.0
1743305075,1.0
1743305105,1.0
1743339378,0.0
1743339410,1.0
1743339441,1.0
1743339471,1.0
1743339501,1.0
1743339531,1.0
1743339561,1.0
1743339591,1.0
1743339621,1.0
1743339651,1.0
1743339681,1.0
1743339711,1.0
1743339741,1.0
1743339771,1.0
1743339801,1.0
1743339831,1.0
1743339861,1.0
1743339891,1.0
1743339921,1.0
1743339951,1.0
1743339982,1.0
1743340012,1.0
1743340042,1.0
1743340072,1.0
1743340102,1.0
1743340132,1.0
1743340162,1.0
1743340192,1.0
1743340222,1.0
1743340252,1.0
1743340282,1.0
1743340312,1.0
1743340342,1.0
1743340372,1.0
1743340402,1.0
1743340432,1.0
1743340462,1.0
1743340492,1.0
1743340522,1.0
1743340552,1.0
1743340582,1.0
1743340612,1.0
1743340642,1.0
1743340672,1.0
1743340702,1.0
1743340732,1.0
1743340762,1.0
1743340792,1.0
1743340822,1.0
1743340852,1.0
1743340882,1.0
1743340912,1.0
1743340942,1.0
1743340972,1.0
1743341002,1.0
1743341032,1.0
1743341062,1.0
1743341092,1.0
1743341122,1.0
1743341152,1.0
1743341182,1.0
1743341212,1.0
1743341242,1.0
1743341272,1.0
1743341302,1.0
1743341332,1.0
1743341362,1.0
1743341392,1.0
1743341423,1.0
1743341453,1.0
1743341483,1.0
1743341513,1.0
1743341543,1.0
1743341573,1.0
1743341603,1.0
1743341633,1.0
1743341663,1.0
1743341693,1.0
1743341723,1.0
1743341753,1.0
1743341783,1.0
1743341813,1.0
1743341843,1.0
1743341873,1.0
1743341903,1.0
1743341933,1.0
1743341963,1.0
1743341993,1.0
1743342023,1.0
1743342053,1.0
1743342083,1.0
1743342113,1.0
1743342143,1.0
1743342173,1.0
1743342203,1.0
1743342233,1.0
1743342263,1.0
1743342293,1.0
1743342323,1.0
1743342353,1.0
1743342383,1.0
1743342413,1.0
1743342443,1.0
1743342473,1.0
1743342503,1.0
1743342533,1.0
1743342563,1.0
1743342593,1.0
1743342623,1.0
1743342653,1.0
1743342683,1.0
1743342713,1.0
1743342743,1.0
1743342773,1.0
1743342803,1.0
1743342833,1.0
1743342863,1.0
