t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,1440,111.96082727015563,0.0,0.0,0.0,events/second,
1743304110,2105,48.993395543649655,0.0,0.0,0.0,events/second,
1743304140,2411,32.999223472565824,0.0,0.0,0.0,events/second,
1743304170,2441,23.66317156420191,0.0,0.0,0.0,events/second,
1743304200,2747,20.537399462700957,0.0,0.0,0.0,events/second,
1743304231,2767,16.88668430584083,0.0,0.0,0.0,events/second,
1743304261,3073,15.848936547755677,0.0,0.0,0.0,events/second,
1743304291,3103,13.852406520059093,0.0,0.0,0.0,events/second,
1743304321,3409,13.269588157323627,0.0,0.0,0.0,events/second,
1743304354,3439,11.982852888047882,0.0,0.0,0.0,events/second,
1743304384,3745,11.812672014032291,0.0,0.0,0.0,events/second,
1743304414,3775,10.877514688662306,0.0,0.0,0.0,events/second,
1743304444,4081,10.823176120906245,0.0,0.0,0.0,events/second,
1743304474,4111,10.098683063339502,0.0,0.0,0.0,events/second,
1743304504,4417,10.105386668470583,0.0,0.0,0.0,events/second,
1743304534,4447,9.520366763371335,0.0,0.0,0.0,events/second,
1743304564,4753,9.561026422392372,0.0,0.0,0.0,events/second,
1743304594,4783,9.073337605942655,0.0,0.0,0.0,events/second,
1743304624,5089,9.133760034986109,0.0,0.0,0.0,events/second,
1743304654,5119,8.717993222024415,0.0,0.0,0.0,events/second,
1743304684,5415,8.773636829971842,0.0,0.0,0.0,events/second,
1743304714,5445,8.413000662859009,0.0,0.0,0.0,events/second,
1743304744,5751,8.491988929192933,0.0,0.0,0.0,events/second,
1743304774,5781,8.173970707966703,0.0,0.0,0.0,events/second,
1743304804,6087,8.256231363154825,0.0,0.0,0.0,events/second,
1743304834,6117,7.972310444682383,0.0,0.0,0.0,events/second,
1743304864,6423,8.055942116642873,0.0,0.0,0.0,events/second,
1743304894,6453,7.7999152634031255,0.0,0.0,0.0,events/second,
1743304925,6759,7.883550734268247,0.0,0.0,0.0,events/second,
1743304955,6789,7.650670873670622,0.0,0.0,0.0,events/second,
1743304985,7332,7.992187322524145,0.0,0.0,0.0,events/second,
1743305015,7362,7.770607086936916,0.0,0.0,0.0,events/second,
1743305045,7685,7.86239063560543,0.0,0.0,0.0,events/second,
1743305075,7715,7.657853642428208,0.0,0.0,0.0,events/second,
1743305105,8038,7.747643880771602,0.0,0.0,0.0,events/second,
1743339378,8654,0.24506483097283738,0.0,0.0,0.0,events/second,
1743339410,15451,0.43716933225086646,0.0,0.0,0.0,events/second,
1743339441,27255,0.7704908712841383,0.0,0.0,0.0,events/second,
1743339471,32301,0.9123646374276947,0.0,0.0,0.0,events/second,
1743339501,40157,1.133299185310648,0.0,0.0,0.0,events/second,
1743339531,68819,1.9405450099639727,0.0,0.0,0.0,events/second,
1743339561,85512,2.409199057785405,0.0,0.0,0.0,events/second,
1743339591,91578,2.57791724227773,0.0,0.0,0.0,events/second,
1743339621,106089,2.983874096302341,0.0,0.0,0.0,events/second,
1743339651,128361,3.6072504040402076,0.0,0.0,0.0,events/second,
1743339681,146587,4.115972285497471,0.0,0.0,0.0,events/second,
1743339711,165627,4.646675044827612,0.0,0.0,0.0,events/second,
1743339741,177489,4.97527416115417,0.0,0.0,0.0,events/second,
1743339771,177812,4.980139336704525,0.0,0.0,0.0,events/second,
1743339801,177842,4.976795854756784,0.0,0.0,0.0,events/second,
1743339831,178155,4.9813702045387185,0.0,0.0,0.0,events/second,
1743339861,178185,4.9780305119168675,0.0,0.0,0.0,events/second,
1743339891,178508,4.98287528096711,0.0,0.0,0.0,events/second,
1743339921,178538,4.979538404961984,0.0,0.0,0.0,events/second,
1743339951,178861,4.984374889211594,0.0,0.0,0.0,events/second,
1743339982,178891,4.981044987753508,0.0,0.0,0.0,events/second,
1743340012,179214,4.985870544291123,0.0,0.0,0.0,events/second,
1743340042,179244,4.982545338010451,0.0,0.0,0.0,events/second,
1743340072,179567,4.98736013215796,0.0,0.0,0.0,events/second,
1743340102,179597,4.984034130809568,0.0,0.0,0.0,events/second,
1743340132,179920,4.988836626103754,0.0,0.0,0.0,events/second,
1743340162,179950,4.98551912478858,0.0,0.0,0.0,events/second,
1743340192,180273,4.990318938009641,0.0,0.0,0.0,events/second,
1743340222,180303,4.98700344404405,0.0,0.0,0.0,events/second,
1743340252,180626,4.991792929780675,0.0,0.0,0.0,events/second,
1743340282,180656,4.988483735727225,0.0,0.0,0.0,events/second,
1743340312,180979,4.993262632603607,0.0,0.0,0.0,events/second,
1743340342,181009,4.989957914468207,0.0,0.0,0.0,events/second,
1743340372,181332,4.994729984169339,0.0,0.0,0.0,events/second,
1743340402,181362,4.991427869275456,0.0,0.0,0.0,events/second,
1743340432,181685,4.996190538511699,0.0,0.0,0.0,events/second,
1743340462,181715,4.992893795029486,0.0,0.0,0.0,events/second,
1743340492,182038,4.997648123822566,0.0,0.0,0.0,events/second,
1743340522,182068,4.994356781777025,0.0,0.0,0.0,events/second,
1743340552,182391,4.999099274760341,0.0,0.0,0.0,events/second,
1743340582,182421,4.995811864912513,0.0,0.0,0.0,events/second,
1743340612,182744,5.000546506943216,0.0,0.0,0.0,events/second,
1743340642,182774,4.99726392173452,0.0,0.0,0.0,events/second,
1743340672,183097,5.001991039013052,0.0,0.0,0.0,events/second,
1743340702,183127,4.998711189456875,0.0,0.0,0.0,events/second,
1743340732,183450,5.003427892551356,0.0,0.0,0.0,events/second,
1743340762,183480,5.000153388534764,0.0,0.0,0.0,events/second,
1743340792,183803,5.004861517966039,0.0,0.0,0.0,events/second,
1743340822,183833,5.001590127507,0.0,0.0,0.0,events/second,
1743340852,184156,5.006288874756164,0.0,0.0,0.0,events/second,
1743340882,184186,5.003019761758427,0.0,0.0,0.0,events/second,
1743340912,184509,5.007710150112984,0.0,0.0,0.0,events/second,
1743340942,184539,5.004448258990267,0.0,0.0,0.0,events/second,
1743340972,184862,5.009129642784079,0.0,0.0,0.0,events/second,
1743341002,184892,5.005870455857904,0.0,0.0,0.0,events/second,
1743341032,185215,5.010543342015858,0.0,0.0,0.0,events/second,
1743341062,185245,5.007289598858401,0.0,0.0,0.0,events/second,
1743341092,185568,5.011948434724186,0.0,0.0,0.0,events/second,
1743341122,185588,5.008428839225725,0.0,0.0,0.0,events/second,
1743341152,185911,5.013083880897375,0.0,0.0,0.0,events/second,
1743341182,185941,5.009838556864216,0.0,0.0,0.0,events/second,
1743341212,186264,5.014485503114423,0.0,0.0,0.0,events/second,
1743341242,186294,5.011242092370885,0.0,0.0,0.0,events/second,
1743341272,186617,5.015881583598921,0.0,0.0,0.0,events/second,
1743341302,186647,5.012642221763442,0.0,0.0,0.0,events/second,
1743341332,186970,5.017269816824433,0.0,0.0,0.0,events/second,
1743341362,187000,5.014035475593351,0.0,0.0,0.0,events/second,
1743341392,187323,5.018654270327987,0.0,0.0,0.0,events/second,
1743341423,187353,5.0154255949245785,0.0,0.0,0.0,events/second,
1743341453,187676,5.020035508344408,0.0,0.0,0.0,events/second,
1743341483,187706,5.016809345109221,0.0,0.0,0.0,events/second,
1743341513,188029,5.021411750627339,0.0,0.0,0.0,events/second,
1743341543,188059,5.018190400287742,0.0,0.0,0.0,events/second,
1743341573,188382,5.022786830931949,0.0,0.0,0.0,events/second,
1743341603,188412,5.019569158469228,0.0,0.0,0.0,events/second,
1743341633,188735,5.024156195201978,0.0,0.0,0.0,events/second,
1743341663,188765,5.020943470040403,0.0,0.0,0.0,events/second,
1743341693,189088,5.025519700813148,0.0,0.0,0.0,events/second,
1743341723,189118,5.0223090858321,0.0,0.0,0.0,events/second,
1743341753,189441,5.026879625248883,0.0,0.0,0.0,events/second,
1743341783,189471,5.023675453037035,0.0,0.0,0.0,events/second,
1743341813,189794,5.028236021040603,0.0,0.0,0.0,events/second,
1743341843,189824,5.0250345116029616,0.0,0.0,0.0,events/second,
1743341873,190147,5.029588024973032,0.0,0.0,0.0,events/second,
1743341903,190177,5.026389515946261,0.0,0.0,0.0,events/second,
1743341933,190500,5.030936567592595,0.0,0.0,0.0,events/second,
1743341963,190530,5.0277435031429745,0.0,0.0,0.0,events/second,
1743341993,190853,5.032279451082931,0.0,0.0,0.0,events/second,
1743342023,190883,5.029089706618426,0.0,0.0,0.0,events/second,
1743342053,191206,5.033620041123267,0.0,0.0,0.0,events/second,
1743342083,191236,5.030430958611141,0.0,0.0,0.0,events/second,
1743342113,191559,5.03494363296787,0.0,0.0,0.0,events/second,
1743342143,191589,5.031759993410592,0.0,0.0,0.0,events/second,
1743342173,191912,5.036271837949406,0.0,0.0,0.0,events/second,
1743342203,191942,5.033095915287337,0.0,0.0,0.0,events/second,
1743342233,192265,5.037600793667064,0.0,0.0,0.0,events/second,
1743342263,192295,5.034426947491435,0.0,0.0,0.0,events/second,
1743342293,192618,5.03892447398759,0.0,0.0,0.0,events/second,
1743342323,192648,5.035756021597173,0.0,0.0,0.0,events/second,
1743342353,192971,5.04024303732196,0.0,0.0,0.0,events/second,
1743342383,193001,5.0370779127687655,0.0,0.0,0.0,events/second,
1743342413,193324,5.041557425629545,0.0,0.0,0.0,events/second,
1743342443,193344,5.038136623746994,0.0,0.0,0.0,events/second,
1743342473,193667,5.042610037239341,0.0,0.0,0.0,events/second,
1743342503,193697,5.039453300132494,0.0,0.0,0.0,events/second,
1743342533,194020,5.0439178372861635,0.0,0.0,0.0,events/second,
1743342563,194050,5.040763896463664,0.0,0.0,0.0,events/second,
1743342593,194373,5.04521955488542,0.0,0.0,0.0,events/second,
1743342623,194403,5.042070559666858,0.0,0.0,0.0,events/second,
1743342653,194726,5.0465201714931505,0.0,0.0,0.0,events/second,
1743342683,194756,5.043375064804891,0.0,0.0,0.0,events/second,
1743342713,195079,5.0478141743802185,0.0,0.0,0.0,events/second,
1743342743,195109,5.044671368549395,0.0,0.0,0.0,events/second,
1743342773,195432,5.049103480000495,0.0,0.0,0.0,events/second,
1743342803,195462,5.045966794597512,0.0,0.0,0.0,events/second,
1743342833,195785,5.050392610704939,0.0,0.0,0.0,events/second,
1743342863,195815,5.047256414740389,0.0,0.0,0.0,events/second,
1743342893,196138,5.051674029719286,0.0,0.0,0.0,events/second,
1743342924,196168,5.048543639356924,0.0,0.0,0.0,events/second,
1743342954,196491,5.052954023909873,0.0,0.0,0.0,events/second,
1743342984,196521,5.049828290815643,0.0,0.0,0.0,events/second,
1743343014,196844,5.054230374589804,0.0,0.0,0.0,events/second,
1743343044,196874,5.051106753357815,0.0,0.0,0.0,events/second,
1743343074,197197,5.055501992106275,0.0,0.0,0.0,events/second,
1743343104,197227,5.052383738155834,0.0,0.0,0.0,events/second,
1743343134,197550,5.056769088388528,0.0,0.0,0.0,events/second,
1743343164,197580,5.053655410378526,0.0,0.0,0.0,events/second,
1743343194,197903,5.058033212619459,0.0,0.0,0.0,events/second,
1743343224,197933,5.0549209785596165,0.0,0.0,0.0,events/second,
1743343254,198256,5.0592901716805585,0.0,0.0,0.0,events/second,
1743343284,198286,5.056183828659054,0.0,0.0,0.0,events/second,
1743343314,198609,5.060547152670957,0.0,0.0,0.0,events/second,
1743343344,198639,5.057443567315598,0.0,0.0,0.0,events/second,
1743343374,198962,5.061799720037349,0.0,0.0,0.0,events/second,
1743343404,198992,5.0587007780939155,0.0,0.0,0.0,events/second,
1743343434,199315,5.063049335537326,0.0,0.0,0.0,events/second,
1743343464,199345,5.059953944454744,0.0,0.0,0.0,events/second,
1743343494,199668,5.064293566475541,0.0,0.0,0.0,events/second,
1743343524,199698,5.061202444488203,0.0,0.0,0.0,events/second,
1743343554,200021,5.065534670812996,0.0,0.0,0.0,events/second,
1743343584,200051,5.062445820520411,0.0,0.0,0.0,events/second,
1743343614,200374,5.066771193269163,0.0,0.0,0.0,events/second,
1743343644,200404,5.063686397780567,0.0,0.0,0.0,events/second,
1743343674,200727,5.068003130116945,0.0,0.0,0.0,events/second,
1743343704,200747,5.064670674702913,0.0,0.0,0.0,events/second,
1743343734,201070,5.068981628724822,0.0,0.0,0.0,events/second,
1743343764,201100,5.065904220397628,0.0,0.0,0.0,events/second,
1743343794,201423,5.07020756491381,0.0,0.0,0.0,events/second,
1743343824,201453,5.067134108199237,0.0,0.0,0.0,events/second,
1743343854,201776,5.07142970396961,0.0,0.0,0.0,events/second,
1743343884,201806,5.06836081357575,0.0,0.0,0.0,events/second,
1743343914,202129,5.072647513553905,0.0,0.0,0.0,events/second,
1743343944,202159,5.069581986083993,0.0,0.0,0.0,events/second,
1743343974,202482,5.073861009652021,0.0,0.0,0.0,events/second,
1743344004,202512,5.0707987273528135,0.0,0.0,0.0,events/second,
1743344034,202835,5.0750708525478085,0.0,0.0,0.0,events/second,
1743344064,202865,5.07201020459301,0.0,0.0,0.0,events/second,
1743344094,203188,5.076276842711914,0.0,0.0,0.0,events/second,
1743344124,203218,5.073222314254148,0.0,0.0,0.0,events/second,
1743344154,203541,5.077481989713847,0.0,0.0,0.0,events/second,
1743344184,203571,5.0744308925596355,0.0,0.0,0.0,events/second,
1743344214,203894,5.078681515840597,0.0,0.0,0.0,events/second,
1743344244,203924,5.075634851644839,0.0,0.0,0.0,events/second,
1743344274,204247,5.079879978229811,0.0,0.0,0.0,events/second,
1743344304,204277,5.076836521584023,0.0,0.0,0.0,events/second,
1743344334,204600,5.081074280114101,0.0,0.0,0.0,events/second,
1743344364,204630,5.078033828323139,0.0,0.0,0.0,events/second,
1743344394,204953,5.082264252142913,0.0,0.0,0.0,events/second,
1743344424,204983,5.079228786493723,0.0,0.0,0.0,events/second,
1743344454,205306,5.083450478277721,0.0,0.0,0.0,events/second,
1743344484,205336,5.080417599028467,0.0,0.0,0.0,events/second,
1743344514,205659,5.084633424667629,0.0,0.0,0.0,events/second,
1743344544,205689,5.08160451761193,0.0,0.0,0.0,events/second,
1743344574,206012,5.085813905535492,0.0,0.0,0.0,events/second,
1743344604,206042,5.0827894061643235,0.0,0.0,0.0,events/second,
1743344634,206365,5.086989264333927,0.0,0.0,0.0,events/second,
1743344664,206395,5.083966834642586,0.0,0.0,0.0,events/second,
1743344694,206718,5.088159574678811,0.0,0.0,0.0,events/second,
1743344724,206748,5.085141936680299,0.0,0.0,0.0,events/second,
1743344754,207071,5.08932845134646,0.0,0.0,0.0,events/second,
1743344784,207101,5.086314386362133,0.0,0.0,0.0,events/second,
1743344814,207424,5.090495265990549,0.0,0.0,0.0,events/second,
1743344844,207454,5.087483693968721,0.0,0.0,0.0,events/second,
1743344875,207777,5.09165723410202,0.0,0.0,0.0,events/second,
1743344905,207807,5.08864950035666,0.0,0.0,0.0,events/second,
1743344935,208130,5.0928156325457055,0.0,0.0,0.0,events/second,
1743344965,208160,5.089811605371138,0.0,0.0,0.0,events/second,
1743344995,208483,5.093970925514596,0.0,0.0,0.0,events/second,
1743345025,208513,5.090971113297755,0.0,0.0,0.0,events/second,
1743345055,208826,5.094879591173565,0.0,0.0,0.0,events/second,
1743345085,208856,5.091881267600467,0.0,0.0,0.0,events/second,
1743345115,209179,5.096027662512852,0.0,0.0,0.0,events/second,
1743345145,209209,5.093035005234986,0.0,0.0,0.0,events/second,
1743345175,209532,5.097172388930872,0.0,0.0,0.0,events/second,
1743345205,209562,5.094179996358275,0.0,0.0,0.0,events/second,
1743345235,209885,5.0983125127657845,0.0,0.0,0.0,events/second,
1743345265,209915,5.095326932001205,0.0,0.0,0.0,events/second,
1743345295,210238,5.09945262437861,0.0,0.0,0.0,events/second,
1743345325,210268,5.096471148235319,0.0,0.0,0.0,events/second,
1743345355,210591,5.1005869468636265,0.0,0.0,0.0,events/second,
1743345385,210621,5.097605713577447,0.0,0.0,0.0,events/second,
1743345415,210944,5.101716573731259,0.0,0.0,0.0,events/second,
1743345445,210974,5.098740569639072,0.0,0.0,0.0,events/second,
1743345475,211297,5.102845825465003,0.0,0.0,0.0,events/second,
1743345505,211327,5.099873826955378,0.0,0.0,0.0,events/second,
1743345535,211650,5.103971675360132,0.0,0.0,0.0,events/second,
1743345565,211680,5.10100400816757,0.0,0.0,0.0,events/second,
1743345595,212003,5.105095735425135,0.0,0.0,0.0,events/second,
1743345625,212033,5.102131232764159,0.0,0.0,0.0,events/second,
1743345655,212356,5.106215896364552,0.0,0.0,0.0,events/second,
1743345685,212386,5.103254889900692,0.0,0.0,0.0,events/second,
1743345715,212709,5.107333273728547,0.0,0.0,0.0,events/second,
