t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,330,25.609552953047253,0.0,0.0,0.0,events/second,
1743304110,343,7.978894516674324,0.0,0.0,0.0,events/second,
1743304140,343,4.693128594490108,0.0,0.0,0.0,events/second,
1743304170,343,3.3243241983033354,0.0,0.0,0.0,events/second,
1743304200,343,2.563934918370707,0.0,0.0,0.0,events/second,
1743304231,343,2.0929980978320715,0.0,0.0,0.0,events/second,
1743304261,343,1.7688079433280577,0.0,0.0,0.0,events/second,
1743304291,343,1.53106445617675,0.0,0.0,0.0,events/second,
1743304321,343,1.335011214349137,0.0,0.0,0.0,events/second,
1743304354,343,1.1950546596486855,0.0,0.0,0.0,events/second,
1743304384,343,1.0818305285352434,0.0,0.0,0.0,events/second,
1743304414,343,0.988276210983225,0.0,0.0,0.0,events/second,
1743304444,343,0.9096115528552987,0.0,0.0,0.0,events/second,
1743304474,343,0.8425333908184778,0.0,0.0,0.0,events/second,
1743304504,343,0.7846880900267493,0.0,0.0,0.0,events/second,
1743304534,343,0.7342762564643999,0.0,0.0,0.0,events/second,
1743304564,343,0.6899394124696342,0.0,0.0,0.0,events/second,
1743304594,343,0.6506419290748785,0.0,0.0,0.0,events/second,
1743304624,343,0.6155928372389242,0.0,0.0,0.0,events/second,
1743304654,343,0.5841289060751679,0.0,0.0,0.0,events/second,
1743304684,343,0.5557242195663916,0.0,0.0,0.0,events/second,
1743304714,343,0.5299463586240907,0.0,0.0,0.0,events/second,
1743304744,343,0.5064605068665228,0.0,0.0,0.0,events/second,
1743304774,343,0.48496483061488155,0.0,0.0,0.0,events/second,
1743304804,343,0.46522095810666975,0.0,0.0,0.0,events/second,
1743304834,343,0.4470199951380463,0.0,0.0,0.0,events/second,
1743304864,343,0.43018983807480915,0.0,0.0,0.0,events/second,
1743304894,343,0.41458196101768735,0.0,0.0,0.0,events/second,
1743304925,343,0.40005713562358997,0.0,0.0,0.0,events/second,
1743304955,343,0.38652421024281686,0.0,0.0,0.0,events/second,
1743304985,360,0.3924053667374919,0.0,0.0,0.0,events/second,
1743305015,360,0.3799716664416531,0.0,0.0,0.0,events/second,
1743305045,360,0.3683012085221526,0.0,0.0,0.0,events/second,
1743305075,360,0.35732535252346304,0.0,0.0,0.0,events/second,
1743305105,360,0.3469881458195888,0.0,0.0,0.0,events/second,
1743339378,360,0.010194507845562377,0.0,0.0,0.0,events/second,
1743339410,360,0.010185804051797288,0.0,0.0,0.0,events/second,
1743339441,360,0.010177088073671953,0.0,0.0,0.0,events/second,
1743339471,360,0.01016844861325607,0.0,0.0,0.0,events/second,
1743339501,360,0.010159808877480584,0.0,0.0,0.0,events/second,
1743339531,360,0.010151204693789134,0.0,0.0,0.0,events/second,
1743339561,360,0.010142566021740518,0.0,0.0,0.0,events/second,
1743339591,360,0.010133979925673954,0.0,0.0,0.0,events/second,
1743339621,360,0.010125404029332968,0.0,0.0,0.0,events/second,
1743339651,360,0.010116852590951858,0.0,0.0,0.0,events/second,
1743339681,360,0.010108325277141264,0.0,0.0,0.0,events/second,
1743339711,360,0.010099814339414117,0.0,0.0,0.0,events/second,
1743339741,360,0.010091315841241856,0.0,0.0,0.0,events/second,
1743339771,360,0.01008283479511688,0.0,0.0,0.0,events/second,
1743339801,360,0.010074365835215931,0.0,0.0,0.0,events/second,
1743339831,360,0.010065909631843138,0.0,0.0,0.0,events/second,
1743339861,360,0.010057467488895834,0.0,0.0,0.0,events/second,
1743339891,360,0.010049039597119312,0.0,0.0,0.0,events/second,
1743339921,360,0.010040622661166773,0.0,0.0,0.0,events/second,
1743339951,360,0.010032225149259607,0.0,0.0,0.0,events/second,
1743339982,360,0.010023841674511213,0.0,0.0,0.0,events/second,
1743340012,360,0.01001546899036889,0.0,0.0,0.0,events/second,
1743340042,360,0.010007114259114562,0.0,0.0,0.0,events/second,
1743340072,360,0.009998766554574195,0.0,0.0,0.0,events/second,
1743340102,360,0.009990429423701059,0.0,0.0,0.0,events/second,
1743340132,360,0.009982103360422458,0.0,0.0,0.0,events/second,
1743340162,360,0.009973802462725863,0.0,0.0,0.0,events/second,
1743340192,360,0.009965517228454587,0.0,0.0,0.0,events/second,
1743340222,360,0.009957239252659154,0.0,0.0,0.0,events/second,
1743340252,360,0.009948979228493839,0.0,0.0,0.0,events/second,
1743340282,360,0.00994073275923596,0.0,0.0,0.0,events/second,
1743340312,360,0.00993249724669714,0.0,0.0,0.0,events/second,
1743340342,360,0.009924278480192244,0.0,0.0,0.0,events/second,
1743340372,360,0.009916074759415291,0.0,0.0,0.0,events/second,
1743340402,360,0.0099078798649531,0.0,0.0,0.0,events/second,
1743340432,360,0.009899702614260028,0.0,0.0,0.0,events/second,
1743340462,360,0.009891536971959318,0.0,0.0,0.0,events/second,
1743340492,360,0.009883388092924774,0.0,0.0,0.0,events/second,
1743340522,360,0.009875251664887187,0.0,0.0,0.0,events/second,
1743340552,360,0.009867124021640306,0.0,0.0,0.0,events/second,
1743340582,360,0.009859013773842054,0.0,0.0,0.0,events/second,
1743340612,360,0.009850915064946472,0.0,0.0,0.0,events/second,
1743340642,360,0.009842832643441476,0.0,0.0,0.0,events/second,
1743340672,360,0.00983476329875152,0.0,0.0,0.0,events/second,
1743340702,360,0.009826704480457036,0.0,0.0,0.0,events/second,
1743340732,360,0.009818658611824483,0.0,0.0,0.0,events/second,
1743340762,360,0.00981062843159926,0.0,0.0,0.0,events/second,
1743340792,360,0.009802609484676204,0.0,0.0,0.0,events/second,
1743340822,360,0.009794603434293375,0.0,0.0,0.0,events/second,
1743340852,360,0.00978660961441876,0.0,0.0,0.0,events/second,
1743340882,360,0.009778625956960375,0.0,0.0,0.0,events/second,
1743340912,360,0.009770659109520472,0.0,0.0,0.0,events/second,
1743340942,360,0.009762707409038058,0.0,0.0,0.0,events/second,
1743340972,360,0.009754766042971348,0.0,0.0,0.0,events/second,
1743341002,360,0.009746837352941035,0.0,0.0,0.0,events/second,
1743341032,360,0.009738922298829774,0.0,0.0,0.0,events/second,
1743341062,360,0.009731021878381985,0.0,0.0,0.0,events/second,
1743341092,360,0.009723122129548208,0.0,0.0,0.0,events/second,
1743341122,360,0.009715247084471409,0.0,0.0,0.0,events/second,
1743341152,360,0.009707381965474276,0.0,0.0,0.0,events/second,
1743341182,360,0.009699532499059933,0.0,0.0,0.0,events/second,
1743341212,360,0.009691693923959115,0.0,0.0,0.0,events/second,
1743341242,360,0.00968386555650973,0.0,0.0,0.0,events/second,
1743341272,360,0.009676054522247828,0.0,0.0,0.0,events/second,
1743341302,360,0.009668251243557467,0.0,0.0,0.0,events/second,
1743341332,360,0.009660459044240897,0.0,0.0,0.0,events/second,
1743341362,360,0.009652682725685488,0.0,0.0,0.0,events/second,
1743341392,360,0.009644915109705629,0.0,0.0,0.0,events/second,
1743341423,360,0.009637166820788292,0.0,0.0,0.0,events/second,
1743341453,360,0.009629423429913554,0.0,0.0,0.0,events/second,
1743341483,360,0.009621697052268478,0.0,0.0,0.0,events/second,
1743341513,360,0.009613980464136099,0.0,0.0,0.0,events/second,
1743341543,360,0.009606280196105321,0.0,0.0,0.0,events/second,
1743341573,360,0.009598593087907491,0.0,0.0,0.0,events/second,
1743341603,360,0.009590916727783585,0.0,0.0,0.0,events/second,
1743341633,360,0.009583252368675547,0.0,0.0,0.0,events/second,
1743341663,360,0.009575602237389633,0.0,0.0,0.0,events/second,
1743341693,360,0.009567957768330294,0.0,0.0,0.0,events/second,
1743341723,360,0.00956032835829485,0.0,0.0,0.0,events/second,
