t,value
1743304080,9223372036854775807
1743304110,9223372036854775807
1743304140,9223372036854775807
1743304170,9223372036854775807
1743304200,9223372036854775807
1743304231,9223372036854775807
1743304261,9223372036854775807
1743304291,9223372036854775807
1743304321,9223372036854775807
1743304354,9223372036854775807
1743304384,9223372036854775807
1743304414,9223372036854775807
1743304444,9223372036854775807
1743304474,9223372036854775807
1743304504,9223372036854775807
1743304534,9223372036854775807
1743304564,9223372036854775807
1743304594,9223372036854775807
1743304624,9223372036854775807
1743304654,9223372036854775807
1743304684,9223372036854775807
1743304714,9223372036854775807
1743304744,9223372036854775807
1743304774,9223372036854775807
1743304804,9223372036854775807
1743304834,9223372036854775807
1743304864,9223372036854775807
1743304894,9223372036854775807
1743304925,9223372036854775807
1743304955,9223372036854775807
1743304985,9223372036854775807
1743305015,9223372036854775807
1743305045,9223372036854775807
1743305075,9223372036854775807
1743305105,9223372036854775807
1743339378,9223372036854775807
1743339410,9223372036854775807
1743339441,9223372036854775807
1743339471,9223372036854775807
1743339501,9223372036854775807
1743339531,9223372036854775807
1743339561,9223372036854775807
1743339591,9223372036854775807
1743339621,9223372036854775807
1743339651,9223372036854775807
1743339681,9223372036854775807
1743339711,9223372036854775807
1743339741,9223372036854775807
1743339771,9223372036854775807
1743339801,9223372036854775807
1743339831,9223372036854775807
1743339861,9223372036854775807
1743339891,9223372036854775807
1743339921,9223372036854775807
1743339951,9223372036854775807
1743339982,9223372036854775807
1743340012,9223372036854775807
1743340042,9223372036854775807
1743340072,9223372036854775807
1743340102,9223372036854775807
1743340132,9223372036854775807
1743340162,9223372036854775807
1743340192,9223372036854775807
1743340222,9223372036854775807
1743340252,9223372036854775807
1743340282,9223372036854775807
1743340312,9223372036854775807
1743340342,9223372036854775807
1743340372,9223372036854775807
1743340402,9223372036854775807
1743340432,9223372036854775807
1743340462,9223372036854775807
1743340492,9223372036854775807
1743340522,9223372036854775807
1743340552,9223372036854775807
1743340582,9223372036854775807
1743340612,9223372036854775807
1743340642,9223372036854775807
1743340672,9223372036854775807
1743340702,9223372036854775807
1743340732,9223372036854775807
1743340762,9223372036854775807
1743340792,9223372036854775807
1743340822,9223372036854775807
1743340852,9223372036854775807
1743340882,9223372036854775807
1743340912,9223372036854775807
1743340942,9223372036854775807
1743340972,9223372036854775807
1743341002,9223372036854775807
1743341032,9223372036854775807
1743341062,9223372036854775807
1743341092,9223372036854775807
1743341122,9223372036854775807
1743341152,9223372036854775807
1743341182,9223372036854775807
1743341212,9223372036854775807
1743341242,9223372036854775807
1743341272,9223372036854775807
1743341302,9223372036854775807
1743341332,9223372036854775807
1743341362,9223372036854775807
1743341392,9223372036854775807
1743341423,9223372036854775807
1743341453,9223372036854775807
1743341483,9223372036854775807
1743341513,9223372036854775807
1743341543,9223372036854775807
1743341573,9223372036854775807
1743341603,9223372036854775807
1743341633,9223372036854775807
1743341663,9223372036854775807
1743341693,9223372036854775807
1743341723,9223372036854775807
1743341753,9223372036854775807
1743341783,9223372036854775807
1743341813,9223372036854775807
1743341843,9223372036854775807
1743341873,9223372036854775807
1743341903,9223372036854775807
1743341933,9223372036854775807
1743341963,9223372036854775807
1743341993,9223372036854775807
1743342023,9223372036854775807
1743342053,9223372036854775807
1743342083,9223372036854775807
1743342113,9223372036854775807
1743342143,9223372036854775807
1743342173,9223372036854775807
1743342203,9223372036854775807
1743342233,9223372036854775807
1743342263,9223372036854775807
1743342293,9223372036854775807
1743342323,9223372036854775807
1743342353,9223372036854775807
1743342383,9223372036854775807
1743342413,9223372036854775807
1743342443,9223372036854775807
1743342473,9223372036854775807
1743342503,9223372036854775807
1743342533,9223372036854775807
1743342563,9223372036854775807
1743342593,9223372036854775807
1743342623,9223372036854775807
1743342653,9223372036854775807
1743342683,9223372036854775807
1743342713,9223372036854775807
1743342743,9223372036854775807
1743342773,9223372036854775807
1743342803,9223372036854775807
1743342833,9223372036854775807
1743342863,9223372036854775807
1743342893,9223372036854775807
1743342924,9223372036854775807
1743342954,9223372036854775807
1743342984,9223372036854775807
1743343014,9223372036854775807
1743343044,9223372036854775807
1743343074,9223372036854775807
1743343104,9223372036854775807
1743343134,9223372036854775807
1743343164,9223372036854775807
1743343194,9223372036854775807
1743343224,9223372036854775807
1743343254,9223372036854775807
1743343284,9223372036854775807
1743343314,9223372036854775807
1743343344,9223372036854775807
1743343374,9223372036854775807
1743343404,9223372036854775807
1743343434,9223372036854775807
1743343464,9223372036854775807
1743343494,9223372036854775807
1743343524,9223372036854775807
1743343554,9223372036854775807
1743343584,9223372036854775807
1743343614,9223372036854775807
1743343644,9223372036854775807
1743343674,9223372036854775807
1743343704,9223372036854775807
1743343734,9223372036854775807
1743343764,9223372036854775807
1743343794,9223372036854775807
1743343824,9223372036854775807
1743343854,9223372036854775807
1743343884,9223372036854775807
1743343914,9223372036854775807
1743343944,9223372036854775807
1743343974,9223372036854775807
1743344004,9223372036854775807
1743344034,9223372036854775807
1743344064,9223372036854775807
1743344094,9223372036854775807
1743344124,9223372036854775807
1743344154,9223372036854775807
1743344184,9223372036854775807
1743344214,9223372036854775807
1743344244,9223372036854775807
1743344274,9223372036854775807
1743344304,9223372036854775807
1743344334,9223372036854775807
1743344364,9223372036854775807
1743344394,9223372036854775807
1743344424,9223372036854775807
1743344454,9223372036854775807
1743344484,9223372036854775807
1743344514,9223372036854775807
1743344544,9223372036854775807
1743344574,9223372036854775807
1743344604,9223372036854775807
1743344634,9223372036854775807
1743344664,9223372036854775807
1743344694,9223372036854775807
1743344724,9223372036854775807
1743344754,9223372036854775807
1743344784,9223372036854775807
1743344814,9223372036854775807
1743344844,9223372036854775807
1743344875,9223372036854775807
1743344905,9223372036854775807
1743344935,9223372036854775807
1743344965,9223372036854775807
1743344995,9223372036854775807
1743345025,9223372036854775807
1743345055,9223372036854775807
1743345085,9223372036854775807
1743345115,9223372036854775807
1743345145,9223372036854775807
1743345175,9223372036854775807
1743345205,9223372036854775807
