t,value
1743304080,20972624
1743304110,33555920
1743304140,33555920
1743304170,33555920
1743304200,33555920
1743304231,33555920
1743304261,33555920
1743304291,33555920
1743304321,33555920
1743304354,33555920
1743304384,33555920
1743304414,33555920
1743304444,33555920
1743304474,33555920
1743304504,33555920
1743304534,33555920
1743304564,33555920
1743304594,33555920
1743304624,33555920
1743304654,33555920
1743304684,33555920
1743304714,33555920
1743304744,33555920
1743304774,33555920
1743304804,33555920
1743304834,33555920
1743304864,33555920
1743304894,33555920
1743304925,33555920
1743304955,33555920
1743304985,33555920
1743305015,33555920
1743305045,33555920
1743305075,33555920
1743305105,33555920
1743339378,33555920
1743339410,33555920
1743339441,33555920
1743339471,33555920
1743339501,33555920
1743339531,33555920
1743339561,33555920
1743339591,33555920
1743339621,33555920
1743339651,33555920
1743339681,33555920
1743339711,33555920
1743339741,33555920
1743339771,33555920
1743339801,33555920
1743339831,33555920
1743339861,33555920
1743339891,33555920
1743339921,33555920
1743339951,33555920
1743339982,33555920
1743340012,33555920
1743340042,33555920
1743340072,33555920
1743340102,33555920
1743340132,33555920
1743340162,33555920
1743340192,33555920
1743340222,33555920
1743340252,33555920
1743340282,33555920
1743340312,33555920
1743340342,33555920
1743340372,33555920
1743340402,33555920
1743340432,33555920
1743340462,33555920
1743340492,33555920
1743340522,33555920
1743340552,33555920
1743340582,33555920
1743340612,33555920
1743340642,33555920
1743340672,33555920
1743340702,33555920
1743340732,33555920
1743340762,33555920
1743340792,33555920
1743340822,33555920
1743340852,33555920
1743340882,33555920
1743340912,33555920
1743340942,33555920
1743340972,33555920
1743341002,33555920
1743341032,33555920
1743341062,33555920
1743341092,33555920
1743341122,33555920
1743341152,33555920
1743341182,33555920
1743341212,33555920
1743341242,33555920
1743341272,33555920
1743341302,33555920
1743341332,33555920
1743341362,33555920
1743341392,33555920
1743341423,33555920
1743341453,33555920
1743341483,33555920
1743341513,33555920
1743341543,33555920
1743341573,33555920
1743341603,33555920
1743341633,33555920
1743341663,33555920
1743341693,33555920
1743341723,33555920
1743341753,33555920
1743341783,33555920
1743341813,33555920
1743341843,33555920
1743341873,33555920
1743341903,33555920
1743341933,33555920
1743341963,33555920
1743341993,33555920
1743342023,33555920
1743342053,33555920
1743342083,33555920
1743342113,33555920
1743342143,33555920
1743342173,33555920
1743342203,33555920
1743342233,33555920
1743342263,33555920
1743342293,33555920
1743342323,33555920
1743342353,33555920
1743342383,33555920
1743342413,33555920
1743342443,33555920
1743342473,33555920
1743342503,33555920
1743342533,33555920
1743342563,33555920
1743342593,33555920
1743342623,33555920
1743342653,33555920
1743342683,33555920
1743342713,33555920
1743342743,33555920
1743342773,33555920
1743342803,33555920
1743342833,33555920
1743342863,33555920
1743342893,33555920
1743342924,33555920
1743342954,33555920
1743342984,33555920
1743343014,33555920
1743343044,33555920
1743343074,33555920
1743343104,33555920
1743343134,33555920
1743343164,33555920
1743343194,33555920
1743343224,33555920
1743343254,33555920
1743343284,33555920
1743343314,33555920
1743343344,33555920
1743343374,33555920
1743343404,33555920
1743343434,33555920
1743343464,33555920
1743343494,33555920
1743343524,33555920
1743343554,33555920
1743343584,33555920
1743343614,33555920
1743343644,33555920
1743343674,33555920
1743343704,33555920
1743343734,33555920
1743343764,33555920
1743343794,33555920
1743343824,33555920
1743343854,33555920
1743343884,33555920
1743343914,33555920
1743343944,33555920
1743343974,33555920
1743344004,33555920
1743344034,33555920
1743344064,33555920
1743344094,33555920
1743344124,33555920
1743344154,33555920
1743344184,33555920
1743344214,33555920
1743344244,33555920
1743344274,33555920
