t,value
1743304080,1104
1743304110,1488
1743304140,1488
1743304170,1488
1743304200,1488
1743304231,1488
1743304261,1488
1743304291,1488
1743304321,1488
1743304354,1488
1743304384,1488
1743304414,1488
1743304444,1488
1743304474,1488
1743304504,1488
1743304534,1488
1743304564,1488
1743304594,1488
1743304624,1488
1743304654,1488
1743304684,1488
1743304714,1488
1743304744,1488
1743304774,1488
1743304804,1488
1743304834,1488
1743304864,1488
1743304894,1488
1743304925,1488
1743304955,1488
1743304985,1488
1743305015,1488
1743305045,1488
1743305075,1488
1743305105,1488
1743339378,1488
1743339410,1488
1743339441,1488
1743339471,1488
1743339501,1488
1743339531,1488
1743339561,1488
1743339591,1488
1743339621,1488
1743339651,1488
1743339681,1488
1743339711,1488
1743339741,1488
1743339771,1488
1743339801,1488
1743339831,1488
1743339861,1488
1743339891,1488
1743339921,1488
1743339951,1488
1743339982,1488
1743340012,1488
1743340042,1488
1743340072,1488
1743340102,1488
1743340132,1488
1743340162,1488
1743340192,1488
1743340222,1488
1743340252,1488
1743340282,1488
1743340312,1488
1743340342,1488
1743340372,1488
1743340402,1488
1743340432,1488
1743340462,1488
1743340492,1488
1743340522,1488
1743340552,1488
1743340582,1488
1743340612,1488
1743340642,1488
1743340672,1488
1743340702,1488
1743340732,1488
1743340762,1488
1743340792,1488
1743340822,1488
1743340852,1488
1743340882,1488
1743340912,1488
1743340942,1488
1743340972,1488
1743341002,1488
1743341032,1488
1743341062,1488
1743341092,1488
1743341122,1488
1743341152,1488
1743341182,1488
1743341212,1488
1743341242,1488
1743341272,1488
1743341302,1488
1743341332,1488
1743341362,1488
1743341392,1488
1743341423,1488
1743341453,1488
1743341483,1488
1743341513,1488
1743341543,1488
1743341573,1488
1743341603,1488
1743341633,1488
1743341663,1488
1743341693,1488
1743341723,1488
1743341753,1488
1743341783,1488
1743341813,1488
1743341843,1488
1743341873,1488
1743341903,1488
1743341933,1488
1743341963,1488
1743341993,1488
1743342023,1488
1743342053,1488
1743342083,1488
1743342113,1488
1743342143,1488
1743342173,1488
1743342203,1488
1743342233,1488
1743342263,1488
1743342293,1488
1743342323,1488
1743342353,1488
1743342383,1488
1743342413,1488
1743342443,1488
1743342473,1488
1743342503,1488
1743342533,1488
1743342563,1488
1743342593,1488
1743342623,1488
1743342653,1488
1743342683,1488
1743342713,1488
1743342743,1488
1743342773,1488
1743342803,1488
1743342833,1488
1743342863,1488
1743342893,1488
1743342924,1488
1743342954,1488
1743342984,1488
1743343014,1488
1743343044,1488
1743343074,1488
1743343104,1488
1743343134,1488
1743343164,1488
1743343194,1488
1743343224,1488
1743343254,1488
1743343284,1488
1743343314,1488
1743343344,1488
1743343374,1488
1743343404,1488
1743343434,1488
1743343464,1488
1743343494,1488
1743343524,1488
1743343554,1488
1743343584,1488
1743343614,1488
1743343644,1488
1743343674,1488
1743343704,1488
1743343734,1488
1743343764,1488
1743343794,1488
1743343824,1488
1743343854,1488
1743343884,1488
1743343914,1488
1743343944,1488
1743343974,1488
1743344004,1488
1743344034,1488
1743344064,1488
1743344094,1488
1743344124,1488
1743344154,1488
1743344184,1488
1743344214,1488
1743344244,1488
1743344274,1488
1743344304,1488
1743344334,1488
1743344364,1488
1743344394,1488
1743344424,1488
1743344454,1488
1743344484,1488
1743344514,1488
1743344544,1488
1743344574,1488
1743344604,1488
1743344634,1488
1743344664,1488
1743344694,1488
1743344724,1488
1743344754,1488
1743344784,1488
1743344814,1488
1743344844,1488
1743344875,1488
1743344905,1488
1743344935,1488
1743344965,1488
1743344995,1488
1743345025,1488
1743345055,1488
1743345085,1488
1743345115,1488
1743345145,1488
1743345175,1488
1743345205,1488
1743345235,1488
1743345265,1488
1743345295,1488
1743345325,1488
1743345355,1488
1743345385,1488
1743345415,1488
1743345445,1488
1743345475,1488
1743345505,1488
1743345535,1488
1743345565,1488
1743345595,1488
1743345625,1488
1743345655,1488
1743345685,1488
1743345715,1488
1743345745,1488
1743345775,1488
1743345805,1488
1743345835,1488
1743345865,1488
1743345895,1488
1743345925,1488
1743345955,1488
1743345985,1488
