t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,204,15.878332989549262,0.0,0.0,0.0,events/second,
1743304110,241,5.610828162660283,0.0,0.0,0.0,events/second,
1743304140,241,3.299288965306688,0.0,0.0,0.0,events/second,
1743304170,241,2.3366750346005336,0.0,0.0,0.0,events/second,
1743304200,241,1.8020329438002094,0.0,0.0,0.0,events/second,
1743304231,241,1.470957972805654,0.0,0.0,0.0,events/second,
1743304261,241,1.2430688890096149,0.0,0.0,0.0,events/second,
1743304291,241,1.0759591227753311,0.0,0.0,0.0,events/second,
1743304321,241,0.9379030786852246,0.0,0.0,0.0,events/second,
1743304354,241,0.839793899746451,0.0,0.0,0.0,events/second,
1743304384,241,0.7602168506137935,0.0,0.0,0.0,events/second,
1743304414,241,0.6944684560755282,0.0,0.0,0.0,events/second,
1743304444,241,0.639184299921747,0.0,0.0,0.0,events/second,
1743304474,241,0.5920436657919343,0.0,0.0,0.0,events/second,
1743304504,241,0.5513922906898351,0.0,0.0,0.0,events/second,
1743304534,241,0.5159652302660881,0.0,0.0,0.0,events/second,
1743304564,241,0.48480784540565386,0.0,0.0,0.0,events/second,
1743304594,241,0.4571920479068699,0.0,0.0,0.0,events/second,
1743304624,241,0.4325620800147298,0.0,0.0,0.0,events/second,
1743304654,241,0.410451572271322,0.0,0.0,0.0,events/second,
1743304684,241,0.39049100315404345,0.0,0.0,0.0,events/second,
1743304714,241,0.3723765594136982,0.0,0.0,0.0,events/second,
1743304744,241,0.35587277825964714,0.0,0.0,0.0,events/second,
1743304774,241,0.34076759405877843,0.0,0.0,0.0,events/second,
1743304804,257,0.34859598996202845,0.0,0.0,0.0,events/second,
1743304834,257,0.33495703303273233,0.0,0.0,0.0,events/second,
1743304864,257,0.3223453920159034,0.0,0.0,0.0,events/second,
1743304894,257,0.3106496814649357,0.0,0.0,0.0,events/second,
1743304925,257,0.29976559079630505,0.0,0.0,0.0,events/second,
1743304955,257,0.2896248064843118,0.0,0.0,0.0,events/second,
1743304985,257,0.2801463472265597,0.0,0.0,0.0,events/second,
1743305015,257,0.27126928332227124,0.0,0.0,0.0,events/second,
1743305045,257,0.2629371633498544,0.0,0.0,0.0,events/second,
1743305075,257,0.25510094545018086,0.0,0.0,0.0,events/second,
1743305105,257,0.24772077185489302,0.0,0.0,0.0,events/second,
1743339378,257,0.0072777532495378406,0.0,0.0,0.0,events/second,
1743339410,298,0.008431592023514765,0.0,0.0,0.0,events/second,
1743339441,298,0.008424377111326617,0.0,0.0,0.0,events/second,
1743339471,298,0.008417225544506893,0.0,0.0,0.0,events/second,
1743339501,298,0.008410073749041614,0.0,0.0,0.0,events/second,
1743339531,312,0.00879772090696087,0.0,0.0,0.0,events/second,
1743339561,329,0.009269189102249577,0.0,0.0,0.0,events/second,
1743339591,329,0.009261342345652067,0.0,0.0,0.0,events/second,
1743339621,329,0.009253504911238324,0.0,0.0,0.0,events/second,
1743339651,345,0.009695328216850546,0.0,0.0,0.0,events/second,
1743339681,345,0.009687156211650661,0.0,0.0,0.0,events/second,
1743339711,361,0.01012788103152223,0.0,0.0,0.0,events/second,
1743339741,361,0.010119358907716914,0.0,0.0,0.0,events/second,
1743339771,361,0.010110854286246187,0.0,0.0,0.0,events/second,
1743339801,361,0.010102361782741771,0.0,0.0,0.0,events/second,
1743339831,361,0.010093882037770445,0.0,0.0,0.0,events/second,
1743339861,361,0.010085416440113518,0.0,0.0,0.0,events/second,
1743339891,404,0.011277268411543412,0.0,0.0,0.0,events/second,
1743339921,404,0.011267822750935462,0.0,0.0,0.0,events/second,
1743339951,404,0.011258398856063175,0.0,0.0,0.0,events/second,
1743339982,404,0.011248990721726398,0.0,0.0,0.0,events/second,
1743340012,404,0.011239594666751259,0.0,0.0,0.0,events/second,
1743340042,404,0.011230218796751427,0.0,0.0,0.0,events/second,
1743340072,404,0.01122085077119137,0.0,0.0,0.0,events/second,
1743340102,404,0.011211494593343682,0.0,0.0,0.0,events/second,
1743340132,404,0.011202150914602403,0.0,0.0,0.0,events/second,
1743340162,404,0.011192835453135846,0.0,0.0,0.0,events/second,
1743340192,404,0.011183537578727015,0.0,0.0,0.0,events/second,
1743340222,404,0.011174247649724446,0.0,0.0,0.0,events/second,
1743340252,404,0.011164978198549924,0.0,0.0,0.0,events/second,
1743340282,404,0.01115572382229214,0.0,0.0,0.0,events/second,
1743340312,404,0.011146481720435088,0.0,0.0,0.0,events/second,
1743340342,404,0.011137258430525335,0.0,0.0,0.0,events/second,
1743340372,404,0.011128052013598743,0.0,0.0,0.0,events/second,
1743340402,404,0.011118855487104286,0.0,0.0,0.0,events/second,
1743340432,404,0.011109678785446218,0.0,0.0,0.0,events/second,
1743340462,404,0.011100515071677655,0.0,0.0,0.0,events/second,
1743340492,404,0.011091370229913222,0.0,0.0,0.0,events/second,
1743340522,404,0.011082239326312686,0.0,0.0,0.0,events/second,
1743340552,404,0.011073118279153315,0.0,0.0,0.0,events/second,
1743340582,404,0.011064016763022455,0.0,0.0,0.0,events/second,
1743340612,404,0.011054928174748293,0.0,0.0,0.0,events/second,
1743340642,404,0.011045857885406485,0.0,0.0,0.0,events/second,
1743340672,404,0.011036802281414794,0.0,0.0,0.0,events/second,
1743340702,404,0.011027758474691455,0.0,0.0,0.0,events/second,
1743340732,404,0.011018729190984008,0.0,0.0,0.0,events/second,
1743340762,404,0.011009717536350171,0.0,0.0,0.0,events/second,
1743340792,404,0.011000718475131979,0.0,0.0,0.0,events/second,
1743340822,404,0.010991733898411914,0.0,0.0,0.0,events/second,
1743340852,404,0.010982763012805465,0.0,0.0,0.0,events/second,
1743340882,404,0.010973803550048558,0.0,0.0,0.0,events/second,
1743340912,404,0.01096486297464892,0.0,0.0,0.0,events/second,
1743340942,404,0.010955939379522698,0.0,0.0,0.0,events/second,
1743340972,404,0.01094702738073414,0.0,0.0,0.0,events/second,
1743341002,404,0.010938129525828745,0.0,0.0,0.0,events/second,
1743341032,404,0.010929247138459346,0.0,0.0,0.0,events/second,
1743341062,404,0.010920381094638795,0.0,0.0,0.0,events/second,
1743341092,404,0.010911515774170877,0.0,0.0,0.0,events/second,
1743341122,404,0.01090267823049338,0.0,0.0,0.0,events/second,
1743341152,404,0.010893851782180669,0.0,0.0,0.0,events/second,
1743341182,404,0.010885042918073134,0.0,0.0,0.0,events/second,
1743341212,404,0.01087624629694618,0.0,0.0,0.0,events/second,
1743341242,404,0.010867461104208194,0.0,0.0,0.0,events/second,
1743341272,404,0.0108586953689549,0.0,0.0,0.0,events/second,
1743341302,404,0.010849938316900327,0.0,0.0,0.0,events/second,
1743341332,404,0.010841193722182584,0.0,0.0,0.0,events/second,
1743341362,404,0.010832466946781688,0.0,0.0,0.0,events/second,
1743341392,404,0.010823749844262423,0.0,0.0,0.0,events/second,
1743341423,404,0.010815054630723384,0.0,0.0,0.0,events/second,
1743341453,404,0.010806364679425608,0.0,0.0,0.0,events/second,
1743341483,404,0.010797694074742533,0.0,0.0,0.0,events/second,
1743341513,404,0.010789034325524671,0.0,0.0,0.0,events/second,
1743341543,404,0.010780392878468163,0.0,0.0,0.0,events/second,
1743341573,404,0.010771766236702646,0.0,0.0,0.0,events/second,
1743341603,404,0.010763151628509889,0.0,0.0,0.0,events/second,
1743341633,404,0.010754550502706897,0.0,0.0,0.0,events/second,
1743341663,404,0.010745965337335257,0.0,0.0,0.0,events/second,
1743341693,404,0.01073738651219773,0.0,0.0,0.0,events/second,
1743341723,404,0.010728824602823836,0.0,0.0,0.0,events/second,
1743341753,404,0.010720278884110956,0.0,0.0,0.0,events/second,
1743341783,404,0.010711749371951738,0.0,0.0,0.0,events/second,
1743341813,404,0.010703227303270245,0.0,0.0,0.0,events/second,
1743341843,404,0.010694722091314798,0.0,0.0,0.0,events/second,
1743341873,404,0.010686229813680706,0.0,0.0,0.0,events/second,
1743341903,404,0.010677749268204206,0.0,0.0,0.0,events/second,
1743341933,404,0.010669287941977286,0.0,0.0,0.0,events/second,
1743341963,404,0.010660837395228896,0.0,0.0,0.0,events/second,
1743341993,404,0.010652396725744159,0.0,0.0,0.0,events/second,
1743342023,404,0.010643971401795585,0.0,0.0,0.0,events/second,
1743342053,404,0.01063556307802512,0.0,0.0,0.0,events/second,
1743342083,404,0.010627157428133676,0.0,0.0,0.0,events/second,
1743342113,404,0.010618755535672698,0.0,0.0,0.0,events/second,
1743342143,404,0.010610379405351597,0.0,0.0,0.0,events/second,
1743342173,404,0.01060201960713415,0.0,0.0,0.0,events/second,
1743342203,404,0.010593677913530709,0.0,0.0,0.0,events/second,
1743342233,404,0.01058534675372483,0.0,0.0,0.0,events/second,
1743342263,404,0.010577027268390169,0.0,0.0,0.0,events/second,
1743342293,404,0.01056872391142946,0.0,0.0,0.0,events/second,
1743342323,404,0.010560433554432284,0.0,0.0,0.0,events/second,
1743342353,404,0.010552151126910101,0.0,0.0,0.0,events/second,
1743342383,404,0.010543885504981103,0.0,0.0,0.0,events/second,
1743342413,404,0.010535630158454604,0.0,0.0,0.0,events/second,
1743342443,404,0.010527392433605523,0.0,0.0,0.0,events/second,
1743342473,404,0.010519166524663911,0.0,0.0,0.0,events/second,
1743342503,404,0.010510953191138471,0.0,0.0,0.0,events/second,
1743342533,404,0.010502751115018668,0.0,0.0,0.0,events/second,
1743342563,404,0.010494560851669181,0.0,0.0,0.0,events/second,
1743342593,404,0.010486382584260524,0.0,0.0,0.0,events/second,
1743342623,404,0.01047822034515798,0.0,0.0,0.0,events/second,
1743342653,404,0.010470071350913608,0.0,0.0,0.0,events/second,
1743342683,404,0.010461934363636308,0.0,0.0,0.0,events/second,
1743342713,404,0.01045380526008139,0.0,0.0,0.0,events/second,
1743342743,404,0.010445690250617817,0.0,0.0,0.0,events/second,
1743342773,404,0.010437588351486058,0.0,0.0,0.0,events/second,
1743342803,404,0.010429503154205013,0.0,0.0,0.0,events/second,
1743342833,404,0.010421429484927431,0.0,0.0,0.0,events/second,
1743342863,404,0.010413362361210736,0.0,0.0,0.0,events/second,
1743342893,404,0.010405312825013023,0.0,0.0,0.0,events/second,
1743342924,404,0.010397274727078918,0.0,0.0,0.0,events/second,
1743342954,404,0.01038925133401173,0.0,0.0,0.0,events/second,
1743342984,404,0.010381239594918195,0.0,0.0,0.0,events/second,
1743343014,404,0.010373239867635737,0.0,0.0,0.0,events/second,
1743343044,404,0.01036524926472391,0.0,0.0,0.0,events/second,
1743343074,404,0.010357276027081074,0.0,0.0,0.0,events/second,
1743343104,404,0.010349313134094583,0.0,0.0,0.0,events/second,
1743343134,453,0.011595633834385478,0.0,0.0,0.0,events/second,
1743343164,453,0.011586734335011614,0.0,0.0,0.0,events/second,
1743343194,453,0.011577844269145616,0.0,0.0,0.0,events/second,
1743343224,453,0.01156896647938984,0.0,0.0,0.0,events/second,
1743343254,453,0.011560101605874031,0.0,0.0,0.0,events/second,
1743343284,453,0.011551255967193821,0.0,0.0,0.0,events/second,
1743343314,453,0.011542422170807283,0.0,0.0,0.0,events/second,
1743343344,453,0.011533601096642733,0.0,0.0,0.0,events/second,
1743343374,453,0.01152479537912281,0.0,0.0,0.0,events/second,
1743343404,453,0.01151600325659066,0.0,0.0,0.0,events/second,
1743343434,453,0.011507224258951636,0.0,0.0,0.0,events/second,
1743343464,453,0.011498458439566078,0.0,0.0,0.0,events/second,
1743343494,453,0.011489703146766532,0.0,0.0,0.0,events/second,
1743343524,453,0.011480965098377377,0.0,0.0,0.0,events/second,
1743343554,453,0.011472236705334085,0.0,0.0,0.0,events/second,
1743343584,453,0.01146352187201729,0.0,0.0,0.0,events/second,
1743343614,453,0.011454821535034892,0.0,0.0,0.0,events/second,
1743343644,453,0.01144613377206601,0.0,0.0,0.0,events/second,
1743343674,453,0.011437457172211545,0.0,0.0,0.0,events/second,
1743343704,453,0.01142879780258631,0.0,0.0,0.0,events/second,
1743343734,453,0.011420150846071269,0.0,0.0,0.0,events/second,
1743343764,453,0.011411515003229037,0.0,0.0,0.0,events/second,
1743343794,453,0.011402893761747858,0.0,0.0,0.0,events/second,
1743343824,453,0.01139428454852155,0.0,0.0,0.0,events/second,
1743343854,453,0.011385688634560751,0.0,0.0,0.0,events/second,
1743343884,453,0.01137710722764209,0.0,0.0,0.0,events/second,
1743343914,453,0.0113685337974966,0.0,0.0,0.0,events/second,
1743343944,453,0.01135997749783398,0.0,0.0,0.0,events/second,
1743343974,453,0.011351429090639251,0.0,0.0,0.0,events/second,
1743344004,453,0.011342897574323944,0.0,0.0,0.0,events/second,
1743344034,453,0.01133437594984822,0.0,0.0,0.0,events/second,
1743344064,453,0.011325865307095551,0.0,0.0,0.0,events/second,
1743344094,453,0.011317373359033565,0.0,0.0,0.0,events/second,
1743344124,453,0.011308893677867032,0.0,0.0,0.0,events/second,
1743344154,453,0.011300427868893426,0.0,0.0,0.0,events/second,
1743344184,453,0.011291972961168597,0.0,0.0,0.0,events/second,
1743344214,453,0.011283528564136652,0.0,0.0,0.0,events/second,
1743344244,453,0.011275100687654442,0.0,0.0,0.0,events/second,
1743344274,453,0.011266685310583027,0.0,0.0,0.0,events/second,
1743344304,453,0.011258281587257061,0.0,0.0,0.0,events/second,
1743344334,453,0.011249890955412303,0.0,0.0,0.0,events/second,
1743344364,453,0.011241510847175111,0.0,0.0,0.0,events/second,
1743344394,453,0.011233144907123828,0.0,0.0,0.0,events/second,
1743344424,453,0.011224792696989751,0.0,0.0,0.0,events/second,
1743344454,453,0.01121644780443243,0.0,0.0,0.0,events/second,
