t,value
1743304080,155380224
1743304110,304278016
1743304140,309520896
1743304170,311618048
1743304200,316860928
1743304231,317909504
1743304261,322103808
1743304291,324200960
1743304321,329443840
1743304354,330492416
1743304384,334686720
1743304414,335735296
1743304444,340978176
1743304474,343075328
1743304504,347269632
1743304534,349366784
1743304564,353561088
1743304594,355658240
1743304624,359852544
1743304654,361949696
1743304684,381872640
1743304714,382921216
1743304744,388164096
1743304774,389212672
1743304804,87184248
1743304834,88232824
1743304864,92427128
1743304894,94524280
1743304925,98718584
1743304955,99767160
1743304985,123884408
1743305015,124932984
1743305045,129127288
1743305075,131224440
1743305105,135418744
1743339378,358765432
1743339410,120777216
1743339441,226683384
1743339471,272820728
1743339501,344123896
1743339531,291670832
1743339561,132283696
1743339591,187858224
1743339621,315784496
1743339651,207269720
1743339681,385527640
1743339711,262845424
1743339741,379237360
1743339771,383431664
1743339801,384480240
1743339831,388674544
1743339861,389723120
1743339891,86144304
1743339921,87192880
1743339951,91387184
1743339982,93484336
1743340012,97678640
1743340042,98727216
1743340072,103970096
1743340102,105018672
1743340132,109212976
1743340162,111310128
1743340192,114455856
1743340222,116553008
1743340252,120747312
1743340282,122844464
1743340312,125990192
1743340342,128087344
1743340372,132281648
1743340402,134378800
1743340432,137524528
1743340462,139621680
1743340492,143815984
1743340522,144864560
1743340552,149058864
1743340582,151156016
1743340612,155350320
1743340642,156398896
1743340672,161641776
1743340702,162690352
1743340732,166884656
1743340762,167933232
1743340792,172127536
1743340822,174224688
1743340852,177370416
1743340882,179467568
1743340912,183661872
1743340942,184710448
1743340972,188904752
1743341002,191001904
1743341032,195196208
1743341062,196244784
1743341092,200439088
1743341122,202536240
1743341152,206730544
1743341182,207779120
1743341212,211973424
1743341242,213022000
1743341272,218264880
1743341302,220362032
1743341332,223507760
1743341362,225604912
1743341392,229799216
1743341423,230847792
1743341453,235042096
1743341483,237139248
1743341513,241333552
1743341543,242382128
1743341573,246576432
1743341603,248673584
1743341633,251819312
1743341663,253916464
1743341693,258110768
1743341723,259159344
1743341753,263353648
1743341783,265450800
1743341813,269645104
1743341843,270693680
1743341873,275936560
1743341903,276985136
1743341933,281179440
1743341963,283276592
1743341993,287470896
1743342023,288519472
1743342053,292713776
1743342083,294810928
1743342113,297956656
1743342143,300053808
1743342173,303199536
1743342203,305296688
1743342233,309490992
1743342263,311588144
1743342293,314733872
1743342323,316831024
1743342353,321025328
1743342383,322073904
1743342413,326268208
1743342443,328365360
1743342473,332559664
1743342503,333608240
1743342533,337802544
1743342563,339899696
1743342593,344094000
1743342623,345142576
1743342653,349336880
1743342683,351434032
1743342713,355628336
1743342743,356676912
1743342773,360871216
1743342803,361919792
1743342833,367162672
1743342863,368211248
1743342893,372405552
1743342924,373454128
1743342954,377648432
1743342984,379745584
1743343014,382891312
1743343044,384988464
1743343074,389182768
1743343104,391279920
1743343134,85632384
1743343164,86680960
1743343194,91923840
1743343224,92972416
1743343254,96118144
1743343284,98215296
1743343314,101361024
1743343344,103458176
1743343374,107652480
1743343404,108701056
