t,value
1743304080,534
1743304110,534
1743304140,534
1743304170,534
1743304200,534
1743304231,534
1743304261,534
1743304291,534
1743304321,534
1743304354,534
1743304384,534
1743304414,534
1743304444,534
1743304474,534
1743304504,534
1743304534,534
1743304564,534
1743304594,534
1743304624,534
1743304654,534
1743304684,17426
1743304714,17426
1743304744,16934
1743304774,16934
1743304804,16934
1743304834,16934
1743304864,16934
1743304894,16934
1743304925,16934
1743304955,16934
1743304985,16934
1743305015,16934
1743305045,16934
1743305075,16934
1743305105,16934
1743339378,16934
1743339410,550
1743339441,550
1743339471,550
1743339501,550
1743339531,550
1743339561,550
1743339591,550
1743339621,550
1743339651,550
1743339681,550
1743339711,550
1743339741,550
1743339771,550
1743339801,550
1743339831,550
1743339861,550
1743339891,550
1743339921,550
1743339951,550
1743339982,550
1743340012,550
1743340042,550
1743340072,550
1743340102,550
1743340132,550
1743340162,550
1743340192,550
1743340222,550
1743340252,550
1743340282,550
1743340312,550
1743340342,550
1743340372,550
1743340402,550
1743340432,550
1743340462,550
1743340492,550
1743340522,550
1743340552,550
1743340582,550
1743340612,550
1743340642,550
1743340672,550
1743340702,550
1743340732,550
1743340762,550
1743340792,550
1743340822,550
1743340852,550
1743340882,550
1743340912,550
1743340942,550
1743340972,550
1743341002,550
1743341032,550
1743341062,550
1743341092,550
1743341122,550
1743341152,550
1743341182,550
1743341212,550
1743341242,550
1743341272,550
1743341302,550
1743341332,550
1743341362,550
1743341392,550
1743341423,550
1743341453,550
1743341483,550
1743341513,550
1743341543,550
1743341573,550
1743341603,550
1743341633,550
1743341663,550
1743341693,550
1743341723,550
1743341753,550
1743341783,550
1743341813,550
1743341843,550
1743341873,550
1743341903,550
1743341933,550
1743341963,550
1743341993,550
1743342023,550
1743342053,550
1743342083,550
1743342113,550
1743342143,550
1743342173,550
1743342203,550
1743342233,550
1743342263,550
1743342293,550
1743342323,550
1743342353,550
1743342383,550
1743342413,550
1743342443,550
1743342473,550
1743342503,550
1743342533,550
1743342563,550
1743342593,550
1743342623,550
1743342653,550
1743342683,550
1743342713,550
1743342743,550
1743342773,550
1743342803,550
1743342833,550
1743342863,550
1743342893,550
1743342924,550
1743342954,550
1743342984,550
1743343014,550
1743343044,550
1743343074,550
1743343104,550
1743343134,550
1743343164,550
1743343194,550
1743343224,550
1743343254,550
1743343284,550
1743343314,550
1743343344,550
1743343374,550
1743343404,550
1743343434,550
1743343464,550
1743343494,550
1743343524,550
1743343554,550
1743343584,550
1743343614,550
1743343644,550
1743343674,550
1743343704,550
1743343734,550
1743343764,550
1743343794,550
1743343824,550
1743343854,550
1743343884,550
1743343914,550
1743343944,550
1743343974,550
1743344004,550
1743344034,550
1743344064,550
1743344094,550
1743344124,550
1743344154,550
1743344184,550
1743344214,550
1743344244,550
1743344274,550
1743344304,550
1743344334,550
1743344364,550
1743344394,550
1743344424,550
1743344454,550
1743344484,550
1743344514,550
1743344544,550
1743344574,550
1743344604,550
1743344634,550
1743344664,550
1743344694,550
1743344724,550
1743344754,550
1743344784,550
1743344814,550
1743344844,550
1743344875,550
1743344905,550
1743344935,550
1743344965,550
1743344995,550
1743345025,550
1743345055,550
1743345085,550
1743345115,550
1743345145,550
1743345175,550
1743345205,550
1743345235,550
1743345265,550
1743345295,550
1743345325,550
1743345355,550
1743345385,550
1743345415,550
1743345445,550
1743345475,550
1743345505,550
1743345535,550
1743345565,550
1743345595,550
1743345625,550
1743345655,550
1743345685,550
1743345715,550
1743345745,550
1743345775,550
1743345805,550
1743345835,550
1743345865,550
1743345895,550
1743345925,550
1743345955,550
1743345985,550
1743346015,550
1743346045,550
1743346075,550
1743346105,550
1743346135,550
1743346165,550
1743346195,550
1743346225,550
1743346255,550
1743346285,550
1743346315,550
1743346345,550
1743346375,550
1743346405,550
1743346435,550
1743346465,550
1743346495,550
1743346525,550
1743346555,550
1743346585,550
1743346615,550
1743346645,550
1743346675,550
1743346705,550
1743346735,550
1743346765,550
1743346795,550
1743346825,550
1743346855,550
1743346885,550
1743346916,550
1743346946,550
1743346976,550
1743347006,550
1743347036,550
1743347066,550
1743347096,550
1743347126,550
1743347156,550
1743347186,550
1743347216,550
1743347246,550
1743347276,550
1743347306,550
1743347336,550
1743347366,550
1743347396,550
1743347426,550
1743347456,550
1743347486,550
1743347516,550
1743347546,550
1743347576,550
1743347606,550
1743347636,550
1743347666,550
1743347696,550
1743347726,550
1743347756,550
1743347786,550
1743347816,550
1743347846,550
1743347876,550
1743347906,550
1743347936,550
1743347966,550
1743347996,550
1743348026,550
1743348056,550
1743348086,550
1743348116,550
1743348146,550
1743348176,550
1743348206,550
1743348236,550
1743348266,550
1743348296,550
1743348326,550
1743348356,550
1743348386,550
1743348416,550
1743348446,550
1743348476,550
1743348506,550
1743348537,550
1743348567,550
1743348597,550
1743348627,550
1743348657,550
1743348687,550
1743348717,550
1743348747,550
1743348777,550
1743348807,550
1743348837,550
1743348867,550
1743348897,550
1743348927,550
1743348957,550
1743348987,550
1743349017,550
1743349047,550
1743364211,550
1743364241,550
1743372290,550
1743372320,550
1743372350,550
1743372380,550
1743372410,550
1743372440,550
1743372470,550
1743372500,550
1743372530,550
1743372560,550
1743372590,550
1743372620,550
1743372650,550
1743372680,550
1743372710,550
1743372740,550
1743372770,550
1743372800,550
1743372830,550
1743372860,550
1743372890,550
1743372920,550
1743372950,550
1743372980,550
1743373010,550
1743373040,550
1743373070,550
1743373100,550
1743373130,550
1743373160,550
1743373190,550
1743373220,550
1743373250,550
1743373280,550
1743373310,550
1743373340,550
1743373370,550
1743373400,550
1743373430,550
1743373460,550
1743373490,550
1743373520,550
1743373550,550
1743373580,550
1743373610,550
1743373640,550
1743373670,550
1743373700,550
1743373730,550
1743373760,550
1743373790,550
1743373820,550
1743373850,550
1743373880,550
1743373910,550
1743373940,550
1743373970,550
1743374000,550
1743374030,550
1743374060,550
1743374090,550
1743374120,550
1743374150,550
1743374180,550
1743374210,550
1743374240,550
1743374270,550
1743374300,550
1743374330,550
1743374360,550
1743374390,550
1743374420,550
1743374450,550
1743374480,550
1743374510,550
1743374540,550
1743374570,550
1743374600,550
1743374630,550
1743374660,550
1743374691,550
1743374721,550
1743374751,550
1743374781,550
1743376594,550
1743376624,550
1743376654,550
1743376684,550
1743376714,550
1743376744,550
