t,value
1743304080,82837504
1743304110,226492416
1743304140,231735296
1743304170,233832448
1743304200,239075328
1743304231,240123904
1743304261,244318208
1743304291,246415360
1743304321,251658240
1743304354,252706816
1743304384,256901120
1743304414,257949696
1743304444,263192576
1743304474,265289728
1743304504,269484032
1743304534,271581184
1743304564,275775488
1743304594,277872640
1743304624,282066944
1743304654,284164096
1743304684,304087040
1743304714,305135616
1743304744,310378496
1743304774,311427072
1743304804,5242880
1743304834,6291456
1743304864,10485760
1743304894,12582912
1743304925,16777216
1743304955,17825792
1743304985,41943040
1743305015,42991616
1743305045,47185920
1743305075,49283072
1743305105,53477376
1743339378,276824064
1743339410,38797312
1743339441,144703480
1743339471,190840824
1743339501,262143992
1743339531,209715200
1743339561,50331648
1743339591,105906176
1743339621,233832448
1743339651,125829120
1743339681,304087040
1743339711,181403648
1743339741,297795584
1743339771,301989888
1743339801,303038464
1743339831,307232768
1743339861,308281344
1743339891,4194304
1743339921,5242880
1743339951,9437184
1743339982,11534336
1743340012,15728640
1743340042,16777216
1743340072,22020096
1743340102,23068672
1743340132,27262976
1743340162,29360128
1743340192,32505856
1743340222,34603008
1743340252,38797312
1743340282,40894464
1743340312,44040192
1743340342,46137344
1743340372,50331648
1743340402,52428800
1743340432,55574528
1743340462,57671680
1743340492,61865984
1743340522,62914560
1743340552,67108864
1743340582,69206016
1743340612,73400320
1743340642,74448896
1743340672,79691776
1743340702,80740352
1743340732,84934656
1743340762,85983232
1743340792,90177536
1743340822,92274688
1743340852,95420416
1743340882,97517568
1743340912,101711872
1743340942,102760448
1743340972,106954752
1743341002,109051904
1743341032,113246208
1743341062,114294784
1743341092,118489088
1743341122,120586240
1743341152,124780544
1743341182,125829120
1743341212,130023424
1743341242,131072000
1743341272,136314880
1743341302,138412032
1743341332,141557760
1743341362,143654912
1743341392,147849216
1743341423,148897792
1743341453,153092096
1743341483,155189248
1743341513,159383552
1743341543,160432128
1743341573,164626432
1743341603,166723584
1743341633,169869312
1743341663,171966464
1743341693,176160768
1743341723,177209344
1743341753,181403648
1743341783,183500800
1743341813,187695104
1743341843,188743680
1743341873,193986560
1743341903,195035136
1743341933,199229440
1743341963,201326592
1743341993,205520896
1743342023,206569472
1743342053,210763776
1743342083,212860928
1743342113,216006656
1743342143,218103808
1743342173,221249536
1743342203,223346688
1743342233,227540992
1743342263,229638144
1743342293,232783872
1743342323,234881024
1743342353,239075328
1743342383,240123904
1743342413,244318208
1743342443,246415360
1743342473,250609664
1743342503,251658240
1743342533,255852544
1743342563,257949696
1743342593,262144000
1743342623,263192576
1743342653,267386880
1743342683,269484032
1743342713,273678336
1743342743,274726912
1743342773,278921216
1743342803,279969792
1743342833,285212672
1743342863,286261248
1743342893,290455552
1743342924,291504128
1743342954,295698432
