t,value
1743304080,70445568
1743304110,70445568
1743304140,70445568
1743304170,70445568
1743304200,70445568
1743304231,70445568
1743304261,70445568
1743304291,70445568
1743304321,70445568
1743304354,70445568
1743304384,70445568
1743304414,70445568
1743304444,70445568
1743304474,70445568
1743304504,70445568
1743304534,70445568
1743304564,70445568
1743304594,70445568
1743304624,70445568
1743304654,70445568
1743304684,70445568
1743304714,70445568
1743304744,70445568
1743304774,70445568
1743304804,70445568
1743304834,70445568
1743304864,70445568
1743304894,70445568
1743304925,70445568
1743304955,70445568
1743304985,70445568
1743305015,70445568
1743305045,70445568
1743305075,70445568
1743305105,70445568
1743339378,70445568
1743339410,70445568
1743339441,70445568
1743339471,70445568
1743339501,70445568
1743339531,70445568
1743339561,70445568
1743339591,70445568
1743339621,70445568
1743339651,70445568
1743339681,70445568
1743339711,70445568
1743339741,70445568
1743339771,70445568
1743339801,70445568
1743339831,70445568
1743339861,70445568
1743339891,70445568
1743339921,70445568
1743339951,70445568
1743339982,70445568
1743340012,70445568
1743340042,70445568
1743340072,70445568
1743340102,70445568
1743340132,70445568
1743340162,70445568
1743340192,70445568
1743340222,70445568
1743340252,70445568
1743340282,70445568
1743340312,70445568
1743340342,70445568
1743340372,70445568
1743340402,70445568
1743340432,70445568
1743340462,70445568
1743340492,70445568
1743340522,70445568
1743340552,70445568
1743340582,70445568
1743340612,70445568
1743340642,70445568
1743340672,70445568
1743340702,70445568
1743340732,70445568
1743340762,70445568
1743340792,70445568
1743340822,70445568
1743340852,70445568
1743340882,70445568
1743340912,70445568
1743340942,70445568
1743340972,70445568
1743341002,70445568
1743341032,70445568
1743341062,70445568
1743341092,70445568
1743341122,70445568
1743341152,70445568
1743341182,70445568
1743341212,70445568
1743341242,70445568
1743341272,70445568
1743341302,70445568
1743341332,70445568
1743341362,70445568
1743341392,70445568
1743341423,70445568
1743341453,70445568
1743341483,70445568
1743341513,70445568
1743341543,70445568
1743341573,70445568
1743341603,70445568
1743341633,70445568
1743341663,70445568
1743341693,70445568
1743341723,70445568
1743341753,70445568
1743341783,70445568
1743341813,70445568
1743341843,70445568
1743341873,70445568
1743341903,70445568
1743341933,70445568
1743341963,70445568
1743341993,70445568
1743342023,70445568
1743342053,70445568
1743342083,70445568
1743342113,70445568
1743342143,70445568
1743342173,70445568
1743342203,70445568
1743342233,70445568
1743342263,70445568
1743342293,70445568
1743342323,70445568
1743342353,70445568
1743342383,70445568
1743342413,70445568
1743342443,70445568
1743342473,70445568
1743342503,70445568
1743342533,70445568
1743342563,70445568
1743342593,70445568
