t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1743304080,0,0.0,0.0,0.0,0.0,events/second,
1743304110,0,0.0,0.0,0.0,0.0,events/second,
1743304140,748,10.2406657628768,0.0,0.0,0.0,events/second,
1743304170,967,9.376181661291511,0.0,0.0,0.0,events/second,
1743304200,2032,15.194399426923484,0.0,0.0,0.0,events/second,
1743304231,5010,30.579654490115594,0.0,0.0,0.0,events/second,
1743304261,7453,38.44314365001053,0.0,0.0,0.0,events/second,
1743304291,9773,43.632965090960745,0.0,0.0,0.0,events/second,
1743304321,19222,74.80779565772784,0.0,0.0,0.0,events/second,
1743304354,33889,118.09216954969033,0.0,0.0,0.0,events/second,
1743304384,34125,107.64627704018093,0.0,0.0,0.0,events/second,
1743304414,34125,98.33624641027639,0.0,0.0,0.0,events/second,
1743304444,34655,91.9136555783379,0.0,0.0,0.0,events/second,
1743304474,34655,85.13483286825115,0.0,0.0,0.0,events/second,
1743304504,34655,79.28917812588604,0.0,0.0,0.0,events/second,
1743304534,34655,74.19478120468891,0.0,0.0,0.0,events/second,
1743304564,34655,69.71437062186862,0.0,0.0,0.0,events/second,
1743304594,34655,65.74324255169417,0.0,0.0,0.0,events/second,
1743304624,34655,62.20148422045996,0.0,0.0,0.0,events/second,
1743304654,34655,59.02201532940424,0.0,0.0,0.0,events/second,
1743304684,34655,56.15171160470161,0.0,0.0,0.0,events/second,
1743304714,34655,53.54687825703996,0.0,0.0,0.0,events/second,
1743304744,34655,51.17365572985113,0.0,0.0,0.0,events/second,
1743304774,34655,49.001550965474514,0.0,0.0,0.0,events/second,
1743304804,34655,47.00648225046475,0.0,0.0,0.0,events/second,
1743304834,34655,45.167321962984296,0.0,0.0,0.0,events/second,
1743304864,34655,43.46669681899561,0.0,0.0,0.0,events/second,
1743304894,34655,41.88957534432418,0.0,0.0,0.0,events/second,
1743304925,34655,40.42190583676993,0.0,0.0,0.0,events/second,
1743304955,34655,39.054464469803136,0.0,0.0,0.0,events/second,
1743304985,34655,37.77633571068831,0.0,0.0,0.0,events/second,
1743305015,34655,36.57930214093084,0.0,0.0,0.0,events/second,
1743305045,34655,35.455752476976464,0.0,0.0,0.0,events/second,
1743305075,34655,34.399073234273985,0.0,0.0,0.0,events/second,
1743305105,34655,33.403890540075295,0.0,0.0,0.0,events/second,
1743339378,34278800,970.7106947971945,0.0,0.0,0.0,events/second,
1743339410,34283708,970.0210569563965,0.0,0.0,0.0,events/second,
1743339441,34285620,969.2450615506492,0.0,0.0,0.0,events/second,
1743339471,34287678,968.4803859854295,0.0,0.0,0.0,events/second,
1743339501,34290011,967.7233466330954,0.0,0.0,0.0,events/second,
1743339531,34290321,966.9125366332748,0.0,0.0,0.0,events/second,
1743339561,34290321,966.0896938123672,0.0,0.0,0.0,events/second,
1743339591,34290522,965.2775147933713,0.0,0.0,0.0,events/second,
1743339621,34291427,964.4861017682992,0.0,0.0,0.0,events/second,
1743339651,34291427,963.6715385231382,0.0,0.0,0.0,events/second,
1743339681,34291427,962.8592789361065,0.0,0.0,0.0,events/second,
1743339711,34291427,962.0485763411407,0.0,0.0,0.0,events/second,
1743339741,34291427,961.239058821341,0.0,0.0,0.0,events/second,
1743339771,34291427,960.43120384229,0.0,0.0,0.0,events/second,
1743339801,34291427,959.6244999207247,0.0,0.0,0.0,events/second,
1743339831,34291427,958.8190057273866,0.0,0.0,0.0,events/second,
1743339861,34291427,958.0148586993407,0.0,0.0,0.0,events/second,
1743339891,34291427,957.2120630989465,0.0,0.0,0.0,events/second,
1743339921,34291427,956.410318155687,0.0,0.0,0.0,events/second,
