t,value
1743304080,120
1743304110,127
1743304140,88
1743304170,85
1743304200,85
1743304231,83
1743304261,83
1743304291,82
1743304321,85
1743304354,87
1743304384,86
1743304414,82
1743304444,82
1743304474,82
1743304504,82
1743304534,82
1743304564,82
1743304594,82
1743304624,82
1743304654,82
1743304684,86
1743304714,86
1743304744,84
1743304774,83
1743304804,83
1743304834,83
1743304864,83
1743304894,83
1743304925,83
1743304955,83
1743304985,83
1743305015,82
1743305045,83
1743305075,83
1743305105,83
1743339378,108
1743339410,109
1743339441,101
1743339471,86
1743339501,86
1743339531,86
1743339561,86
1743339591,86
1743339621,86
1743339651,86
1743339681,86
1743339711,86
1743339741,86
1743339771,85
1743339801,84
1743339831,84
1743339861,83
1743339891,83
1743339921,83
1743339951,83
1743339982,83
1743340012,83
1743340042,83
1743340072,84
1743340102,84
1743340132,83
1743340162,82
1743340192,83
1743340222,83
1743340252,83
1743340282,83
1743340312,82
1743340342,83
1743340372,83
1743340402,83
1743340432,83
1743340462,83
1743340492,83
1743340522,83
1743340552,83
1743340582,83
1743340612,83
1743340642,83
1743340672,83
1743340702,83
1743340732,83
1743340762,83
1743340792,83
1743340822,83
1743340852,83
1743340882,83
1743340912,83
1743340942,83
1743340972,83
1743341002,83
1743341032,83
1743341062,83
1743341092,83
1743341122,83
1743341152,83
1743341182,83
1743341212,83
1743341242,83
1743341272,82
1743341302,83
1743341332,83
1743341362,83
1743341392,83
1743341423,83
1743341453,82
1743341483,82
1743341513,83
1743341543,83
1743341573,83
1743341603,83
1743341633,82
1743341663,82
1743341693,82
1743341723,82
1743341753,83
1743341783,83
1743341813,83
1743341843,83
1743341873,83
1743341903,83
1743341933,83
1743341963,83
1743341993,83
1743342023,83
1743342053,83
1743342083,83
1743342113,83
1743342143,83
1743342173,83
1743342203,82
1743342233,83
1743342263,83
1743342293,82
1743342323,83
1743342353,83
1743342383,82
1743342413,83
1743342443,83
1743342473,83
1743342503,83
1743342533,83
1743342563,83
1743342593,83
1743342623,83
1743342653,82
1743342683,83
1743342713,83
1743342743,83
1743342773,82
1743342803,83
1743342833,83
1743342863,83
1743342893,83
1743342924,83
1743342954,83
1743342984,83
1743343014,83
1743343044,83
1743343074,83
1743343104,83
1743343134,83
1743343164,83
1743343194,83
1743343224,83
1743343254,83
1743343284,83
1743343314,82
1743343344,82
1743343374,82
1743343404,83
1743343434,83
1743343464,83
1743343494,83
1743343524,83
1743343554,83
1743343584,83
1743343614,83
1743343644,83
1743343674,83
1743343704,83
1743343734,83
1743343764,82
1743343794,83
1743343824,83
1743343854,83
1743343884,83
1743343914,82
1743343944,83
1743343974,83
1743344004,83
1743344034,83
1743344064,83
1743344094,83
1743344124,83
1743344154,83
1743344184,83
1743344214,83
1743344244,83
1743344274,83
1743344304,82
1743344334,82
1743344364,83
1743344394,83
1743344424,83
1743344454,83
1743344484,83
1743344514,83
1743344544,83
1743344574,83
1743344604,83
1743344634,83
1743344664,83
1743344694,83
1743344724,83
1743344754,83
1743344784,82
1743344814,83
1743344844,83
1743344875,83
1743344905,83
1743344935,83
1743344965,83
1743344995,82
1743345025,83
1743345055,83
1743345085,83
1743345115,83
1743345145,83
1743345175,83
1743345205,83
1743345235,83
1743345265,83
1743345295,83
1743345325,83
1743345355,83
1743345385,83
1743345415,83
1743345445,83
1743345475,83
1743345505,83
1743345535,82
1743345565,83
1743345595,83
1743345625,83
1743345655,82
1743345685,82
1743345715,82
1743345745,83
1743345775,83
1743345805,83
1743345835,83
1743345865,83
1743345895,83
1743345925,83
1743345955,83
1743345985,83
1743346015,83
1743346045,83
1743346075,83
1743346105,83
1743346135,82
1743346165,82
1743346195,83
1743346225,83
1743346255,83
1743346285,83
1743346315,83
1743346345,83
1743346375,83
1743346405,83
1743346435,83
1743346465,83
1743346495,83
1743346525,83
1743346555,83
1743346585,83
1743346615,82
1743346645,82
1743346675,82
1743346705,82
1743346735,83
1743346765,83
1743346795,82
1743346825,82
1743346855,82
1743346885,82
1743346916,82
1743346946,82
1743346976,82
1743347006,82
1743347036,83
1743347066,83
1743347096,83
1743347126,83
1743347156,82
1743347186,82
1743347216,82
1743347246,82
1743347276,83
1743347306,83
1743347336,82
1743347366,82
1743347396,83
1743347426,83
1743347456,82
1743347486,83
1743347516,83
1743347546,83
1743347576,83
1743347606,83
1743347636,83
1743347666,83
1743347696,83
1743347726,83
1743347756,83
1743347786,83
1743347816,83
1743347846,83
1743347876,83
1743347906,83
1743347936,82
1743347966,82
1743347996,83
1743348026,83
1743348056,83
1743348086,82
1743348116,82
1743348146,82
1743348176,83
1743348206,83
1743348236,83
1743348266,83
1743348296,83
1743348326,83
1743348356,83
1743348386,83
1743348416,83
1743348446,82
1743348476,83
1743348506,83
1743348537,82
1743348567,83
1743348597,83
1743348627,83
1743348657,83
1743348687,83
1743348717,83
1743348747,83
1743348777,83
1743348807,83
1743348837,82
1743348867,82
1743348897,82
1743348927,83
1743348957,83
1743348987,83
1743349017,82
1743349047,83
1743364211,104
1743364241,104
1743372290,91
1743372320,91
1743372350,85
1743372380,84
1743372410,83
1743372440,83
1743372470,83
1743372500,83
1743372530,83
1743372560,83
1743372590,83
1743372620,83
1743372650,83
1743372680,83
1743372710,83
1743372740,83
1743372770,83
1743372800,83
1743372830,83
1743372860,83
1743372890,83
1743372920,83
1743372950,83
1743372980,83
1743373010,83
1743373040,83
1743373070,83
1743373100,83
1743373130,83
1743373160,83
1743373190,83
1743373220,83
1743373250,83
1743373280,83
1743373310,83
1743373340,83
1743373370,83
1743373400,83
1743373430,83
1743373460,83
1743373490,83
1743373520,83
1743373550,83
1743373580,83
1743373610,83
1743373640,83
1743373670,83
1743373700,83
1743373730,83
1743373760,83
1743373790,83
1743373820,83
1743373850,83
1743373880,83
1743373910,83
1743373940,83
1743373970,83
1743374000,83
1743374030,83
1743374060,83
1743374090,83
1743374120,83
1743374150,83
1743374180,83
1743374210,83
1743374240,83
1743374270,83
1743374300,83
1743374330,83
1743374360,83
1743374390,83
1743374420,83
1743374450,83
1743374480,83
1743374510,83
1743374540,83
1743374570,83
1743374600,83
1743374630,83
1743374660,83
1743374691,83
1743374721,83
1743374751,83
1743374781,83
1743376594,103
1743376624,104
1743376654,86
1743376684,83
1743376714,83
1743376744,83
